Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-07-10,10.3,60100,2.5(4.34 %),2677240,162224000000,344950,18569320000,61600,61600,58000
2017-07-11,10.11,59000,-1.1(-1.83 %),838360,49390000000,785000,46310750000,60200,60200,58000
2017-07-12,10.15,59200,0.2(0.34 %),376520,22297000000,1538060,91113152000,59000,59900,58600
2017-07-13,9.99,58300,-0.9(-1.52 %),780690,45766000000,0,0,59100,59100,58300
2017-07-14,9.84,57400,-0.9(-1.54 %),605590,34863000000,1279198,73881484000,58100,58600,57300
2017-07-17,9.98,58200,0.8(1.39 %),469140,27233000000,1620000,94985500000,57900,59000,57200
2017-07-18,9.87,57600,-0.6(-1.03 %),319370,18517000000,275800,15996400000,58000,58200,57600
2017-07-19,9.89,57700,0.1(0.17 %),279130,16168000000,0,0,58000,58300,57500
2017-07-20,9.91,57800,0.1(0.17 %),342050,19745000000,2412610,139252597000,57800,58000,57500
2017-07-21,9.89,57700,-0.1(-0.17 %),140450,8115000000,560000,32473000000,57800,58000,57600
2017-07-24,9.89,57700,0(0.00 %),282460,16302000000,40000,2330000000,57700,57800,57700
2017-07-25,9.86,57500,-0.2(-0.35 %),198020,11418000000,1000000,57700000000,57500,58000,57300
2017-07-26,10.1,58900,1.4(2.43 %),307260,17829000000,100000,5770000000,57700,59500,57600
2017-07-27,10.28,60000,1.1(1.87 %),438580,26505000000,555000,33181500000,59400,61400,58900
2017-07-28,10.46,61000,1(1.67 %),600310,36588000000,1000000,61000000000,61000,61400,60000
2017-07-31,10.46,61000,0(0.00 %),145430,8861000000,100000,6100000000,60500,61200,60500
2017-08-01,10.28,60000,-1(-1.64 %),198280,11992000000,0,0,61000,61000,60000
2017-08-02,10.28,60000,0(0.00 %),530950,31898000000,0,0,60000,61000,59800
2017-08-03,10.46,61000,1(1.67 %),476970,29049000000,1540000,93670000000,60100,61100,60100
2017-08-04,10.39,60600,-0.4(-0.66 %),267610,16227000000,312000,18899022000,61000,61000,60500
2017-08-07,10.46,61000,0.4(0.66 %),447390,27286000000,225000,13725000000,60600,61200,60600
2017-08-08,10.37,60500,-0.5(-0.82 %),236400,14295000000,1255000,76427500000,61000,61000,60300
2017-08-09,10.28,60000,-0.5(-0.83 %),384710,23105000000,0,0,60100,60900,59500
2017-08-10,10.3,60100,0.1(0.17 %),172920,10380000000,54390,3263400000,59200,60500,59100
2017-08-11,10.3,60100,0(0.00 %),125740,7566000000,26800,1621400000,59900,60300,59900
2017-08-14,10.28,60000,-0.1(-0.17 %),168300,10078000000,0,0,60500,60500,59500
2017-08-15,10.28,60000,0(0.00 %),151120,8990000000,0,0,61000,61000,58000
2017-08-16,10.28,60000,0(0.00 %),73300,4381000000,0,0,59000,60200,59000
2017-08-17,10.28,60000,0(0.00 %),190470,11416000000,272400,16344000000,60000,60100,59500
2017-08-18,10.28,60000,0(0.00 %),159680,9580000000,29310,1758600000,59900,60000,59900
2017-08-21,10.28,60000,0(0.00 %),176960,10635000000,0,0,60000,60400,59800
2017-08-22,10.27,59900,-0.1(-0.17 %),71320,4272000000,0,0,60000,60000,59700
2017-08-23,10.25,59800,-0.1(-0.17 %),61150,3662000000,67620,4057200000,60000,60000,59700
2017-08-24,10.27,59900,0.1(0.17 %),199860,11968000000,0,0,59900,59900,59700
2017-08-25,10.23,59700,-0.2(-0.33 %),60460,3611000000,0,0,59700,59900,59500
2017-08-28,10.16,59300,-0.4(-0.67 %),58920,3504000000,1000000,61000000000,59500,59700,59300
2017-08-29,10.16,59300,0(0.00 %),49710,2945000000,0,0,59200,59500,59000
2017-08-30,10.16,59300,0(0.00 %),72360,4290000000,0,0,59300,59300,59000
2017-08-31,10.15,59200,-0.1(-0.17 %),63060,3731000000,782600,46288180000,59300,59300,59000
2017-09-01,10.15,59200,0(0.00 %),19610,1165000000,0,0,59500,59500,59200
2017-09-05,10.11,59000,-0.2(-0.34 %),41150,2429000000,0,0,59000,59100,58800
2017-09-06,9.94,58000,-1(-1.69 %),63080,3679000000,0,0,58800,58800,58000
2017-09-07,9.87,57600,-0.4(-0.69 %),174740,10074000000,1000000,61240000000,58000,58000,57500
2017-09-08,9.84,57400,-0.2(-0.35 %),81480,4704000000,0,0,58300,58300,57400
2017-09-11,9.46,55200,-2.2(-3.83 %),95710,5385000000,0,0,57500,57500,55200
2017-09-12,9.6,56000,0.8(1.45 %),110930,6205000000,220380,12359853400,55100,56200,55100
2017-09-13,9.92,57900,1.9(3.39 %),109080,6137000000,434550,24334800000,56000,57900,55800
2017-09-14,9.65,56300,-1.6(-2.76 %),57710,3270000000,0,0,57000,57100,56300
