Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-08-16,19.73,36300,2.35(6.92 %),10000,363000000,151000,4771600000,36300,36300,36300
2017-08-17,21.09,38800,2.5(6.89 %),20000,776000000,0,0,38800,38800,38800
2017-08-18,22.56,41500,2.7(6.96 %),573420,23633000000,29720,1072892000,41500,41500,38800
2017-08-21,24.13,44400,2.9(6.99 %),169100,7408000000,0,0,43700,44400,43000
2017-08-22,25.82,47500,3.1(6.98 %),265440,12542000000,0,0,46100,47500,46000
2017-08-23,24.03,44200,-3.3(-6.95 %),131540,5953000000,0,0,45000,47500,44200
2017-08-24,22.37,41150,-3.05(-6.90 %),185460,7648000000,0,0,41150,41900,41150
2017-08-25,21.2,39000,-2.15(-5.22 %),193110,7533000000,0,0,39500,40800,38400
2017-08-28,22.67,41700,2.7(6.92 %),77270,3149000000,0,0,38700,41700,38700
2017-08-29,22.07,40600,-1.1(-2.64 %),60010,2482000000,0,0,41700,41700,40200
2017-08-30,21.74,40000,-0.6(-1.48 %),42610,1696000000,0,0,40200,40500,39000
2017-08-31,21.31,39200,-0.8(-2.00 %),82220,3216000000,0,0,40000,40000,38700
2017-09-01,21.25,39100,-0.1(-0.26 %),33480,1305000000,0,0,39100,39500,38700
2017-09-05,20.82,38300,-0.8(-2.05 %),49780,1910000000,0,0,39100,39100,38100
2017-09-06,20.71,38100,-0.2(-0.52 %),31980,1220000000,0,0,38100,39000,38100
2017-09-07,20.66,38000,-0.1(-0.26 %),33610,1280000000,0,0,38000,38500,37900
2017-09-08,20.0,36800,-1.2(-3.16 %),48740,1822000000,0,0,37800,37900,36800
2017-09-11,18.62,34250,-2.55(-6.93 %),83100,2878000000,0,0,36400,36800,34250
2017-09-12,19.89,36600,2.35(6.86 %),44660,1590000000,0,0,35500,36600,34400
2017-09-13,19.57,36000,-0.6(-1.64 %),5590,202000000,0,0,36300,36500,35000
2017-09-14,19.46,35800,-0.2(-0.56 %),23530,843000000,330000,11055000000,36150,36150,35600
2017-09-15,19.46,35800,0(0.00 %),28320,1008000000,0,0,35150,36000,35150
2017-09-18,19.35,35600,-0.2(-0.56 %),18580,659000000,40090,1334997000,35800,35800,35250
2017-09-19,19.79,36400,0.8(2.25 %),22830,833000000,0,0,36300,37500,36000
2017-09-20,20.74,38150,1.75(4.81 %),122380,4670000000,0,0,36400,38900,36400
2017-09-21,20.85,38350,0.2(0.52 %),33790,1298000000,0,0,38850,38850,38000
2017-09-22,20.76,38200,-0.15(-0.39 %),25060,948000000,0,0,38350,38500,36000
2017-09-25,20.3,37350,-0.85(-2.23 %),20260,760000000,0,0,38000,38000,37350
2017-09-26,20.44,37600,0.25(0.67 %),13760,514000000,0,0,37300,38000,37150
