Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-12-18,5.64,65000,-3(-4.41 %),127050,8285500000,136227,9197436000,65000,68000,65000
2009-12-21,5.9,68000,3(4.62 %),13800,921740000,0,0,67000,68000,66000
2009-12-22,5.64,65000,-3(-4.41 %),23060,1501970000,0,0,70000,70000,65000
2009-12-23,5.77,66500,1.5(2.31 %),66460,4416950000,200000,12400000000,65000,67500,64000
2009-12-24,5.81,67000,0.5(0.75 %),22320,1461080000,0,0,65000,67000,64500
2009-12-25,5.9,68000,1(1.49 %),77270,5095640000,0,0,66000,68000,64000
2009-12-28,5.73,66000,-2(-2.94 %),22180,1487940000,20000,1300000000,70000,70000,66000
2009-12-29,5.81,67000,1(1.52 %),18540,1221125000,20000,1260000000,65500,67000,65000
2009-12-30,5.77,66500,-0.5(-0.75 %),57250,3790275000,0,0,65500,67000,65500
2009-12-31,5.81,67000,0.5(0.75 %),86600,5895225000,0,0,66000,69500,66000
2010-01-04,6.07,70000,3(4.48 %),115780,8093225000,419330,28393100000,68500,70000,68500
2010-01-05,6.38,73500,3.5(5.00 %),188830,13860020000,0,0,73500,73500,71500
2010-01-06,6.68,77000,3.5(4.76 %),216530,16555990000,0,0,76000,77000,74000
2010-01-07,6.98,80500,3.5(4.55 %),145500,11712750000,0,0,80500,80500,80500
2010-01-08,6.68,77000,-3.5(-4.35 %),295280,24294095000,0,0,84500,84500,77000
2010-01-11,6.59,76000,-1(-1.30 %),132510,10058755000,0,0,75000,79000,74000
2010-01-12,6.42,74000,-2(-2.63 %),64690,4926230000,90000,7155000000,76000,79000,74000
2010-01-13,6.51,75000,1(1.35 %),130780,9398210000,20000,1410000000,76000,76500,70500
2010-01-14,6.51,75000,0(0.00 %),59520,4408150000,50000,3925000000,76000,76000,73000
2010-01-15,6.29,72500,-2.5(-3.33 %),79340,5764070000,0,0,75000,75000,72000
2010-01-18,5.99,69000,-3.5(-4.83 %),87700,6065570000,30000,2280000000,72500,72500,69000
2010-01-19,6.16,71000,2(2.90 %),46360,3265910000,0,0,70500,71500,69000
2010-01-20,6.07,70000,-1(-1.41 %),54700,3894805000,50000,3600000000,71500,71500,70000
2010-01-21,5.86,67500,-2.5(-3.57 %),143910,9782640000,20000,1470000000,68000,70000,67000
2010-01-22,5.73,66000,-1.5(-2.22 %),59000,3916485000,0,0,66000,68000,66000
2010-01-25,5.81,67000,1(1.52 %),27360,1835940000,0,0,64000,68000,64000
2010-01-26,6.07,70000,3(4.48 %),70150,4899660000,0,0,68000,70000,68000
2010-01-27,6.03,69500,-0.5(-0.71 %),79230,5577155000,0,0,71000,73000,69000
2010-01-28,6.25,72000,2.5(3.60 %),240340,17420515000,0,0,72500,72500,72000
2010-01-29,6.07,70000,-2(-2.78 %),78220,5458115000,0,0,71500,73000,69000
2010-02-01,6.12,70500,0.5(0.71 %),20610,1445385000,90000,6565000000,70500,70500,68500
2010-02-02,6.07,70000,-0.5(-0.71 %),9330,653635000,0,0,71000,71000,69500
2010-02-03,6.07,70000,0(0.00 %),74120,5162570000,0,0,69000,71500,68000
2010-02-04,6.07,70000,0(0.00 %),26040,1852185000,0,0,71500,72000,70000
2010-02-05,6.07,70000,0(0.00 %),48090,3339360000,23980,1678600000,69500,70000,69000
2010-02-08,5.94,68500,-1.5(-2.14 %),17630,1210820000,30000,2205000000,69000,70000,68500
2010-02-09,5.99,69000,0.5(0.73 %),33410,2258150000,40000,2860000000,68000,69000,67000
2010-02-10,5.94,68500,-0.5(-0.72 %),8050,554140000,0,0,68500,69000,68500
2010-02-11,5.94,68500,0(0.00 %),8010,549980000,24530,1753895000,68000,69000,68000
2010-02-12,6.12,70500,2(2.92 %),16740,1184840000,30000,2145000000,69000,71500,69000
2010-02-22,6.12,70500,0(0.00 %),25050,1736340000,40000,2960000000,71000,71000,69000
