Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2023-07-25,21.52,25100,0.4(1.62 %),570240,14166122600,0,0,24600,25800,22900
2023-07-26,20.83,24300,-0.8(-3.19 %),402900,9805450000,0,0,25000,25000,24000
2023-07-27,20.58,24000,-0.3(-1.23 %),303901,7280274000,0,0,24300,24500,23500
2023-07-28,20.58,24000,0(0.00 %),358300,8603090000,0,0,24000,24400,23700
2023-07-31,20.58,24000,0(0.00 %),302805,7288800000,0,0,24000,24200,23900
2023-08-01,20.4,23800,-0.2(-0.83 %),268500,6419090000,0,0,24000,24100,23800
2023-08-02,20.4,23800,0(0.00 %),240001,5679853600,0,0,23800,23800,23500
2023-08-03,20.4,23800,0(0.00 %),187150,4460380000,0,0,24000,24000,23700
2023-08-04,20.83,24300,0.5(2.10 %),511500,12401290000,0,0,23800,24400,23800
2023-08-07,21.0,24500,0.2(0.82 %),328314,8001899100,0,0,24300,24600,24000
2023-08-08,21.18,24700,0.2(0.82 %),396612,9741356400,0,0,24500,24900,24100
2023-08-09,21.6,25200,0.5(2.02 %),360644,9290727300,0,0,24700,27000,24700
2023-08-10,21.43,25000,-0.2(-0.79 %),388800,9820990000,0,0,25200,25500,25000
2023-08-11,21.69,25300,0.3(1.20 %),374636,9574874500,0,0,25000,26700,24900
2023-08-14,21.78,25400,0.1(0.40 %),411001,10406205500,0,0,25300,25500,25200
2023-08-15,22.2,25900,0.5(1.97 %),399336,10218468200,0,0,25300,25900,25100
2023-08-16,23.23,27100,1.2(4.63 %),1111268,29435542000,2441934,57141255600,26000,27500,25600
2023-08-17,23.66,27600,0.5(1.85 %),553403,15280019400,69000,1725000000,27100,28100,27000
2023-08-18,22.98,26800,-0.8(-2.90 %),257523,6870445000,0,0,27600,27600,24900
2023-08-21,22.46,26200,-0.6(-2.24 %),222881,5861309600,0,0,26800,26800,25800
2023-08-22,22.46,26200,0(0.00 %),222400,5813610000,0,0,26200,26400,25800
2023-08-23,22.8,26600,0.4(1.53 %),226740,6014827200,0,0,26200,27000,26200
2023-08-24,22.8,26600,0(0.00 %),112982,3003989100,0,0,26600,26800,26400
2023-08-25,22.38,26100,-0.5(-1.88 %),211628,5544913000,0,0,26700,26700,25800
2023-08-28,22.63,26400,0.3(1.15 %),218801,5741166100,0,0,26100,26500,25900
2023-08-29,22.55,26300,-0.1(-0.38 %),132901,3479917000,0,0,26400,26600,25900
2023-08-30,24.78,28900,2.6(9.89 %),961254,26777133300,0,0,26300,28900,26300
2023-08-31,24.86,29000,0.1(0.35 %),523722,15330902000,0,0,28800,30000,28700
2023-09-05,23.75,27700,-1.3(-4.48 %),474007,13386017500,0,0,29000,29000,27300
