Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-10-16,6.75,10200,-0.4(-3.77 %),34900,353210000,0,0,10200,10300,9900
2015-10-19,6.75,10200,0.1(0.99 %),33400,341480000,0,0,10200,10300,10200
2015-10-20,6.82,10300,0.1(0.98 %),38000,388800000,0,0,10200,10300,10200
2015-10-21,6.68,10100,-0.1(-0.98 %),14200,143940000,0,0,10200,10200,10100
2015-10-22,6.62,10000,-0.1(-0.99 %),16500,165590000,0,0,10100,10100,10000
2015-10-23,6.55,9900,-0.1(-1.00 %),2100,20900000,0,0,10000,10000,9900
2015-10-26,6.49,9800,-0.2(-2.00 %),7100,69580000,0,0,9800,9800,9800
2015-10-27,6.42,9700,-0.1(-1.02 %),4800,46560000,0,0,9700,9700,9700
2015-10-28,6.49,9800,0.1(1.03 %),31500,287730000,0,0,9500,9800,9020
2015-10-29,6.16,9300,0.2(2.20 %),8100,73910000,0,0,9110,9300,9110
2015-10-30,5.89,8900,-0.2(-2.20 %),5700,50790000,0,0,9200,9200,8900
2015-11-02,5.63,8500,-0.4(-4.49 %),38700,340310000,0,0,9000,9000,8500
2015-11-03,5.82,8800,0(0.00 %),600,5280000,0,0,8800,8800,8800
2015-11-04,5.82,8800,0(0.00 %),12000,101180000,0,0,8500,8800,8180
2015-11-05,5.89,8900,0.5(5.95 %),4200,37080000,0,0,8600,8900,8600
2015-11-06,5.89,8900,0.1(1.14 %),30300,270120000,0,0,9000,9000,8800
2015-11-09,5.89,8900,0(0.00 %),10600,91080000,0,0,8800,8900,8500
2015-11-10,5.69,8600,0(0.00 %),3300,28390000,0,0,8700,8700,8600
2015-11-11,5.69,8600,0(0.00 %),2900,24940000,0,0,8600,8600,8600
2015-11-12,5.76,8700,0.1(1.16 %),2700,23420000,0,0,8600,8700,8600
2015-11-13,5.96,9000,0.3(3.45 %),500,4460000,0,0,9000,9000,8800
2015-11-16,5.96,9000,0.1(1.12 %),0,0,0,0,8900,9000,8900
2015-11-17,5.82,8800,-0.1(-1.12 %),10300,90720000,0,0,9000,9000,8800
2015-11-18,5.82,8800,0(0.00 %),5200,45630000,0,0,8800,8800,8180
2015-11-19,5.82,8800,0(0.00 %),2000,17600000,0,0,8800,8800,8800
2015-11-20,5.82,8800,0(0.00 %),18900,166320000,0,0,8800,8800,8800
2015-11-23,5.69,8600,-0.2(-2.27 %),11000,94690000,0,0,8600,8700,8600
2015-11-24,5.63,8500,-0.1(-1.16 %),2100,17960000,0,0,8600,8600,8500
2015-11-25,5.43,8200,-0.4(-4.65 %),2300,18890000,0,0,8200,8300,8200
