Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-12-25,5.42,62000,0(0.00 %),75990,4713000000,0,0,62000,63000,62000
2007-12-26,5.42,62000,0(0.00 %),18760,1157000000,0,0,61000,62000,60000
2007-12-27,5.42,62000,0(0.00 %),14660,908000000,0,0,62000,62000,61500
2007-12-28,5.56,63500,1.5(2.42 %),64510,4062000000,0,0,62000,63500,61500
2008-01-02,5.42,62000,-1.5(-2.36 %),21700,1354000000,0,0,63000,63000,62000
2008-01-03,5.25,60000,-2(-3.23 %),16300,987000000,0,0,62000,62000,60000
2008-01-04,5.16,59000,-1(-1.67 %),5800,342000000,0,0,59000,59000,59000
2008-01-07,4.94,56500,-2.5(-4.24 %),14350,813000000,0,0,57000,57000,56500
2008-01-08,4.72,54000,-2.5(-4.42 %),29290,1606000000,0,0,55500,56000,54000
2008-01-09,4.64,53000,-1(-1.85 %),21010,1111000000,0,0,55000,55000,52000
2008-01-10,4.46,51000,-2(-3.77 %),2500,129000000,0,0,52000,52000,51000
2008-01-11,4.68,53500,2.5(4.90 %),8220,440000000,0,0,53500,53500,53000
2008-01-14,4.81,55000,1.5(2.80 %),3110,171000000,0,0,56000,56000,55000
2008-01-15,4.68,53500,-1.5(-2.73 %),5000,270000000,0,0,57000,57000,53000
2008-01-16,4.86,55500,2(3.74 %),47500,2625000000,0,0,55000,55500,55000
2008-01-17,4.64,53000,-2.5(-4.50 %),44120,2362000000,0,0,55500,55500,53000
2008-01-18,4.64,53000,0(0.00 %),18610,986000000,0,0,54500,54500,53000
2008-01-21,4.72,54000,1(1.89 %),4410,234000000,0,0,55000,55000,53000
2008-01-22,4.51,51500,-2.5(-4.63 %),13010,670000000,0,0,51500,53000,51500
2008-01-23,4.29,49000,-2.5(-4.85 %),9120,448000000,0,0,49500,49500,49000
2008-01-24,4.08,46600,-2.4(-4.90 %),57950,2853000000,0,0,51000,51000,46600
2008-01-25,4.2,48000,1.4(3.00 %),38120,1830000000,0,0,48000,48000,48000
2008-01-28,3.99,45600,-2.4(-5.00 %),50500,2309000000,0,0,46100,47000,45600
2008-01-29,4.18,47800,2.2(4.82 %),3180,149000000,0,0,45600,47800,45600
2008-01-30,4.37,50000,2.2(4.60 %),142300,7016000000,0,0,49000,50000,46500
2008-01-31,4.16,47500,-2.5(-5.00 %),94640,4528000000,0,0,50000,50000,47500
2008-02-01,4.29,49000,1.5(3.16 %),95740,4706000000,0,0,49400,49500,48500
2008-02-12,4.37,49900,0.9(1.84 %),88040,4254000000,0,0,47100,51000,47000
2008-02-13,4.29,49000,-0.9(-1.80 %),3900,192000000,0,0,49900,49900,49000
2008-02-14,4.24,48500,-0.5(-1.02 %),12880,634000000,0,0,50000,50000,48500
2008-02-15,4.29,49000,0.5(1.03 %),30890,1512000000,0,0,49000,49000,48400
2008-02-18,4.11,47000,-2(-4.08 %),33910,1616000000,0,0,48500,48500,47000
2008-02-19,4.11,47000,0(0.00 %),2150,102000000,0,0,46200,48000,46200
