Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-05-18,64.36,110500,0(0.00 %),0,0,267800000,30716660000000,110500,110500,110500
2018-05-21,64.36,110500,0(0.00 %),0,0,0,0,110500,110500,110500
2018-05-22,68.85,118200,7.7(6.97 %),20,2000000,0,0,118200,118200,118200
2018-05-23,64.25,110300,-7.9(-6.68 %),4839580,536081000000,484300,53273000000,114500,114500,110000
2018-05-24,66.69,114500,4.2(3.81 %),1937240,217951000000,650000,73117500000,110800,114800,110100
2018-05-25,68.44,117500,3(2.62 %),1749720,205392000000,350000,41353000000,114800,119900,114500
2018-05-28,68.15,117000,-0.5(-0.43 %),2944740,341683000000,109220,12779832200,111000,118000,111000
2018-05-29,67.57,116000,-1(-0.85 %),884320,102091000000,800000,91760000000,117000,117200,113100
2018-05-30,68.15,117000,1(0.86 %),2448260,280923000000,0,0,116000,117000,113000
2018-05-31,67.04,115100,-1.9(-1.62 %),1178690,137164000000,0,0,117000,117500,115100
2018-06-01,67.86,116500,1.4(1.22 %),814870,94617000000,289000,33479440000,115100,117500,114500
2018-06-04,68.67,117900,1.4(1.20 %),1762630,206081000000,96000,11223360000,116000,117900,115500
2018-06-05,68.73,118000,0.1(0.08 %),1229890,144998000000,470000,55293000000,117900,119000,117000
2018-06-06,69.9,120000,2(1.69 %),712230,84388000000,285510,33827224800,117500,120900,117000
2018-06-07,69.9,120000,0(0.00 %),1167210,138712000000,50000,5931000000,122000,122000,111600
2018-06-08,69.9,120000,0(0.00 %),462940,55260000000,0,0,120000,120900,117500
2018-06-11,69.9,120000,0(0.00 %),425790,51039000000,500000,59764000000,120800,120800,119000
2018-06-12,68.73,118000,-2(-1.67 %),816310,96566000000,400000,47100000000,120000,120000,117000
2018-06-13,68.73,118000,0(0.00 %),289590,34157000000,0,0,118000,118400,117600
2018-06-14,68.15,117000,-1(-0.85 %),624230,73029000000,20000,2200000000,118000,118500,116300
2018-06-15,67.86,116500,-0.5(-0.43 %),213150,24926000000,0,0,117700,117700,116500
2018-06-18,67.86,116500,0(0.00 %),626280,72971000000,0,0,116500,118000,116000
2018-06-19,66.98,115000,-1.5(-1.29 %),770730,89026000000,600000,69262000000,116500,116500,114700
2018-06-20,66.98,115000,0(0.00 %),613980,69934000000,0,0,107100,116000,107100
2018-06-21,66.98,115000,0(0.00 %),117280,13436000000,0,0,115000,115100,114000
2018-06-22,66.52,114200,-0.8(-0.70 %),83230,9525000000,0,0,115000,115000,114000
2018-06-25,67.28,115500,1.3(1.14 %),214260,24668000000,0,0,114200,115900,114200
2018-06-26,66.98,115000,-0.5(-0.43 %),112440,12895000000,0,0,115500,115500,114100
2018-06-27,64.07,110000,-5(-4.35 %),305740,34173000000,0,0,112500,114100,110000
2018-06-28,64.07,110000,0(0.00 %),185920,20404000000,45000,4948650000,110000,113000,108000
2018-06-29,65.47,112400,2.4(2.18 %),321730,35727000000,385690,42133055000,113000,113000,108500
2018-07-02,64.83,111300,-1.1(-0.98 %),456190,50732000000,79310,8824823700,112500,112500,110000
2018-07-03,60.34,103600,-7.7(-6.92 %),165430,17746000000,0,0,111300,111300,103600
2018-07-04,64.54,110800,7.2(6.95 %),1358170,148516000000,248850,27211747500,102100,110800,102100
2018-07-05,66.4,114000,3.2(2.89 %),1208630,137134000000,248700,28219989000,110800,115000,110800
2018-07-06,65.53,112500,-1.5(-1.32 %),497040,56199000000,0,0,111500,113900,111500
2018-07-09,65.7,112800,0.3(0.27 %),134390,15171000000,175290,19788488100,112500,113400,112500
2018-07-10,64.65,111000,-1.8(-1.60 %),298180,32744000000,466000,51124860000,112700,112800,108500
2018-07-11,63.9,109700,-1.3(-1.17 %),86370,9480000000,200000,21952000000,110000,111000,108000
2018-07-12,64.07,110000,0.3(0.27 %),113470,12475000000,0,0,110000,110800,108000
2018-07-13,63.66,109300,-0.7(-0.64 %),57420,6300000000,100000,10972000000,107300,111000,107300
2018-07-16,61.74,106000,-3.3(-3.02 %),93750,10150000000,0,0,110500,110500,106000
2018-07-17,61.74,106000,0(0.00 %),410540,44492000000,256000,27742720000,109000,111000,106000
2018-07-18,62.56,107400,1.4(1.32 %),115930,12503000000,0,0,110000,110000,107000
2018-07-19,62.03,106500,-0.9(-0.84 %),359780,38516000000,0,0,108000,108000,106500
2018-07-20,62.27,106900,0.4(0.38 %),361710,38679000000,0,0,106900,108000,106100
2018-07-23,62.79,107800,0.9(0.84 %),140470,15053000000,100000,10716000000,107800,109500,103000
2018-07-24,62.03,106500,-1.3(-1.21 %),52950,5626000000,0,0,103000,107700,103000
2018-07-25,62.03,106500,0(0.00 %),123900,13215000000,70000,7466900000,107000,107000,105400
2018-07-26,61.74,106000,-0.5(-0.47 %),205970,21906000000,0,0,106500,107800,106000
2018-07-27,61.68,105900,-0.1(-0.09 %),67370,7121000000,190000,20081100000,106000,106500,105000
2018-07-30,64.36,110500,4.6(4.34 %),324540,35096000000,134000,14498800000,106000,110500,105000
2018-07-31,64.25,110300,-0.2(-0.18 %),170450,18797000000,0,0,112000,112000,108800
2018-08-01,63.26,108600,-1.7(-1.54 %),320670,35002000000,0,0,110300,110400,108500
2018-08-02,63.37,108800,0.2(0.18 %),265210,28904000000,0,0,109900,109900,108600
2018-08-03,63.49,109000,0.2(0.18 %),398200,43412000000,60000,6540000000,109200,109700,108500
2018-08-06,63.49,109000,0(0.00 %),182880,19931000000,290000,31601300000,109000,109100,108800
2018-08-07,62.62,107500,-1.5(-1.38 %),160500,17342000000,0,0,109000,109000,107000
2018-08-08,62.91,108000,0.5(0.47 %),134310,14515000000,150500,16264535000,107500,108800,107500
2018-08-09,63.31,108700,0.7(0.65 %),285670,31113000000,0,0,108000,109000,108000
2018-08-10,62.27,106900,-1.8(-1.66 %),120470,12886000000,300000,32088000000,109000,109000,106000
2018-08-13,62.62,107500,0.6(0.56 %),1088420,117266000000,347140,37376035200,108400,108400,106900
2018-08-14,62.79,107800,0.3(0.28 %),406610,43824000000,461210,49607525000,107000,108000,107000
2018-08-15,62.79,107800,0(0.00 %),436300,47001000000,114870,12365960000,107800,107900,107100
2018-08-16,62.79,107800,0(0.00 %),726220,78182000000,0,0,107800,107900,107100
2018-08-17,63.37,108800,1(0.93 %),1125570,123991000000,300000,32945000000,114000,114000,108800
2018-08-20,63.37,108800,0(0.00 %),575880,62837000000,500000,54500000000,111400,111400,108800
2018-08-21,64.01,109900,1.1(1.01 %),741280,81412000000,214560,23562960000,108800,110500,108800
2018-08-22,64.01,109900,0(0.00 %),415780,45789000000,634600,70004460000,109900,110800,109600
2018-08-23,65.18,111900,2(1.82 %),1371780,152889000000,200000,22320000000,110000,112100,110000
2018-08-24,64.95,111500,-0.4(-0.36 %),1340480,150238000000,536250,60124375000,112200,112900,111100
2018-08-27,64.95,111500,0(0.00 %),913670,101819000000,530000,59038880000,111900,111900,111300
2018-08-28,64.65,111000,-0.5(-0.45 %),817180,90583000000,0,0,111500,111500,110500
2018-08-29,63.08,108300,-2.7(-2.43 %),303590,33113000000,0,0,111000,111000,108300
2018-08-30,62.56,107400,-0.9(-0.83 %),409540,43876000000,1100250,117851137500,108000,108000,106500
2018-08-31,60.58,104000,-3.4(-3.17 %),3027640,328877000000,595000,64594850000,107400,111200,104000
2018-09-04,61.1,104900,0.9(0.87 %),225530,23908000000,480320,51036020000,106900,107700,104200
2018-09-05,61.74,106000,1.1(1.05 %),318560,33718000000,250000,26466500000,105800,106000,105100
2018-09-06,61.16,105000,-1(-0.94 %),287240,30202000000,20430,2144741400,106000,106000,104600
2018-09-07,61.04,104800,-0.2(-0.19 %),459090,48065000000,58000,6075500000,104000,105000,104000
2018-09-10,60.93,104600,-0.2(-0.19 %),532950,55933000000,110000,11543400000,105500,105500,104600
2018-09-11,60.4,103700,-0.9(-0.86 %),483770,50439000000,115920,12085819200,104000,105000,103700
2018-09-12,60.58,104000,0.3(0.29 %),605640,63143000000,194000,20186820000,104800,104800,103800
2018-09-13,61.22,105100,1.1(1.06 %),836910,87904000000,171500,18000640000,104000,105600,104000
2018-09-14,61.45,105500,0.4(0.38 %),591790,62453000000,139330,14695135100,105800,106000,105300
2018-09-17,61.45,105500,0(0.00 %),1287240,135873000000,2576768,271982763600,105500,106700,105400
2018-09-18,60.93,104600,-0.9(-0.85 %),207550,21688000000,1964119,205181794310,105500,105500,104000
2018-09-19,60.93,104600,0(0.00 %),258160,27022000000,400000,41868000000,105400,105400,103000
2018-09-20,61.16,105000,0.4(0.38 %),336900,35164000000,439000,45853550000,105000,105000,103900
2018-09-21,59.12,101500,-3.5(-3.33 %),8102520,823973000000,6848000,696194000000,104600,105100,101500
2018-09-24,59.94,102900,1.4(1.38 %),634680,64839000000,0,0,101500,103000,101500
2018-09-25,59.65,102400,-0.5(-0.49 %),472130,48433000000,150000,15343500000,102400,103400,101600
2018-09-26,59.35,101900,-0.5(-0.49 %),473580,48335000000,40000,4080000000,102000,102500,101900
2018-09-27,60.58,104000,2.1(2.06 %),525990,54671000000,559480,58167783700,104000,104500,103000
2018-09-28,61.74,106000,2(1.92 %),846730,89159000000,900000,94713000000,105500,106000,104600
2018-10-01,60.05,103100,-2.9(-2.74 %),523580,55273000000,0,0,106500,107100,103100
2018-10-02,60.58,104000,0.9(0.87 %),534540,55797000000,250000,26065000000,104300,105000,103800
2018-10-03,59.41,102000,-2(-1.92 %),467970,48135000000,40000,4160000000,104900,104900,101900
2018-10-04,59.76,102600,0.6(0.59 %),331810,34163000000,0,0,104000,104000,102600
2018-10-05,59.47,102100,-0.5(-0.49 %),304710,31285000000,0,0,104000,104000,102100
2018-10-08,58.25,95000,-1.68(-2.06 %),265800,21773000000,0,0,95000,95000,95000
2018-10-09,58.25,80000,0(0.00 %),267080,21672000000,0,0,81200,82200,80000
2018-10-10,58.32,80100,0.1(0.12 %),378520,30418000000,0,0,81500,81500,80000
2018-10-11,55.7,76500,-3.6(-4.49 %),736740,56642000000,0,0,76500,80200,75100
2018-10-12,56.06,77000,0.5(0.65 %),666960,51622000000,0,0,76500,79000,76000
2018-10-15,53.22,73100,-3.9(-5.06 %),505140,37905000000,350000,26285000000,77000,77000,73000
2018-10-16,54.32,74600,1.5(2.05 %),349810,26123000000,1660000,124084800000,73100,75100,73100
2018-10-17,55.63,76400,1.8(2.41 %),300010,22927000000,858370,65611931400,76400,77000,75000
2018-10-18,55.04,75600,-0.8(-1.05 %),146220,11139000000,0,0,76400,76800,75500
2018-10-19,54.46,74800,-0.8(-1.06 %),282610,21211000000,0,0,74600,76100,74000
2018-10-22,54.39,74700,-0.1(-0.13 %),252630,18951000000,0,0,74800,75500,74700
2018-10-23,53.95,74100,-0.6(-0.80 %),136760,10103000000,271980,20088442800,73800,74500,73400
2018-10-24,52.79,72500,-1.6(-2.16 %),233830,17176000000,300000,21999000000,73500,74200,72500
2018-10-25,49.87,68500,-4(-5.52 %),479440,33024000000,737360,53544720000,68500,70200,68000
2018-10-26,47.33,65000,-3.5(-5.11 %),1004220,65383000000,0,0,68500,69000,63800
2018-10-29,45.0,61800,-3.2(-4.92 %),338080,20978000000,587180,36979420000,62500,63600,61000
2018-10-30,45.21,62100,0.3(0.49 %),574230,35701000000,215000,13340400000,60100,63000,60000
2018-10-31,48.35,66400,4.3(6.92 %),1099060,71683000000,837270,54559915000,62300,66400,62300
2018-11-01,50.24,69000,2.6(3.92 %),871070,59986000000,0,0,65100,70000,65100
2018-11-02,52.42,72000,3(4.35 %),1170010,85107000000,314740,22916854400,70000,73800,70000
2018-11-05,52.42,72000,0(0.00 %),758430,54630000000,91940,6615083000,73000,73800,71000
2018-11-06,52.42,72000,0(0.00 %),379000,27219000000,0,0,73000,73000,71000
2018-11-07,52.93,72700,0.7(0.97 %),298710,21410000000,110000,7929900000,72400,72700,70800
2018-11-08,54.39,74700,2(2.75 %),481780,35611000000,86500,6413360000,73400,74700,73000
2018-11-09,55.34,76000,1.3(1.74 %),520370,39367000000,153760,11588142400,74500,76600,74000
2018-11-12,55.34,76000,0(0.00 %),274460,20796000000,0,0,75400,76200,75100
2018-11-13,55.19,75800,-0.2(-0.26 %),271790,20506000000,0,0,73100,76000,73100
2018-11-14,55.19,75800,0(0.00 %),284050,21515000000,50000,3790000000,75800,76000,75000
2018-11-15,54.97,75500,-0.3(-0.40 %),301910,22665000000,30000,2248500000,74800,75800,74500
2018-11-16,51.84,71200,-4.3(-5.70 %),788790,56441000000,1291910,99650946800,74500,74900,70500
2018-11-19,53.08,72900,1.7(2.39 %),323690,23090000000,1085316,81602736000,71500,72900,69900
2018-11-20,54.61,75000,2.1(2.88 %),500750,37312000000,494123,37064297770,72100,75500,72100
2018-11-21,55.19,75800,0.8(1.07 %),451550,33822000000,144780,10854156600,75000,75800,73200
2018-11-22,56.06,77000,1.2(1.58 %),504210,38793000000,130970,10091207100,75500,78000,75000
2018-11-23,55.41,76100,-0.9(-1.17 %),89640,6879000000,0,0,77000,77800,76100
2018-11-26,56.06,77000,0.9(1.18 %),301550,23170000000,475037,36742408500,76000,77300,75500
2018-11-27,57.01,78300,1.3(1.69 %),399420,31253000000,593977,46655710000,77500,78600,77400
2018-11-28,57.01,78300,0(0.00 %),170200,13277000000,321695,25138799000,78000,78400,77500
2018-11-29,57.3,78700,0.4(0.51 %),473940,37233000000,130820,10271986400,78500,78900,78400
2018-11-30,56.65,77800,-0.9(-1.14 %),593960,45996000000,0,0,78700,78900,76000
2018-12-03,56.57,77700,-0.1(-0.13 %),194530,15169000000,415500,32417310000,78500,78700,77700
2018-12-04,59.7,82000,4.3(5.53 %),700280,56079000000,415000,32780850000,78000,83000,78000
2018-12-05,58.76,80700,-1.3(-1.59 %),384670,31416000000,425000,34748000000,80000,82500,80000
2018-12-06,59.27,81400,0.7(0.87 %),256140,20791000000,0,0,81000,81900,80500
2018-12-07,58.25,80000,-1.4(-1.72 %),250620,20213000000,0,0,81400,81400,80000
2018-12-10,58.25,80000,0(0.00 %),345240,27377000000,0,0,79800,80000,79000
2018-12-11,58.47,80300,0.3(0.38 %),141650,11377000000,0,0,81400,81400,79900
2018-12-12,58.47,80300,0(0.00 %),204900,16425000000,0,0,80300,80400,79700
2018-12-13,58.47,80300,0(0.00 %),162470,13075000000,205340,16523709800,80100,81300,80100
2018-12-14,58.1,79800,-0.5(-0.62 %),97030,7752000000,83670,6683559600,80300,80300,79500
2018-12-17,56.43,77500,-2.3(-2.88 %),461140,35767000000,100000,7760000000,79800,79900,76500
2018-12-18,56.43,77500,0(0.00 %),323660,24823000000,52000,3984240000,76000,78000,75500
2018-12-19,56.43,77500,0(0.00 %),217620,16824000000,0,0,78000,78000,76700
2018-12-20,56.35,77400,-0.1(-0.13 %),184090,14239000000,0,0,76800,77600,76800
2018-12-21,53.81,73900,-3.5(-4.52 %),1469270,108862000000,0,0,76800,76800,73900
2018-12-24,54.17,74400,0.5(0.68 %),172180,12882000000,0,0,75000,76000,74300
2018-12-25,53.51,73500,-0.9(-1.21 %),232270,16935000000,0,0,73000,74000,72300
2018-12-26,52.42,72000,-1.5(-2.04 %),547940,39488000000,0,0,73100,73500,71400
2018-12-27,53.37,73300,1.3(1.81 %),304690,22392000000,0,0,73900,73900,72900
2018-12-28,53.44,73400,0.1(0.14 %),399190,29426000000,0,0,73800,74500,73400
