Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-01-10,2.36,18700,0(0.00 %),234947,4396141200,179516,2872256000,19100,19100,18500
2017-01-11,2.34,18500,-0.2(-1.07 %),173442,3192131500,74728,1195641000,18700,18700,18300
2017-01-12,2.12,17200,-1.6(-8.70 %),52349,895694200,0,0,18000,18000,17200
2017-01-13,1.92,15600,-1.9(-11.11 %),70740,1083665000,49582,793312000,16300,16300,15600
2017-01-16,1.93,15300,0(0.00 %),134435,2040731000,147931,2366896000,15400,15400,14900
2017-01-17,1.98,15700,0.5(3.29 %),40175,616188200,108531,1736496000,15000,15700,15000
2017-01-18,2.0,15800,0.5(3.27 %),20408,320236800,53362,853792000,15700,15800,15500
2017-01-19,2.02,16000,0.3(1.91 %),73089,1152518400,0,0,15700,16000,15600
2017-01-20,2.01,15900,0.1(0.63 %),52135,832843900,89126,1426016000,15800,16500,15800
2017-01-23,2.05,16200,0.2(1.25 %),42247,709353500,0,0,16500,16900,16200
2017-01-24,2.15,17000,0.2(1.19 %),63225,1073896000,0,0,16700,17000,16700
2017-01-25,2.14,16900,-0.1(-0.59 %),1610,27209000,0,0,16900,16900,16900
2017-02-02,2.06,16300,-0.6(-3.55 %),9810,161458000,0,0,16900,16900,16100
2017-02-03,2.11,16700,0.2(1.21 %),7890,130039000,0,0,16100,16900,16100
2017-02-06,2.09,16500,0(0.00 %),75013,1238155100,0,0,16600,16600,16500
2017-02-07,2.09,16500,0(0.00 %),23900,394350000,0,0,16500,16500,16500
2017-02-08,2.06,16300,-0.2(-1.21 %),11454,187487500,0,0,16500,16500,16300
2017-02-09,2.07,16400,0(0.00 %),27845,460763500,0,0,16500,16800,16400
2017-02-10,2.14,16900,0.4(2.42 %),12638,212087000,0,0,16500,16900,16500
2017-02-13,2.12,16800,0(0.00 %),24240,402986000,0,0,16400,16800,16400
2017-02-14,2.1,16600,0(0.00 %),17715,294767500,0,0,16600,16700,16600
2017-02-15,2.11,16700,0.1(0.60 %),53610,900650000,18760,300160000,16500,17000,16500
2017-02-16,2.15,17000,0.2(1.19 %),62280,1060895000,0,0,16900,17200,16900
2017-02-17,2.12,16800,-0.2(-1.18 %),1540,25875000,0,0,16800,16800,16800
2017-02-20,2.14,16900,0.1(0.60 %),20599,349957000,0,0,16800,17200,16800
2017-02-21,2.15,17000,0(0.00 %),12750,215811500,0,0,16900,17000,16800
2017-02-22,2.14,16900,0(0.00 %),41019,697146000,74135,1260295000,17000,17100,16900
2017-02-23,2.12,16800,-0.2(-1.18 %),60220,1018303600,0,0,17000,17000,16800
2017-02-24,2.15,17000,0.1(0.59 %),30064,510101600,0,0,17000,17000,16900
2017-02-27,2.15,17000,0(0.00 %),16720,283539900,93,1348500,17000,17000,16900
2017-02-28,2.16,17100,0.1(0.59 %),13447,229477300,0,0,16900,17200,16900
2017-03-01,2.19,17300,0.2(1.17 %),8158,140400600,0,0,17100,17500,17100
2017-03-02,2.21,17500,0.3(1.74 %),17246,303213100,0,0,17600,18300,17400
2017-03-03,2.24,17700,0.1(0.57 %),13301,234641900,0,0,17600,17700,17600
2017-03-06,2.21,17500,-0.1(-0.57 %),20752,364032000,0,0,17700,17700,17500
2017-03-07,2.22,17600,0.1(0.57 %),15280,264466200,0,0,17200,17700,17200
2017-03-08,2.19,17300,0(0.00 %),4000,69190000,0,0,17300,17300,17300
2017-03-09,2.19,17300,0(0.00 %),6619,114326800,0,0,17300,17300,17200
2017-03-10,2.21,17500,0.2(1.16 %),1400,24480000,0,0,17300,17500,17300
2017-03-13,2.21,17500,0(0.00 %),3515,61461000,0,0,17500,17600,17500
2017-03-14,2.22,17600,0.1(0.57 %),12650,221675000,0,0,17500,17700,17500
2017-03-15,2.21,17500,0(0.00 %),42200,734560000,20000,356000000,17400,17500,17300
2017-03-16,2.21,17500,0.1(0.57 %),12643,221238200,19100,298190000,17500,17500,17500
2017-03-17,2.22,17600,0.1(0.57 %),4767,83849100,0,0,17600,17600,17600
2017-03-20,2.2,17400,-0.2(-1.14 %),15087,263783000,0,0,17600,17600,17400
2017-03-21,2.21,17500,0(0.00 %),8753,153178500,0,0,17500,17500,17500
2017-03-22,2.21,17500,0(0.00 %),23629,415053100,0,0,17800,17800,17500
2017-03-23,2.21,17500,-0.1(-0.57 %),7280,127388000,0,0,17500,17500,17500
2017-03-24,2.21,17500,0(0.00 %),13548,239538800,240000,4272000000,17200,17800,17200
2017-03-27,2.22,17600,-0.1(-0.56 %),4030,70620000,0,0,17500,17600,17500
2017-03-28,2.24,17700,0.2(1.14 %),11397,201042200,0,0,17500,17800,17500
2017-03-29,2.22,17600,0(0.00 %),3496,62528000,0,0,18000,18000,17600
2017-03-30,2.24,17700,-0.2(-1.12 %),15105,269508500,80000,1424000000,18000,18000,17700
2017-03-31,2.27,18000,0.2(1.12 %),42058,756519600,0,0,18000,18000,17700
2017-04-03,2.33,18400,0.4(2.22 %),27703,508504000,0,0,18000,18500,18000
2017-04-04,2.33,18400,0(0.00 %),21211,392288500,0,0,18500,18500,18400
2017-04-05,2.34,18500,0(0.00 %),35224,658313400,0,0,18700,18800,18500
2017-04-07,2.35,18600,-0.1(-0.53 %),18220,339001000,0,0,18800,18800,18500
2017-04-10,2.36,18700,0.1(0.54 %),3630,67849000,0,0,18600,18700,18600
2017-04-11,2.39,18900,0.2(1.07 %),54706,1034374200,33881,643739000,18700,19200,18700
2017-04-12,2.39,18900,0(0.00 %),25639,485049300,0,0,18700,19100,18700
2017-04-13,2.57,20200,1.4(7.41 %),93217,1881768000,0,0,19100,20200,19100
2017-04-14,2.5,19800,-0.4(-1.98 %),6810,137402000,0,0,20300,20500,19800
2017-04-17,2.5,19800,-0.4(-1.98 %),23971,470725300,0,0,20200,20200,19000
2017-04-18,2.5,19800,0.2(1.02 %),91100,1799410000,0,0,19900,19900,19600
2017-04-19,2.52,19900,0.1(0.51 %),78130,1552704000,0,0,19800,20000,19800
2017-04-20,2.54,20100,0.2(1.01 %),31708,634501600,0,0,19900,20200,19900
2017-04-21,2.53,20000,0(0.00 %),60210,1204200000,0,0,20000,20000,20000
2017-04-24,2.53,20000,0(0.00 %),51260,1024060000,0,0,20000,20000,19800
2017-04-25,2.55,20200,0.2(1.00 %),70300,1408580000,0,0,20100,20500,20000
2017-04-26,2.53,20000,0(0.00 %),10591,212865200,0,0,20000,20400,20000
2017-04-27,2.53,20000,-0.1(-0.50 %),44740,895953000,0,0,20000,20500,20000
2017-04-28,2.57,20300,0.3(1.50 %),17003,344084200,0,0,20200,20500,20100
2017-05-03,2.62,20700,0.5(2.48 %),4440,91242000,0,0,20900,20900,20200
2017-05-04,2.59,20500,-0.1(-0.49 %),40700,830140000,0,0,20600,20600,20100
2017-05-05,2.6,20600,0.2(0.98 %),116900,2385980000,0,0,20400,20600,20300
2017-05-08,2.59,20500,0.1(0.49 %),11150,228540500,100000,2040000000,20500,20500,20500
2017-05-09,2.64,20900,0.4(1.95 %),36600,755790000,0,0,20700,20900,20600
2017-05-10,2.62,20700,0(0.00 %),81510,1687506000,30000,624000000,20800,20800,20700
2017-05-11,2.65,21000,0.3(1.45 %),47501,992670300,0,0,20800,21000,20700
2017-05-12,2.7,21400,0.5(2.39 %),214450,4577890000,0,0,21300,21500,21000
2017-05-15,2.91,22900,1.7(7.98 %),63980,1385262000,0,0,21400,22900,21300
2017-05-16,3.15,24600,3.2(14.75 %),140547,3441658000,0,0,23000,24600,23000
2017-05-17,3.35,26500,2(8.16 %),99635,2737060000,0,0,26650,26650,25900
2017-05-18,3.06,24650,-3.3(-12.00 %),42831,1077025000,0,0,28350,28350,24650
2017-05-19,2.98,23600,-1.5(-5.98 %),99690,2420279000,0,0,24200,24900,23100
2017-05-22,2.97,23500,-0.8(-3.29 %),101918,2422452000,0,0,24500,24800,23100
2017-05-23,3.01,23800,0(0.00 %),30000,711880000,0,0,24000,24100,23500
2017-05-24,2.78,22150,-1.7(-7.17 %),69055,1569346000,0,0,24000,24000,22150
2017-05-25,2.77,21900,-0.8(-3.52 %),30545,674488000,0,0,22200,22200,21700
2017-05-26,2.78,22000,-0.1(-0.45 %),4924,107646000,0,0,22000,22100,21100
2017-05-29,2.87,22700,0.8(3.65 %),57110,1289605000,0,0,22000,23400,22000
2017-05-30,2.86,22600,0(0.00 %),42619,963769400,0,0,22800,23400,22400
2017-05-31,2.86,22600,0(0.00 %),16824,384240000,0,0,23000,23000,22500
2017-06-01,2.78,22000,-0.8(-3.51 %),16940,376434000,0,0,23400,23400,22000
2017-06-02,2.87,22200,0.5(2.30 %),2580,57016000,0,0,22800,23000,22000
2017-06-05,2.84,22000,-0.2(-0.90 %),39900,884280000,0,0,22200,22800,22000
2017-06-06,2.87,22200,0(0.00 %),53340,1179900000,0,0,22100,22200,22000
2017-06-07,2.88,22300,0.2(0.90 %),69855,1551880500,0,0,22900,22900,22100
2017-06-08,2.86,22100,-0.1(-0.45 %),50310,1109610000,0,0,22100,22100,22000
2017-06-09,2.84,22000,-0.1(-0.45 %),43100,948230000,0,0,22000,22100,22000
2017-06-12,2.84,22000,0(0.00 %),32600,717200000,0,0,22000,22000,22000
2017-06-13,2.84,22000,0(0.00 %),17910,395070000,0,0,22100,22100,21900
2017-06-14,2.84,22000,-0.1(-0.45 %),16820,370510000,78652,1478657600,22100,22100,21900
2017-06-16,2.83,21900,-0.1(-0.45 %),21702,471534200,0,0,22100,22100,21000
2017-06-19,2.83,21900,0.2(0.92 %),18800,412660000,311652,7256762000,22000,22000,21900
2017-06-20,2.92,22600,0.6(2.73 %),11400,256950400,0,0,22100,22600,22100
2017-06-21,2.97,23000,0.5(2.22 %),17760,405057900,0,0,22700,23000,22700
2017-06-22,2.97,23000,0.2(0.88 %),13800,314850000,233000,4520200000,22200,23000,22200
2017-06-23,2.97,23000,0.2(0.88 %),29797,672814000,0,0,22800,23000,22500
2017-06-26,2.95,22800,0.2(0.88 %),13584,310723900,1301,25109300,23000,23000,22800
2017-06-27,2.91,22500,-0.4(-1.75 %),17335,390537500,0,0,22600,22600,22500
2017-06-28,2.91,22500,0(0.00 %),111030,2498175000,0,0,22500,22500,22500
2017-06-29,2.92,22600,0.1(0.44 %),60500,1361850000,233000,4520200000,22500,22600,22500
2017-06-30,2.91,22500,0(0.00 %),17069,381752500,0,0,22500,22500,22000
2017-07-03,2.96,22900,0.5(2.23 %),5100,115680200,0,0,22500,22900,22500
2017-07-04,2.92,22600,-0.1(-0.44 %),100,2260000,0,0,22600,22600,22600
2017-07-05,2.97,23000,0.4(1.77 %),62500,1436070000,50000,1150000000,22800,23000,22500
2017-07-06,2.95,22800,-0.2(-0.87 %),21580,492394000,0,0,22800,23000,22800
2017-07-07,2.94,22700,-0.1(-0.44 %),6850,156232000,0,0,23000,23000,22700
2017-07-10,2.95,22800,0(0.00 %),15620,354728000,0,0,22800,22800,22600
2017-07-11,2.95,22800,0.1(0.44 %),210170,4791376000,0,0,22800,22800,22700
2017-07-12,2.95,22800,0(0.00 %),169000,3853300000,0,0,22800,22900,22800
2017-07-13,2.94,22700,-0.1(-0.44 %),800,18170000,0,0,22800,22800,22700
2017-07-14,2.92,22600,-0.1(-0.44 %),84050,1902534200,0,0,22700,22700,22600
2017-07-17,2.65,21000,-2.1(-9.29 %),3992,88151600,0,0,22600,22600,21000
2017-07-18,2.74,21200,-0.9(-4.07 %),430,9445000,0,0,21950,21950,21200
2017-07-19,2.84,22000,0(0.00 %),50300,1133390000,0,0,21900,22700,21900
2017-07-20,2.88,22300,-0.2(-0.89 %),84700,1904860000,0,0,22500,22600,22300
2017-07-21,2.88,22300,-0.2(-0.89 %),66213,1476558100,0,0,22300,22300,22300
2017-07-24,2.88,22300,0(0.00 %),0,0,0,0,22300,22300,22300
2017-07-25,2.82,21800,-0.5(-2.24 %),6600,139340000,0,0,21500,21800,20750
2017-07-26,2.84,22000,0.9(4.27 %),1000,22070000,0,0,22700,22700,22000
2017-07-27,2.9,22400,0.3(1.36 %),29500,658450000,0,0,22300,22400,22200
2017-07-28,2.94,22700,0.4(1.79 %),27957,625024000,0,0,22300,22800,22000
2017-07-31,2.95,22800,0.4(1.79 %),43600,997440000,0,0,22500,23500,22400
2017-08-01,2.91,22500,-0.4(-1.75 %),49930,1130177000,0,0,22900,23000,22500
2017-08-02,2.91,22500,-0.1(-0.44 %),39100,881720000,0,0,23000,23200,22500
2017-08-03,2.92,22600,0(0.00 %),22150,502655000,0,0,22500,23000,22400
2017-08-04,2.91,22500,-0.2(-0.88 %),18020,407924000,0,0,22700,23000,22500
2017-08-07,2.92,22600,0(0.00 %),19600,443940000,0,0,22900,22900,22500
2017-08-08,2.88,22300,-0.4(-1.76 %),13500,301860000,0,0,22600,22700,22300
2017-08-09,2.84,22000,-0.4(-1.79 %),18469,408401400,0,0,22200,22200,22000
2017-08-10,2.81,21700,-0.4(-1.81 %),25810,564245000,0,0,22000,22200,21700
2017-08-11,2.84,22000,0.1(0.46 %),7300,160600000,0,0,22000,22000,22000
2017-08-14,2.84,22000,0(0.00 %),7066,155301200,0,0,22000,22200,21800
2017-08-15,2.83,21900,-0.1(-0.45 %),8120,179090000,0,0,22500,22500,21900
2017-08-16,2.84,22000,-0.1(-0.45 %),5600,123100000,0,0,22000,22000,21900
2017-08-17,2.81,21700,-0.3(-1.36 %),14780,322192000,0,0,21900,22000,21700
2017-08-18,2.82,21800,0(0.00 %),1700,37060000,0,0,21800,21800,21800
2017-08-21,2.87,22200,0.4(1.83 %),2389,52076200,0,0,21800,22200,21500
2017-08-22,2.78,21500,-0.3(-1.38 %),4321,93957800,0,0,22000,22000,21500
2017-08-23,2.81,21700,0(0.00 %),2665,57790000,0,0,21700,21700,21600
2017-08-24,2.83,21900,0.2(0.92 %),1601,34901700,0,0,21700,21900,21700
2017-08-25,2.83,21900,0.1(0.46 %),3600,78500000,0,0,21900,21900,21500
2017-08-28,2.77,21400,-0.4(-1.83 %),680,14634000,0,0,21800,21800,21400
2017-08-29,2.77,21400,-0.1(-0.47 %),3894,83245400,0,0,21500,21500,21300
2017-08-30,2.77,21400,0(0.00 %),5605,120107000,0,0,21600,21600,21400
2017-08-31,2.73,21100,-0.3(-1.40 %),19290,389118000,0,0,21400,21400,19900
2017-09-01,2.82,21800,1.6(7.92 %),6059,130454900,0,0,21000,21800,21000
2017-09-05,2.78,21500,0(0.00 %),3840,82578000,0,0,21500,21600,21500
2017-09-06,2.78,21500,0(0.00 %),6405,135705500,0,0,21500,21500,20700
2017-09-07,2.78,21500,0.3(1.42 %),30220,649740000,0,0,21500,21600,21500
2017-09-08,2.83,21900,0.4(1.86 %),2070,44441000,0,0,21400,21900,21400
2017-09-12,2.78,21500,0(0.00 %),6600,142620000,0,0,21500,21800,21500
2017-09-13,2.78,21500,-0.1(-0.46 %),7005,151887500,0,0,21800,21800,21500
2017-09-14,2.83,21900,0.2(0.92 %),9480,205867000,1,18500,21800,21900,21700
2017-09-15,2.79,21600,-0.1(-0.46 %),10298,221674000,4063986,91439685000,21700,21700,21500
2017-09-18,2.81,21700,0.2(0.93 %),17601,380341500,3640654,81914715000,21500,21700,21500
2017-09-19,2.84,22000,0.4(1.85 %),34410,748205000,0,0,21600,22000,21500
2017-09-20,2.81,21700,0(0.00 %),10400,225460000,8760000,197100000000,21700,21700,21600
2017-09-21,2.83,21900,0.2(0.92 %),15120,328704000,0,0,21700,21900,21700
2017-09-22,2.82,21800,0.1(0.46 %),7410,161938000,7340083,165151867500,21800,22000,21800
2017-09-25,2.83,21900,0(0.00 %),10463,227238800,0,0,21800,21900,21600
2017-09-26,2.79,21600,-0.1(-0.46 %),47470,1021748000,9000000,202500000000,21700,21800,21400
2017-09-27,2.77,21400,-0.1(-0.47 %),9000,193210000,0,0,21500,21600,21400
2017-09-28,2.79,21600,0.1(0.47 %),10830,233929000,8100000,182250000000,21600,21600,21600
2017-09-29,2.79,21600,0(0.00 %),9228,197256400,0,0,21600,21600,21100
2017-10-02,2.77,21400,0(0.00 %),57190,1225270000,2079880,46797300000,21500,21600,21300
2017-10-03,2.77,21400,0(0.00 %),2115,45261000,0,0,21400,21400,21400
2017-10-04,2.83,21900,0.5(2.34 %),30964,663439900,0,0,21400,21900,21400
2017-10-05,2.77,21400,0(0.00 %),12100,260150000,0,0,21500,21600,21400
2017-10-06,2.78,21500,0(0.00 %),4602,98962800,0,0,21700,21700,21500
2017-10-09,2.78,21500,0(0.00 %),31391,678845600,8937000,201082500000,21700,22000,21500
2017-10-10,2.77,21400,-0.2(-0.93 %),33400,717210000,0,0,21600,21600,21400
2017-10-11,2.78,21500,0(0.00 %),16375,352043000,8978652,201689331600,21500,21500,21500
2017-10-12,2.83,21900,0.4(1.86 %),23651,516248500,0,0,21600,21900,21600
2017-10-13,2.81,21700,-0.1(-0.46 %),19520,421540000,9060000,203850000000,21500,21900,21500
2017-10-16,2.86,22100,0.5(2.31 %),11510,250486000,0,0,21600,22100,21600
2017-10-17,2.81,21700,-0.1(-0.46 %),14275,310083000,762249,17150602500,21800,21800,21600
2017-10-18,2.79,21600,-0.1(-0.46 %),24350,526110000,0,0,21700,21700,21600
2017-10-19,2.84,22000,0.4(1.85 %),8700,190860000,0,0,22000,22000,21800
2017-10-20,2.78,21500,-0.4(-1.83 %),60000,1290380000,0,0,21700,21700,21500
2017-10-23,2.78,21500,0(0.00 %),53500,1159200000,0,0,21500,21800,21500
2017-10-24,2.83,21900,0.2(0.92 %),14120,306744000,0,0,21500,21900,21500
2017-10-25,2.84,22000,0.3(1.38 %),37589,825692100,0,0,21900,22000,21900
2017-10-26,2.88,22300,0.3(1.36 %),5200,116080000,0,0,22900,22900,22300
2017-10-27,2.82,21800,-0.5(-2.24 %),8070,178760000,0,0,22500,22500,21800
2017-10-30,2.87,22200,0(0.00 %),910,19918000,0,0,21800,22200,21800
2017-10-31,2.84,22000,0.1(0.46 %),24370,532077300,200000,4400000000,21800,22000,21800
2017-11-01,2.88,22300,0.5(2.29 %),73766,1655806200,56544250,1272195625000,21600,23100,21600
2017-11-02,2.79,21600,-0.8(-3.57 %),8900,194140000,0,0,22100,22100,21600
2017-11-03,2.79,21600,-0.2(-0.92 %),16450,356030000,2645000,58190000000,21800,21800,21600
2017-11-06,2.79,21600,0(0.00 %),21650,472195000,84370,1603030000,21700,21900,21600
2017-11-07,2.84,22000,0.2(0.92 %),29525,649770500,2495000,54890000000,21800,22500,21800
2017-11-08,2.83,21900,-0.1(-0.45 %),6800,149500000,0,0,22000,22000,21900
2017-11-09,2.79,21600,-0.4(-1.82 %),7267,157022100,0,0,21800,21800,21600
2017-11-10,2.79,21600,0(0.00 %),28010,605116000,0,0,21500,21700,21500
2017-11-13,2.79,21600,0(0.00 %),60120,1313234000,0,0,21500,22000,21500
2017-11-14,2.82,21800,0(0.00 %),19732,429449200,476,9520000,21700,21800,21700
2017-11-15,2.82,21800,0(0.00 %),21744,473397200,0,0,21700,21800,21700
2017-11-16,2.81,21700,-0.1(-0.46 %),40856,889266000,0,0,21700,22000,21700
2017-11-17,2.86,22100,0.3(1.38 %),63913,1404562400,0,0,21800,22300,21800
2017-11-20,2.92,22600,0.6(2.73 %),59000,1320540000,0,0,22000,22600,22000
2017-11-21,2.99,23100,0.7(3.12 %),95892,2213326400,0,0,22500,23700,22500
2017-11-22,3.22,24700,1.8(7.79 %),292899,7293216300,0,0,23200,24700,23200
2017-11-23,3.22,24900,0(0.00 %),124542,3082646900,0,0,24900,25000,23200
2017-11-24,3.21,24800,0(0.00 %),201020,4959517000,0,0,24900,24900,24000
2017-11-27,3.04,23500,-1.2(-4.86 %),91689,2180115300,0,0,24500,24500,23500
2017-11-28,2.97,23000,-0.8(-3.36 %),38889,898164900,0,0,23200,23800,23000
2017-11-29,2.97,23000,-0.1(-0.43 %),37515,863645000,0,0,23100,23100,23000
2017-11-30,2.9,22400,-0.6(-2.61 %),115471,2626191300,0,0,23100,23100,22300
2017-12-01,2.96,22900,0.2(0.88 %),8680,193340000,0,0,22500,22900,22000
2017-12-04,2.92,22600,0.3(1.35 %),60110,1363616000,0,0,22500,23100,22500
2017-12-05,2.96,22900,0.2(0.88 %),172390,3938743000,0,0,23000,23400,22600
2017-12-06,2.95,22800,0(0.00 %),114705,2628623400,0,0,22800,23000,22800
2017-12-07,2.97,23000,0.1(0.44 %),61103,1405832500,0,0,22900,23500,22500
2017-12-08,2.97,23000,0(0.00 %),31131,720022300,39100,899300000,23300,23500,23000
2017-12-11,2.95,22800,-0.3(-1.30 %),43357,998631000,0,0,23000,23500,22800
2017-12-12,2.95,22800,-0.2(-0.87 %),29300,668010000,0,0,22800,23000,22500
2017-12-13,3.0,23200,0.4(1.75 %),170413,3975557800,0,0,22800,23600,22800
2017-12-14,3.04,23500,0.2(0.86 %),160203,3788481000,0,0,23300,24200,23300
2017-12-15,3.05,23600,0(0.00 %),94491,2248225800,0,0,23600,24200,23600
2017-12-18,2.97,23000,-0.8(-3.36 %),106059,2462020600,0,0,24300,24300,23000
2017-12-19,2.96,22900,-0.3(-1.29 %),85153,1961740400,0,0,23000,23300,22800
2017-12-20,2.95,22800,-0.2(-0.87 %),65330,1494044000,0,0,23000,23000,22800
2017-12-21,2.99,23100,0.2(0.87 %),20110,461849000,0,0,22800,23100,22800
2017-12-22,3.03,23400,0.4(1.74 %),18340,424997000,0,0,23100,23400,23000
2017-12-25,2.97,23000,-0.2(-0.86 %),46610,1060906000,0,0,23000,23000,22500
2017-12-26,2.97,23000,0.2(0.88 %),73382,1698505800,0,0,22900,23600,22900
2017-12-27,2.97,23000,-0.1(-0.43 %),48600,1121840000,0,0,23200,23200,23000
2017-12-28,2.97,23000,-0.1(-0.43 %),38900,901550800,0,0,23000,23500,23000
2017-12-29,2.97,23000,-0.2(-0.86 %),46720,1080232000,0,0,23200,23300,23000
2018-01-02,2.97,23000,-0.1(-0.43 %),57022,1318850400,0,0,23000,23400,22800
2018-01-03,2.97,23000,-0.1(-0.43 %),214767,4974155500,0,0,23300,23400,23000
2018-01-04,3.0,23200,0(0.00 %),238386,5567068800,0,0,23300,23600,23000
2018-01-05,3.12,24100,0.7(2.99 %),265531,6331874800,0,0,23200,24200,23200
2018-01-08,3.28,25400,1.6(6.72 %),685881,17231827700,0,0,24500,25700,24500
2018-01-09,3.28,25400,0.3(1.20 %),325410,8216702000,0,0,25800,25800,24900
2018-01-10,3.31,25600,0.3(1.19 %),118480,3020811200,0,0,25800,25800,25300
2018-01-11,3.47,26800,1.3(5.10 %),195003,5116573500,18231,428428500,25500,27000,25300
2018-01-12,3.68,28500,2.3(8.78 %),342285,9556755400,30000,699000000,26800,28700,26800
2018-01-15,3.78,29200,1.3(4.66 %),232284,6772182500,0,0,28100,29700,28100
2018-01-16,3.76,29100,-0.1(-0.34 %),272020,7855711100,0,0,29100,29200,28500
2018-01-17,3.98,30800,1.9(6.57 %),667921,20542100300,21000,577500000,30000,31100,30000
2018-01-18,4.0,30900,0.1(0.32 %),180355,5544113200,0,0,30800,31000,30500
2018-01-19,4.01,31000,0.3(0.98 %),336315,10398918500,0,0,31000,31200,30700
2018-01-22,3.88,30000,-0.9(-2.91 %),289855,8699056800,24000,684000000,31000,31000,29100
2018-01-23,3.81,29500,-0.5(-1.67 %),247292,7381064000,0,0,30000,30900,29500
2018-01-24,3.81,29500,-0.3(-1.01 %),89610,2660738000,3,76200,29800,30000,29500
2018-01-25,3.93,30400,0.7(2.36 %),205113,6120131000,2000000,60000000000,29700,31400,29000
2018-01-26,3.94,30500,0.7(2.35 %),288220,8772238000,0,0,29900,31300,29800
2018-01-29,3.92,30300,-0.1(-0.33 %),532714,16346540000,0,0,30500,31000,30300
2018-01-30,3.89,30100,-0.6(-1.95 %),259170,7865329000,0,0,30700,30700,30000
2018-01-31,3.9,30200,-0.1(-0.33 %),249980,7611117200,0,0,30300,30800,30200
2018-02-01,3.88,30000,-0.4(-1.32 %),135640,4087146000,0,0,30400,30400,29800
2018-02-02,3.9,30200,0.1(0.33 %),202452,6091703600,0,0,30100,31000,29500
2018-02-05,3.85,29800,-0.3(-1.00 %),159860,4789605500,0,0,30000,30500,29800
2018-02-06,3.49,27700,-3(-10.00 %),380515,10237107500,0,0,29500,29700,27700
