Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-09-20,5.09,131000,6(4.80 %),794790,104115000000,0,0,131000,131000,130000
2007-09-21,5.33,137000,6(4.58 %),1224660,167404000000,0,0,137000,137000,135000
2007-09-24,5.56,143000,6(4.38 %),551130,78812000000,20000,2860000000,143000,143000,143000
2007-09-25,5.83,150000,7(4.90 %),962110,144302000000,0,0,150000,150000,148000
2007-09-26,6.1,157000,7(4.67 %),781900,122584000000,0,0,157000,157000,154000
2007-09-27,5.83,150000,-7(-4.46 %),562590,86022000000,0,0,155000,157000,150000
2007-09-28,6.1,157000,7(4.67 %),833570,129834000000,0,0,154000,157000,153000
2007-10-01,6.38,164000,7(4.46 %),781020,128058000000,0,0,164000,164000,163000
2007-10-02,6.69,172000,8(4.88 %),887990,152457000000,0,0,172000,172000,168000
2007-10-03,7.0,180000,8(4.65 %),1027610,184964000000,0,0,180000,180000,179000
2007-10-04,7.35,189000,9(5.00 %),1206640,228055000000,25000,4725000000,189000,189000,189000
2007-10-05,7.5,193000,4(2.12 %),1116040,219198000000,0,0,198000,198000,189000
2007-10-08,7.5,193000,0(0.00 %),949940,183317000000,0,0,192000,197000,189000
2007-10-09,7.15,184000,-9(-4.66 %),527100,98597000000,0,0,189000,190000,184000
2007-10-10,7.15,184000,0(0.00 %),599460,111313000000,0,0,187000,188000,183000
2007-10-11,6.96,179000,-5(-2.72 %),362850,65575000000,0,0,183000,183000,179000
2007-10-12,7.0,180000,1(0.56 %),527800,94245000000,0,0,178000,180000,177000
2007-10-15,7.19,185000,5(2.78 %),326950,59579000000,0,0,180000,185000,180000
2007-10-16,7.04,181000,-4(-2.16 %),236970,43297000000,0,0,185000,185000,181000
2007-10-17,6.92,178000,-3(-1.66 %),272570,48656000000,0,0,179000,180000,178000
2007-10-18,6.8,175000,-3(-1.69 %),398500,70772000000,0,0,176000,182000,175000
2007-10-19,7.12,183000,8(4.57 %),525830,94704000000,0,0,179000,183000,178000
2007-10-22,7.0,180000,-3(-1.64 %),280000,50306000000,30000,5220000000,180000,180000,178000
2007-10-23,6.8,175000,-5(-2.78 %),192730,33861000000,0,0,176000,178000,175000
2007-10-24,6.88,177000,2(1.14 %),182750,32341000000,0,0,175000,180000,175000
2007-10-25,6.77,174000,-3(-1.69 %),163650,28667000000,27000,4698000000,177000,178000,174000
2007-10-26,6.65,171000,-3(-1.72 %),212630,36507000000,0,0,173000,173000,171000
2007-10-29,6.34,163000,-8(-4.68 %),457260,74738000000,0,0,163000,167000,163000
2007-10-30,6.38,164000,1(0.61 %),146250,23996000000,0,0,163000,166000,163000
2007-10-31,6.3,162000,-2(-1.22 %),140770,22937000000,0,0,164000,165000,162000
2007-11-01,6.26,161000,-1(-0.62 %),195380,31581000000,0,0,163000,164000,158000
2007-11-02,6.1,157000,-4(-2.48 %),197100,31166000000,0,0,160000,160000,157000
2007-11-05,6.38,164000,7(4.46 %),66650,10931000000,0,0,164000,164000,164000
2007-11-06,6.69,172000,8(4.88 %),70540,12133000000,0,0,172000,172000,172000
2007-11-07,6.45,166000,-6(-3.49 %),444180,73872000000,0,0,166000,170000,166000
2007-11-08,6.3,162000,-4(-2.41 %),170020,27836000000,0,0,165000,165000,162000
2007-11-09,6.53,168000,6(3.70 %),316190,52300000000,0,0,162000,168000,162000
2007-11-12,6.34,163000,-5(-2.98 %),96340,15788000000,0,0,165000,166000,163000
2007-11-13,6.03,155000,-8(-4.91 %),167790,26570000000,0,0,161000,161000,155000
2007-11-14,6.18,159000,4(2.58 %),296610,47453000000,0,0,160000,162000,159000
2007-11-15,6.22,160000,1(0.63 %),138080,22003000000,0,0,159000,160000,158000
2007-11-16,6.18,159000,-1(-0.62 %),93360,14856000000,0,0,160000,160000,158000
2007-11-19,6.18,159000,0(0.00 %),103860,16555000000,0,0,160000,160000,159000
2007-11-20,6.1,157000,-2(-1.26 %),73830,11593000000,0,0,157000,158000,156000
2007-11-21,6.03,155000,-2(-1.27 %),193670,29817000000,0,0,153000,155000,152000
2007-11-22,6.03,155000,0(0.00 %),60070,9387000000,0,0,157000,158000,155000
2007-11-23,6.3,162000,7(4.52 %),122430,19834000000,0,0,162000,162000,162000
2007-11-26,6.61,170000,8(4.94 %),594620,100747000000,0,0,170000,170000,165000
2007-11-27,6.57,169000,-1(-0.59 %),359580,60696000000,0,0,170000,170000,166000
2007-11-28,6.42,165000,-4(-2.37 %),237300,39328000000,0,0,167000,168000,165000
2007-11-29,6.22,160000,-5(-3.03 %),319240,51680000000,0,0,166000,167000,160000
2007-11-30,6.22,160000,0(0.00 %),485160,77594000000,0,0,160000,161000,159000
2007-12-03,6.22,160000,0(0.00 %),181120,28889000000,0,0,157000,162000,157000
2007-12-04,6.22,160000,0(0.00 %),241890,38750000000,0,0,161000,161000,160000
2007-12-05,6.1,157000,-3(-1.88 %),263870,41558000000,0,0,159000,160000,157000
2007-12-06,6.1,157000,0(0.00 %),164670,25835000000,0,0,157000,158000,156000
2007-12-07,6.1,157000,0(0.00 %),402370,63194000000,0,0,157000,159000,156000
2007-12-10,6.03,155000,-2(-1.27 %),182810,28604000000,0,0,157000,158000,155000
2007-12-11,5.95,153000,-2(-1.29 %),297280,45460000000,0,0,153000,154000,151000
2007-12-12,6.07,156000,3(1.96 %),127990,19964000000,0,0,154000,158000,154000
2007-12-13,6.03,155000,-1(-0.64 %),303550,47158000000,0,0,157000,157000,155000
2007-12-14,6.07,156000,1(0.65 %),185510,28813000000,0,0,155000,156000,154000
2007-12-17,6.03,155000,-1(-0.64 %),157580,24413000000,0,0,155000,155000,154000
2007-12-18,6.07,156000,1(0.65 %),154370,23951000000,0,0,154000,156000,154000
2007-12-19,6.18,159000,3(1.92 %),167140,26508000000,0,0,158000,159000,157000
2007-12-20,6.1,157000,-2(-1.26 %),191390,30237000000,0,0,160000,160000,156000
2007-12-21,6.1,157000,0(0.00 %),220330,34558000000,0,0,156000,157000,156000
