Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-22,7.99,52500,-2.5(-4.55 %),46170,2423925,0,0,52500,52500,52500
2006-12-25,7.6,49900,-2.6(-4.95 %),8370,417663,0,0,49900,49900,49900
2006-12-26,7.6,49900,0(0.00 %),110520,5381169,0,0,47600,49900,47600
2006-12-27,7.92,52000,2.1(4.21 %),52430,2726360,10000,500000,52000,52000,52000
2006-12-28,8.3,54500,2.5(4.81 %),9700,528650,0,0,54500,54500,54500
2006-12-29,8.68,57000,2.5(4.59 %),79050,4505850,0,0,57000,57000,57000
2007-01-02,8.91,58500,-0.5(-0.85 %),236330,13912000000,0,0,58500,59000,58500
2007-01-03,8.91,58500,0(0.00 %),96090,0,0,0,58500,58500,56000
2007-01-04,9.29,61000,2.5(4.27 %),56500,3447000000,0,0,61000,61000,61000
2007-01-05,9.74,64000,3(4.92 %),15560,0,0,0,64000,64000,64000
2007-01-08,10.2,67000,3(4.69 %),151170,3167000000,0,0,67000,67000,67000
2007-01-09,10.66,70000,3(4.48 %),136510,9556000000,0,0,70000,70000,70000
2007-01-10,11.19,73500,3.5(5.00 %),65910,4844000000,0,0,73500,73500,73500
2007-01-11,11.72,77000,3.5(4.76 %),47560,3662000000,0,0,77000,77000,77000
2007-01-12,12.26,80500,3.5(4.55 %),62260,5012000000,0,0,80500,80500,80500
2007-01-15,12.86,84500,4(4.97 %),109150,9223000000,0,0,84500,84500,84500
2007-01-16,13.47,88500,4(4.73 %),115890,10256000000,0,0,88500,88500,88500
2007-01-17,12.86,84500,-4(-4.52 %),216460,19668000000,0,0,92500,92500,84500
2007-01-18,13.47,88500,4(4.73 %),210420,17399000000,0,0,80500,88500,80500
2007-01-19,13.7,90000,1.5(1.69 %),233850,20944000000,0,0,85000,90000,85000
2007-01-22,13.09,86000,-4(-4.44 %),163850,14078000000,0,0,86500,86500,85500
2007-01-23,12.79,84000,-2(-2.33 %),101910,8547000000,0,0,83000,84500,83000
2007-01-24,13.09,86000,2(2.38 %),293320,25056000000,0,0,83000,86000,83000
2007-01-25,13.09,86000,0(0.00 %),274710,23625000000,0,0,86000,86000,86000
2007-01-26,13.21,80000,0.5(0.68 %),30240,2229000000,0,0,80000,80000,80000
2007-01-29,13.84,77500,3.5(4.73 %),59750,4604000000,0,0,77500,77500,77000
2007-01-30,14.46,81000,3.5(4.52 %),5350,433000000,0,0,81000,81000,81000
2007-01-31,15.18,85000,4(4.94 %),73870,7387000000,0,0,81000,85000,81000
2007-02-01,14.82,83000,-2(-2.35 %),91030,9103000000,0,0,89000,89000,83000
2007-02-02,15.18,85000,2(2.41 %),52970,5297000000,0,0,83000,85000,83000
2007-02-05,15.18,85000,0(0.00 %),86310,7372000000,0,0,85000,86000,85000
2007-02-06,15.18,85000,0(0.00 %),104880,8896000000,0,0,85000,85000,84500
2007-02-07,15.39,85000,1.25(1.49 %),87390,7399000000,0,0,85000,85000,81000
2007-02-08,15.3,84500,-0.5(-0.59 %),155160,13067000000,0,0,84500,85000,81500
2007-02-09,14.67,81000,-3.5(-4.14 %),19550,1579000000,0,0,81000,81000,80500
2007-02-12,14.85,82000,1(1.23 %),15470,1248000000,0,0,81500,82000,80000
2007-02-13,14.67,81000,-1(-1.22 %),56680,4619000000,0,0,81000,83000,80000
2007-02-14,15.39,85000,4(4.94 %),93780,7928000000,0,0,85000,85000,82000
2007-02-15,15.39,85000,0(0.00 %),111800,9868000000,0,0,85000,89000,85000
2007-02-26,16.12,89000,4(4.71 %),70140,6242000000,0,0,89000,89000,89000
2007-02-27,16.84,93000,4(4.49 %),149270,13882000000,0,0,93000,93000,93000
2007-02-28,16.3,90000,-3(-3.23 %),128840,12109000000,0,0,90000,95000,90000
2007-03-01,15.76,87000,-3(-3.33 %),46600,4031000000,0,0,87000,87500,85500
2007-03-02,15.76,87000,0(0.00 %),104630,9334000000,0,0,90000,90000,87000
2007-03-05,16.3,90000,3(3.45 %),80910,7223000000,0,0,90000,90000,88000
2007-03-06,16.57,91500,1.5(1.67 %),95660,8802000000,0,0,91500,94000,90000
