Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-12-30,2.77,26400,-1.9(-6.71 %),74500,1998120000,0,0,27000,28300,26400
2009-12-31,2.62,25000,-1.8(-6.72 %),86600,2192630000,0,0,27000,27000,25000
2010-01-04,2.83,26750,1.7(6.72 %),177700,4558800000,0,0,25300,26750,24000
2010-01-05,2.87,27400,1.7(6.61 %),61300,1679620000,0,0,27400,27400,27400
2010-01-06,3.07,29300,1.9(6.93 %),243500,7029640000,0,0,29300,29300,27400
2010-01-07,3.24,30900,2(6.92 %),95900,2947930000,0,0,30900,30900,29800
2010-01-08,3.22,30700,0(0.00 %),349400,11175280000,0,0,32800,32800,30000
2010-01-11,3.17,30300,-1.7(-5.31 %),163000,4919980000,0,0,32800,32800,29800
2010-01-12,2.94,28200,-2.1(-6.95 %),127700,3624340000,0,0,30000,30000,28200
2010-01-13,3.01,28700,0.3(1.06 %),136900,3742180000,0,0,29500,29500,26500
2010-01-14,2.94,28100,0.8(2.93 %),42400,1204950000,0,0,28900,29000,28000
2010-01-15,2.79,26600,-1.8(-6.34 %),40100,1068360000,0,0,27100,28000,26500
2010-01-18,2.61,24900,-1.7(-6.39 %),60500,1513930000,0,0,26000,26000,24900
2010-01-19,2.66,25400,0.4(1.60 %),23300,594960000,0,0,25500,26000,25000
2010-01-20,2.5,23900,-1.6(-6.27 %),52700,1269120000,0,0,25500,26000,23800
2010-01-21,2.53,24200,0.1(0.41 %),18600,447750000,0,0,25000,25200,22600
2010-01-22,2.51,24000,-0.1(-0.41 %),15700,369380000,0,0,22600,24600,22600
2010-01-25,2.53,24200,0.7(2.98 %),29700,711520000,0,0,24900,24900,23000
2010-01-26,2.68,25600,1.6(6.67 %),30900,784380000,6500,145600000,25000,25600,25000
2010-01-27,2.68,25600,0.2(0.79 %),11900,304780000,0,0,26700,26700,25500
2010-01-28,2.52,24100,-1.5(-5.86 %),31500,767250000,0,0,25600,25600,24000
2010-01-29,2.51,24000,-0.4(-1.64 %),10900,273160000,0,0,25500,25700,24000
2010-02-01,2.46,23500,-1.6(-6.37 %),61900,1487690000,0,0,25100,25100,23400
2010-02-02,2.38,22700,-1.3(-5.42 %),21700,505690000,0,0,25000,25000,22600
2010-02-03,2.3,22000,-1.3(-5.58 %),66500,1461720000,0,0,22600,22600,21700
2010-02-04,2.31,22100,0.1(0.45 %),45800,1013320000,0,0,23000,23000,21200
2010-02-05,2.4,22900,0.8(3.62 %),17800,400520000,0,0,22200,22900,21600
2010-02-08,2.2,21300,-1.5(-6.67 %),33300,702320000,0,0,22000,22000,21300
2010-02-09,2.13,20300,-0.8(-3.79 %),22300,461490000,42600,839220000,22300,22450,19700
2010-02-10,2.2,21000,0.3(1.45 %),3800,80150000,0,0,20900,21300,20600
2010-02-11,2.25,21500,0.4(1.90 %),11800,253450000,0,0,22200,22200,21300
2010-02-12,2.35,22400,0.9(4.19 %),14700,327920000,0,0,22000,22900,22000
