Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-10-01,8.27,30400,-1.6(-5.00 %),120220,3770633000,0,0,33000,33000,30400
2010-10-04,7.86,28900,-1.5(-4.93 %),43300,1257420000,0,0,29000,29500,28900
2010-10-05,7.86,28900,0(0.00 %),193400,5507285000,0,0,27600,28900,27600
2010-10-06,8.13,29900,1(3.46 %),99810,2937088000,0,0,29200,29900,29000
2010-10-07,8.02,29500,-0.4(-1.34 %),95910,2817030000,0,0,29000,29700,29000
2010-10-08,7.91,29100,-0.4(-1.36 %),108420,3174930000,0,0,29500,29500,29000
2010-10-11,7.94,29200,0.1(0.34 %),164130,4825386000,0,0,29500,29600,29200
2010-10-12,7.97,29300,0.1(0.34 %),77620,2269088000,0,0,29700,29700,29000
2010-10-13,7.91,29100,-0.2(-0.68 %),86770,2538082000,0,0,29400,29400,29000
2010-10-14,7.75,28500,-0.6(-2.06 %),107830,3108533000,0,0,28900,29100,28500
2010-10-15,7.75,28500,0(0.00 %),175820,4984584000,0,0,29400,29400,27900
2010-10-18,7.64,28100,-0.4(-1.40 %),59680,1684596000,0,0,28500,28500,28000
2010-10-19,7.64,28100,0(0.00 %),44110,1238260000,0,0,28100,28600,27800
2010-10-20,7.69,28300,0.2(0.71 %),16180,454324000,0,0,28100,28300,27900
2010-10-21,7.86,28000,0.6(2.19 %),97000,2715150000,0,0,28300,28300,27800
2010-10-22,7.89,28100,0.1(0.36 %),112840,3164744000,0,0,28000,28300,27800
2010-10-25,7.86,28000,-0.1(-0.36 %),103020,2872434000,0,0,27900,28000,27700
2010-10-26,8.0,28500,0.5(1.79 %),114110,3221552000,0,0,28300,28500,28000
2010-10-27,7.92,28200,-0.3(-1.05 %),126370,3552384000,0,0,28300,29000,27800
2010-10-28,7.89,28100,-0.1(-0.35 %),145560,4075408000,0,0,28000,28600,27600
2010-10-29,7.92,28200,0.1(0.36 %),139920,3940139000,0,0,28100,28500,27900
2010-11-01,7.72,27500,-0.7(-2.48 %),84500,2327360000,0,0,27400,27800,27400
2010-11-02,7.95,28300,0.8(2.91 %),50950,1397285000,0,0,27300,28300,27000
2010-11-03,7.78,27700,-0.6(-2.12 %),62110,1734522000,0,0,27800,28100,27700
2010-11-04,7.81,27800,0.1(0.36 %),123900,3440446000,0,0,27700,28000,27700
