Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-03-31,2.45,43500,2.2(5.33 %),542900,23554710000.0,303300,12357050000,42500,44100,42000
2010-04-01,2.48,44100,0.7(1.61 %),372900,16455610000.0,40000,1616000000,43600,44700,43500
2010-04-02,2.46,43700,-0.4(-0.91 %),569400,24738270000.0,0,0,44300,44300,42000
2010-04-05,2.54,45000,1.6(3.69 %),748500,32622830000.0,0,0,43000,45000,42000
2010-04-06,2.48,44000,0.4(0.92 %),724800,31883570000.0,0,0,44000,45000,43000
2010-04-07,2.56,45500,1.5(3.41 %),816300,36191630000.0,0,0,44000,45500,43100
2010-04-08,2.56,45500,1.2(2.71 %),1131600,50843590000.0,0,0,44500,45500,44300
2010-04-09,2.7,48000,3.1(6.90 %),934400,44351470000.0,600000,27600000000,45300,48000,45300
2010-04-12,2.86,50800,3.3(6.95 %),769400,38777000000.0,44000,2090000000,50000,50800,49000
2010-04-13,2.78,49400,-1(-1.98 %),756400,37595090000.0,0,0,53200,53700,48900
2010-04-14,2.76,48900,-0.8(-1.61 %),729000,35693380000.0,0,0,49000,49900,47700
2010-04-15,2.81,49800,0.8(1.63 %),903100,44764990000.0,19000,995600000,50000,51000,49000
2010-04-16,2.82,50000,0.4(0.81 %),542500,27076630000.0,0,0,50000,50800,49500
2010-04-19,2.82,50000,0.1(0.20 %),716900,36026010000.0,0,0,49900,50900,49900
2010-04-20,2.83,50200,-0.1(-0.20 %),701600,35508910000.0,0,0,50000,51200,49900
2010-04-21,3.05,53700,3.5(6.92 %),974500,50971270000.0,0,0,50300,53700,50000
2010-04-22,3.02,53600,1.3(2.49 %),720600,38860970000.0,0,0,54000,55100,52900
2010-04-26,3.04,54000,0.1(0.19 %),933900,50480430000.0,0,0,54100,54500,53100
2010-04-27,2.98,52800,-1.3(-2.40 %),830900,44263650000.0,0,0,54000,54000,52500
2010-04-28,3.0,53200,-0.1(-0.19 %),601500,31657890000.0,0,0,53000,53200,52000
2010-04-29,3.0,53200,0.6(1.14 %),481500,25546320000.0,50000,2650000000,53500,53600,52800
2010-05-04,3.06,54300,1.2(2.26 %),753500,40783390000.0,0,0,54000,55000,53600
2010-05-05,3.09,54800,0.7(1.29 %),595800,32414480000.0,0,0,54100,55000,53600
2010-05-06,3.16,56000,1.6(2.94 %),605700,33921710000.0,0,0,55400,58200,55400
2010-05-07,3.03,53700,-2.3(-4.11 %),783500,41996060000.0,0,0,56000,56000,52500
2010-05-10,2.85,50600,-3(-5.60 %),943900,47891150000.0,5000,286500000,53600,53600,50200
2010-05-11,2.88,51100,0.4(0.79 %),1001900,51927360000.0,0,0,52000,53000,51000
2010-05-12,2.74,48700,-3.1(-5.98 %),693900,34022230000.0,87000,4416600000,51000,51000,48300
2010-05-13,2.77,49200,0.2(0.41 %),597400,29530050000.0,370000,18232000000,49000,50900,48900
2010-05-14,2.78,49300,-0.1(-0.20 %),388200,19146120000.0,20200,1010000000,49500,49700,48900
2010-05-17,2.72,48200,-1.1(-2.23 %),349200,17025540000.0,0,0,49700,49700,48200
2010-05-18,2.77,49200,0.4(0.82 %),603100,29347670000.0,0,0,49000,49300,48100
2010-05-19,2.82,50000,1.3(2.67 %),701200,34668550000.0,10000,487000000,49000,50600,48700
2010-05-20,2.9,51500,2.1(4.25 %),1066500,53767910000.0,0,0,50000,52300,47500
2010-05-21,2.72,48300,-2.1(-4.17 %),871000,42303710000.0,0,0,50000,50000,48000
2010-05-24,2.78,49300,0.7(1.44 %),528000,25974090000.0,83000,4121000000,50500,50500,48600
2010-05-25,2.72,48200,-1(-2.03 %),813400,39327970000.0,0,0,50000,50000,48000
2010-05-26,2.92,44850,1.8(6.98 %),1062700,29330520000.0,235000,6486000000,44850,44850,44850
2010-05-27,3.12,29500,1.9(6.88 %),279200,8236400000.0,701000,19423600000,29500,29500,29500
2010-05-28,3.33,31500,2(6.78 %),3003200,94277900000.0,557000,16389200000,31500,31500,31000
2010-05-31,3.29,31100,-0.3(-0.96 %),1319900,41452910000.0,20000,586000000,31500,32100,31000
2010-06-01,3.3,31200,-0.2(-0.64 %),2359700,72188530000.0,0,0,30500,31600,29500
2010-06-02,3.27,30900,0.3(0.98 %),2267800,69421430000.0,0,0,30600,31000,30200
2010-06-03,3.26,30800,0.2(0.65 %),1858000,57493930000.0,0,0,31000,31700,30600
2010-06-04,3.23,30500,-0.4(-1.29 %),989800,30258620000.0,0,0,31000,31000,30200
2010-06-07,3.05,28800,-1.8(-5.88 %),991900,28730460000.0,0,0,29500,29500,28500
2010-06-08,3.09,29200,0.2(0.69 %),1257300,36516410000.0,0,0,28500,29400,28400
2010-06-09,3.09,29200,0.2(0.69 %),709100,20776500000.0,0,0,29500,29800,28900
2010-06-10,3.07,29000,-0.3(-1.02 %),361000,10429910000.0,0,0,29200,29500,28700
2010-06-11,3.08,29100,0.2(0.69 %),776100,22702860000.0,0,0,29400,29700,28900
2010-06-14,3.08,29100,-0.2(-0.68 %),1166700,33985550000.0,0,0,29600,29700,28800
2010-06-15,3.06,28900,-0.2(-0.69 %),803500,23291890000.0,0,0,29200,29400,28500
2010-06-16,3.09,29200,0.2(0.69 %),1002100,29153380000.0,0,0,29100,29500,28700
2010-06-17,3.11,29400,0.3(1.03 %),2036000,59709020000.0,0,0,29100,29700,28900
2010-06-18,3.26,30800,1.5(5.12 %),1606600,48784280000.0,0,0,29600,30900,29500
2010-06-21,3.44,32500,2.1(6.91 %),2007100,64503780000.0,0,0,30900,32500,30900
2010-06-22,3.63,34300,2.2(6.85 %),2864400,97343570000.0,0,0,33000,34300,32400
2010-06-23,3.82,36100,2.1(6.18 %),2182900,77961630000.0,0,0,35000,36300,33800
2010-06-24,3.75,35400,-0.3(-0.84 %),2396100,85559250000.0,0,0,36000,37300,34500
2010-06-25,3.66,34600,-1.1(-3.08 %),1381000,47118870000.0,0,0,34800,34800,33400
2010-06-28,3.67,34700,0.6(1.76 %),1144500,39546740000.0,20000,728000000,34600,35000,33800
2010-06-29,3.66,34600,0(0.00 %),1637000,56444100000.0,15000,519000000,35000,35500,33800
2010-06-30,3.49,33000,-1.5(-4.35 %),533800,17698500000.0,80000,2800000000,33600,33600,32500
2010-07-01,3.48,32900,-0.3(-0.90 %),734700,24192770000.0,99000,3465000000,32900,33300,32600
2010-07-02,3.5,33100,0.2(0.61 %),741600,24589770000.0,85000,2992000000,32800,33800,32800
2010-07-05,3.48,32900,-0.3(-0.90 %),663400,21854420000.0,0,0,33000,33400,32700
2010-07-06,3.37,31900,-1(-3.04 %),959700,30772460000.0,0,0,32900,32900,31800
2010-07-07,3.35,31700,-0.4(-1.25 %),731900,23358220000.0,40000,1300000000,32200,32500,31100
2010-07-08,3.39,32000,0.1(0.31 %),688900,22240170000.0,0,0,32200,33200,31800
2010-07-09,3.39,32000,-0.3(-0.93 %),573800,18433450000.0,10000,345000000,32300,32500,31900
2010-07-12,3.42,32300,0.2(0.62 %),471600,15080660000.0,0,0,32400,32500,31600
2010-07-13,3.62,34200,2.2(6.88 %),1130900,38002800000.0,40000,1300000000,33000,34200,32700
2010-07-14,3.58,33800,0.2(0.60 %),1449900,49954060000.0,0,0,35900,35900,33700
2010-07-15,3.43,32400,-2.1(-6.09 %),2092700,68543110000.0,0,0,34500,34500,32100
2010-07-16,3.36,31800,-1(-3.05 %),1247100,39838270000.0,0,0,32600,32900,31600
2010-07-19,3.29,31100,-0.8(-2.51 %),1259500,39212870000.0,0,0,32000,32000,30800
2010-07-20,3.37,31900,0.8(2.57 %),794500,25409190000.0,0,0,31700,32600,31500
2010-07-21,3.31,31300,-0.7(-2.19 %),580300,18316880000.0,0,0,32500,32500,31000
2010-07-22,3.26,30800,-0.8(-2.53 %),595000,18575690000.0,0,0,31400,31700,30800
2010-07-23,3.25,30700,-0.5(-1.60 %),566200,17524050000.0,0,0,31600,31700,30600
2010-07-26,3.28,31000,0(0.00 %),582800,17846170000.0,100000,3030000000,31400,31400,30200
2010-07-27,3.25,30700,0.1(0.33 %),617200,19049060000.0,50000,1445000000,31000,31300,30500
2010-07-28,3.14,29700,-1.2(-3.88 %),475600,14260170000.0,0,0,30900,30900,29600
2010-07-29,3.13,29600,-0.4(-1.33 %),443800,13235170000.0,0,0,30000,30100,29500
2010-07-30,3.12,29500,-0.3(-1.01 %),646800,19247230000.0,50000,1590000000,30000,30100,29400
2010-08-02,3.08,29100,-0.7(-2.35 %),317000,9336140000.0,20000,636000000,30000,30500,29100
2010-08-03,3.07,29000,-0.5(-1.69 %),616700,17971420000.0,0,0,29700,29700,28900
2010-08-04,3.0,28400,-0.7(-2.41 %),495600,14201390000.0,0,0,29100,29300,28400
2010-08-05,2.99,28300,-0.4(-1.39 %),402700,11466490000.0,47300,1452110000,28500,28900,28200
2010-08-06,3.0,28400,-0.1(-0.35 %),1339300,37997020000.0,5000,142500000,28000,28800,27800
2010-08-09,2.86,27000,-1.4(-4.93 %),941300,26010350000.0,0,0,28500,28700,26900
2010-08-10,2.75,26000,-1.6(-5.80 %),842000,21963140000.0,60000,1656000000,27500,27600,25700
2010-08-11,2.78,26300,0.2(0.77 %),452200,11889640000.0,95000,2498500000,26000,26800,25600
2010-08-12,2.59,24500,-1.8(-6.84 %),552300,13724870000.0,0,0,26300,26300,24500
2010-08-13,2.63,24900,0(0.00 %),735700,18205940000.0,0,0,24500,25500,23400
2010-08-16,2.79,26400,1.7(6.88 %),918100,23877960000.0,65000,1710000000,24700,26400,24700
2010-08-17,2.67,25200,-0.8(-3.08 %),578800,14820080000.0,55000,1413500000,26700,26800,25000
2010-08-18,2.6,24600,-1(-3.91 %),494100,12165960000.0,0,0,25200,25600,24200
2010-08-19,2.58,24400,-0.2(-0.81 %),549100,13433450000.0,40000,980000000,24600,24700,24200
2010-08-20,2.57,24300,-0.2(-0.82 %),828700,20157490000.0,0,0,24500,25200,23600
2010-08-23,2.52,23800,-0.5(-2.06 %),186500,4486380000.0,55000,1321500000,24900,24900,23700
2010-08-24,2.38,22500,-1.6(-6.64 %),742500,16910440000.0,40000,900000000,23700,23700,22500
2010-08-25,2.25,21300,-1.5(-6.58 %),542100,11604680000.0,0,0,22100,22100,21300
2010-08-26,2.26,21400,0(0.00 %),633600,13640560000.0,55000,1182500000,21000,22300,20700
2010-08-27,2.24,21200,-0.3(-1.40 %),438200,9334670000.0,80000,1677000000,21500,21900,20600
2010-08-30,2.4,22700,1.4(6.57 %),246300,5539890000.0,0,0,22400,22700,21200
2010-08-31,2.54,24000,1.5(6.67 %),1017800,24037980000.0,0,0,23000,24000,22500
2010-09-01,2.62,24800,1.2(5.08 %),1093700,26747940000.0,0,0,24500,25000,23600
2010-09-06,2.77,26200,1.7(6.94 %),1321900,34218260000.0,0,0,25700,26200,25000
2010-09-07,2.68,25300,-0.6(-2.32 %),1110800,28475000000.0,0,0,26000,26400,25000
2010-09-08,2.57,24300,-1.3(-5.08 %),874300,21289340000.0,0,0,25000,25000,23900
2010-09-09,2.6,24600,0.2(0.82 %),1089100,26995790000.0,0,0,25000,25500,24300
2010-09-10,2.45,23200,-1.6(-6.45 %),1434600,33846600000.0,0,0,25000,25000,23100
2010-09-13,2.33,22000,-1.6(-6.78 %),1305600,28839720000.0,0,0,23500,23500,22000
2010-09-14,2.38,22500,0.4(1.81 %),1932200,42989290000.0,0,0,22000,22800,21900
2010-09-15,2.31,21800,-0.4(-1.80 %),743700,16364930000.0,47000,1042400000,22500,22500,21800
2010-09-16,2.34,22100,0.1(0.45 %),657300,14406770000.0,0,0,21600,22200,21500
2010-09-17,2.48,23400,1.5(6.85 %),1705900,39051280000.0,0,0,22000,23400,22000
2010-09-20,2.46,23300,0.4(1.75 %),1603000,37868270000.0,0,0,24000,24400,23000
2010-09-21,2.41,22800,-0.8(-3.39 %),1034900,23895720000.0,0,0,23600,23600,22700
2010-09-22,2.42,22900,-0.2(-0.87 %),575700,13240490000.0,0,0,22800,23300,22700
2010-09-23,2.36,22300,-0.7(-3.04 %),1031300,22917270000.0,0,0,23000,23000,21700
2010-09-24,2.36,22300,0.1(0.45 %),1042700,23280910000.0,0,0,22500,22700,22100
2010-09-27,2.36,22300,0(0.00 %),687300,15280440000.0,205000,4715000000,22300,22700,22000
2010-09-28,2.36,22300,0.1(0.45 %),884100,19993440000.0,0,0,22400,23100,22200
2010-09-29,2.26,21400,-1.2(-5.31 %),926600,20219640000.0,3662100,77270310000,22600,22600,21400
2010-09-30,2.25,21300,-0.5(-2.29 %),447600,9497480000.0,0,0,21500,21500,21000
2010-10-01,2.23,21100,-0.1(-0.47 %),431000,9133050000.0,0,0,21300,21800,20900
2010-10-04,2.09,19800,-1.4(-6.60 %),1384700,27705470000.0,0,0,21100,21300,19800
2010-10-05,1.98,18700,-1.3(-6.50 %),1774200,33543260000.0,0,0,20000,20000,18600
2010-10-06,2.07,19600,0.7(3.70 %),1634500,31632840000.0,0,0,19000,20000,18900
2010-10-07,2.05,19400,0(0.00 %),883900,17168980000.0,0,0,19500,19900,19000
2010-10-08,1.98,18700,-0.7(-3.61 %),801700,15212090000.0,0,0,19000,19500,18300
