Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-08-10,18.09,49400,-2.6(-5.00 %),45700,2258000000,0,0,49400,49400,49400
2007-08-13,17.21,47000,-2.4(-4.86 %),30320,1425000000,0,0,47000,47000,47000
2007-08-14,17.21,47000,0(0.00 %),397140,18154000000,135000,6150000000,44700,49300,44700
2007-08-15,17.72,48400,1.4(2.98 %),150660,7250000000,0,0,48000,48500,47900
2007-08-16,16.84,46000,-2.4(-4.96 %),137400,6432000000,0,0,48000,48000,46000
2007-08-17,16.48,45000,-1(-2.17 %),51160,2318000000,0,0,46000,46000,45000
2007-08-20,15.67,42800,-2.2(-4.89 %),104090,4498000000,0,0,43300,44000,42800
2007-08-21,15.01,41000,-1.8(-4.21 %),162060,6726000000,0,0,41500,42500,41000
2007-08-22,14.83,40500,-0.5(-1.22 %),149240,6048000000,0,0,40600,41000,40100
2007-08-23,15.56,42500,2(4.94 %),236020,9965000000,0,0,42000,42500,41600
2007-08-24,16.33,44600,2.1(4.94 %),180220,8038000000,0,0,44600,44600,44600
2007-08-27,17.06,46600,2(4.48 %),332810,15446000000,0,0,46400,46800,44500
2007-08-28,16.84,46000,-0.6(-1.29 %),160890,7384000000,0,0,46000,46200,45000
2007-08-29,16.22,44300,-1.7(-3.70 %),133570,5900000000,0,0,44200,44500,44000
2007-08-30,16.84,46000,1.7(3.84 %),112040,5162000000,0,0,46400,46400,45000
2007-08-31,16.84,46000,0(0.00 %),116530,5316000000,0,0,45000,46000,45000
2007-09-04,16.92,46200,0.2(0.43 %),100050,4610000000,0,0,46000,46400,46000
2007-09-05,16.66,45500,-0.7(-1.52 %),93160,4242000000,0,0,45500,46200,45500
2007-09-06,16.66,45500,0(0.00 %),165180,7492000000,0,0,45100,45800,45100
2007-09-07,16.7,45600,0.1(0.22 %),132400,6047000000,0,0,46000,46000,45500
2007-09-10,16.52,45100,-0.5(-1.10 %),93150,4230000000,0,0,45900,45900,45100
2007-09-11,16.3,44500,-0.6(-1.33 %),83420,3733000000,0,0,45200,45200,44500
2007-09-12,16.19,44200,-0.3(-0.67 %),73840,3268000000,0,0,44500,44800,44100
2007-09-13,16.11,44000,-0.2(-0.45 %),79700,3503000000,0,0,44000,44000,43800
