Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-12-18,14.09,15200,-0.8(-5.00 %),2460,37392000,0,0,15200,15200,15200
2009-12-21,13.44,14500,-0.7(-4.61 %),23290,337705000,0,0,14500,14500,14500
2009-12-22,12.79,13800,-0.7(-4.83 %),57680,795984000,0,0,13800,13800,13800
2009-12-23,13.35,14400,0.6(4.35 %),256210,3462976000,100000,1320000000,13200,14400,13200
2009-12-24,13.99,15100,0.7(4.86 %),129650,1920339000,0,0,14400,15100,13800
2009-12-25,14.64,15800,0.7(4.64 %),44200,697960000,0,0,15800,15800,15700
2009-12-28,13.99,15100,-0.7(-4.43 %),73220,1110257000,0,0,15200,15500,15100
2009-12-29,13.35,14400,-0.7(-4.64 %),33630,484422000,0,0,14400,14500,14400
2009-12-30,13.72,14800,0.4(2.78 %),130970,1861620000,0,0,13900,15000,13900
2009-12-31,13.07,14100,-0.7(-4.73 %),108740,1540525000,0,0,15000,15000,14100
2010-01-04,13.72,14800,0.7(4.96 %),62290,921630000,0,0,14800,14800,14700
2010-01-05,13.07,14100,-0.7(-4.73 %),92210,1311089000,0,0,14400,14800,14100
2010-01-06,12.51,13500,-0.6(-4.26 %),124050,1673700000,0,0,13500,14000,13400
2010-01-07,13.07,14100,0.6(4.44 %),77610,1092815000,0,0,13500,14100,13500
2010-01-08,12.42,13400,-0.7(-4.96 %),63220,896591000,0,0,14800,14800,13400
2010-01-11,12.05,13000,-0.4(-2.99 %),95930,1271425000,0,0,14000,14000,13000
2010-01-12,11.68,12600,-0.4(-3.08 %),42400,546268000,0,0,13200,13500,12600
2010-01-13,11.96,12900,0.3(2.38 %),38670,472789000,0,0,13100,13100,12000
2010-01-14,11.59,12500,-0.4(-3.10 %),25300,319100000,0,0,13200,13200,12300
2010-01-15,11.59,12500,0(0.00 %),22470,280421000,0,0,12600,12700,12000
2010-01-18,11.03,11900,-0.6(-4.80 %),17320,206197000,0,0,12700,12700,11900
2010-01-19,11.12,12000,0.1(0.84 %),16090,192255000,0,0,11900,12300,11700
2010-01-20,10.57,11400,-0.6(-5.00 %),25180,289430000,0,0,12000,12000,11400
