Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-08-18,4.39,30000,-1.2(-3.85 %),13900,430280000,0,0,31200,31200,30000
2009-08-19,4.17,28500,-1.5(-5.00 %),42590,1216334000,0,0,28800,31000,28500
2009-08-20,4.38,29900,1.4(4.91 %),18730,545306000,0,0,29500,29900,28500
2009-08-21,4.32,29500,-0.4(-1.34 %),13270,398853000,0,0,31000,31000,29500
2009-08-24,4.23,28900,-0.6(-2.03 %),5070,150093000,0,0,29900,29900,28900
2009-08-25,4.24,29000,0.1(0.35 %),15820,446315000,0,0,28600,29000,27500
2009-08-26,4.1,28000,-1(-3.45 %),7230,202135000,0,0,29000,29000,27600
2009-08-27,4.1,28000,0(0.00 %),9620,269368000,0,0,28000,28400,27900
2009-08-28,4.19,28600,0.6(2.14 %),18140,517564000,0,0,28400,28700,28400
2009-08-31,4.24,29000,0.4(1.40 %),36470,1054148000,0,0,28200,29200,28200
2009-09-01,4.32,29500,0.5(1.72 %),28460,828582000,0,0,28000,29800,28000
2009-09-03,4.32,29500,0(0.00 %),9020,263660000,0,0,28100,29500,28100
2009-09-04,4.17,28500,-1(-3.39 %),12630,367274000,0,0,29000,29500,28500
2009-09-07,4.24,29000,0.5(1.75 %),13320,384650000,0,0,28500,29000,28000
2009-09-08,4.24,29000,0(0.00 %),19310,559973000,0,0,29100,29100,28300
2009-09-09,4.36,29800,0.8(2.76 %),50130,1483612000,0,0,28400,30200,28400
2009-09-10,4.45,30400,0.6(2.01 %),20860,630032000,0,0,30800,30800,29800
2009-09-11,4.65,31800,1.4(4.61 %),51910,1652853000,0,0,31800,31900,31700
2009-09-14,4.87,33300,1.5(4.72 %),39060,1289752000,0,0,33300,33300,31800
2009-09-15,4.96,33900,0.6(1.80 %),28760,965372000,0,0,34000,34000,32300
2009-09-16,4.73,32300,-1.6(-4.72 %),10820,353132000,0,0,32400,33900,32300
2009-09-17,4.71,32200,-0.1(-0.31 %),16500,527285000,0,0,31200,32200,31200
2009-09-18,4.71,32200,0(0.00 %),18490,579105000,0,0,33200,33200,30600
2009-09-21,4.52,30900,-1.3(-4.04 %),32790,1012447000,0,0,32200,32200,30700
2009-09-22,4.52,30900,0(0.00 %),21050,639552000,0,0,30900,30900,29400
