Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-01-20,2.23,54000,1(1.89 %),157840,8616000,0,0,55000,55000,54000
2006-01-23,2.17,52500,-1.5(-2.78 %),81400,4327995,28000,1467650,54000,54000,52500
2006-01-24,2.15,52000,-0.5(-0.95 %),66000,3439440,20000,998000,52500,52500,52000
2006-01-25,2.19,53000,1(1.92 %),57220,3010450,0,0,52000,53000,52000
2006-01-26,2.21,53500,0.5(0.94 %),18750,1003125,0,0,53500,53500,53500
2006-01-27,2.19,53000,-0.5(-0.93 %),25630,1358390,0,0,53000,53000,53000
2006-02-06,2.19,53000,0(0.00 %),25190,1335070,666050,36632750,53000,53000,53000
2006-02-07,2.23,54000,1(1.89 %),138720,7490880,207000,11160000,54000,54000,54000
2006-02-08,2.27,55000,1(1.85 %),159300,8761500,0,0,55000,55000,55000
2006-02-09,2.27,55000,0(0.00 %),153580,8446900,23000,1265000,55000,55000,55000
2006-02-10,2.27,55000,0(0.00 %),128650,7050980,93030,5063620,54000,55000,54000
2006-02-13,2.27,55000,0(0.00 %),153670,8451850,82270,4319175,55000,55000,55000
2006-02-14,2.27,55000,0(0.00 %),113260,6229300,19000,997500,55000,55000,55000
2006-02-15,2.25,54500,-0.5(-0.91 %),132600,7231560,0,0,55000,55000,54500
2006-02-16,2.27,55000,0.5(0.92 %),184290,10135950,0,0,55000,55000,55000
2006-02-17,2.38,57500,2.5(4.55 %),128090,7276525,27300,1556100,56000,57500,56000
2006-02-20,2.48,60000,2.5(4.35 %),62050,3723000,0,0,60000,60000,60000
2006-02-21,2.6,63000,3(5.00 %),101970,6424110,0,0,63000,63000,63000
2006-02-22,2.6,63000,0(0.00 %),264890,16887170,111210,6672600,65000,65000,63000
2006-02-23,2.64,64000,1(1.59 %),130490,8351360,0,0,64000,64000,64000
2006-02-24,2.66,64500,0.5(0.78 %),90480,5835960,0,0,64500,64500,64500
2006-02-27,2.71,65500,1(1.55 %),162140,10599680,0,0,65000,65500,65000
2006-02-28,2.83,68500,3(4.58 %),164820,11120645,30000,2055000,66000,68500,66000
2006-03-01,2.93,71000,2.5(3.65 %),164480,11716330,10000,710000,71500,71500,71000
2006-03-02,2.97,72000,1(1.41 %),222520,15990295,30000,2160000,71500,72000,71500
2006-03-03,2.83,68500,-3.5(-4.86 %),227880,15758330,10000,685000,71000,71000,68500
2006-03-06,2.89,70000,1.5(2.19 %),200050,13868360,40000,2800000,68000,70000,68000
2006-03-07,2.89,70000,0(0.00 %),129210,9044700,0,0,70000,70000,70000
2006-03-08,2.81,68000,-2(-2.86 %),163660,11193980,0,0,69000,69000,68000
2006-03-09,2.83,68500,0.5(0.74 %),206310,14161450,2229710,155735135,69000,69000,68500
2006-03-10,2.83,68500,0(0.00 %),125760,8640570,10000,685000,69000,69000,68500
2006-03-13,2.89,70000,1.5(2.19 %),257130,17999100,0,0,70000,70000,70000
2006-03-14,2.93,71000,1(1.43 %),223540,15831895,10000,710000,70500,71000,70500
2006-03-15,2.85,69000,-2(-2.82 %),201720,14021640,100000,6900000,71000,71000,69000
2006-03-16,2.89,70000,1(1.45 %),171110,12063640,320000,22240000,71000,71000,70000
2006-03-17,2.93,71000,1(1.43 %),189800,13402730,20000,1420000,70000,71000,70000
2006-03-20,2.97,72000,1(1.41 %),320020,22929580,10000,720000,71000,72000,71000
2006-03-21,3.04,73500,1.5(2.08 %),266040,19502765,250000,18375000,73000,73500,73000
2006-03-22,3.04,73500,0(0.00 %),173010,12855030,0,0,75000,75000,73500
2006-03-23,3.08,74500,1(1.36 %),181330,13466235,0,0,74000,74500,74000
2006-03-24,3.06,74000,-0.5(-0.67 %),137520,10201335,37000,2851000,74500,74500,74000
2006-03-27,3.08,74500,0.5(0.68 %),167410,12472045,15000,1117500,74500,74500,74500
2006-03-28,3.08,74500,0(0.00 %),130790,9743855,0,0,74500,74500,74500
2006-03-29,3.16,76500,2(2.68 %),284640,21606300,36000,2556000,75000,76500,75000
2006-03-30,3.3,80000,3.5(4.58 %),184200,14736000,0,0,80000,80000,80000
2006-03-31,3.35,81000,1(1.25 %),171770,13983210,0,0,82000,82000,81000
2006-04-03,3.51,85000,4(4.94 %),259620,21977150,0,0,84000,85000,84000
2006-04-04,3.35,81000,-4(-4.71 %),242500,20426640,34400,3027200,88000,88000,81000
2006-04-05,3.51,85000,4(4.94 %),191790,16302150,1810100,153858500,85000,85000,85000
2006-04-06,3.59,87000,2(2.35 %),234410,20393670,1132600,96271000,87000,87000,87000
2006-04-07,3.72,90000,3(3.45 %),276750,24771450,0,0,89000,90000,89000
2006-04-10,3.68,89000,-1(-1.11 %),190930,17192470,50000,4450000,91500,91500,89000
2006-04-11,3.57,86500,-2.5(-2.81 %),152780,13258190,97000,8281000,88000,88000,86500
2006-04-12,3.68,89000,2.5(2.89 %),134540,11898610,10000,825000,88000,89000,88000
2006-04-13,3.76,91000,2(2.25 %),182010,16494560,0,0,90000,91000,90000
2006-04-14,3.72,90000,-1(-1.10 %),135270,12242640,0,0,91000,91000,90000
2006-04-17,3.72,90000,0(0.00 %),162080,14587200,57000,5386500,90000,90000,90000
2006-04-18,3.76,91000,1(1.11 %),183230,16673930,20000,1800000,91000,91000,91000
2006-04-19,3.76,91000,0(0.00 %),195960,17928230,0,0,92000,92000,91000
2006-04-20,3.76,91000,0(0.00 %),130410,11867310,0,0,91000,91000,91000
2006-04-21,3.95,95500,4.5(4.95 %),378460,36142930,20000,1910000,95500,95500,95500
2006-04-24,4.13,100000,4.5(4.71 %),202190,20219000,33000,3003000,100000,100000,100000
2006-04-25,4.21,102000,2(2.00 %),387490,40004080,0,0,104000,104000,102000
2006-04-26,4.05,98000,-4(-3.92 %),282180,27653640,0,0,98000,98000,98000
2006-04-27,3.86,93500,-4.5(-4.59 %),371490,35462640,0,0,98000,98000,93500
2006-04-28,3.86,93500,0(0.00 %),420830,39245770,0,0,93000,93500,93000
2006-05-03,4.01,97000,3.5(3.74 %),132570,12859290,0,0,97000,97000,97000
2006-05-04,3.92,95000,-2(-2.06 %),217800,20741370,0,0,96000,96000,95000
2006-05-05,3.84,93000,-2(-2.11 %),272950,25548450,0,0,95000,95000,93000
2006-05-08,3.72,90000,-3(-3.23 %),217830,19873830,0,0,93000,93000,90000
2006-05-09,3.53,85500,-4.5(-5.00 %),421900,36072450,0,0,85500,85500,85500
2006-05-10,3.37,81500,-4(-4.68 %),360820,29406830,0,0,81500,81500,81500
2006-05-11,3.53,85500,4(4.91 %),393040,33604920,0,0,85500,85500,85500
2006-05-12,3.7,89500,4(4.68 %),60420,5407590,10000,895000,89500,89500,89500
2006-05-15,3.86,93500,4(4.47 %),133080,12442980,40000,3600000,93500,93500,93500
2006-05-16,3.68,89000,-4.5(-4.81 %),340760,30665060,0,0,91000,91000,89000
2006-05-17,3.74,90500,1.5(1.69 %),191180,17348875,0,0,91000,91000,90500
2006-05-18,3.7,89500,-1(-1.10 %),112310,10051745,0,0,89500,89500,89500
2006-05-19,3.68,89000,-0.5(-0.56 %),137010,12121500,0,0,88000,89000,88000
2006-05-22,3.64,88000,-1(-1.12 %),122780,10843980,10000,850000,89000,89000,88000
2006-05-23,3.55,86000,-2(-2.27 %),122020,10493720,0,0,86000,86000,86000
2006-05-24,3.72,90000,4(4.65 %),122100,10887600,0,0,88000,90000,88000
2006-05-25,3.59,87000,-3(-3.33 %),127620,11143040,0,0,88000,88000,87000
2006-05-26,3.64,88000,1(1.15 %),105180,9255840,0,0,88000,88000,87000
2006-05-29,3.59,87000,-1(-1.14 %),105830,9207210,0,0,87000,87000,87000
2006-05-30,3.55,86000,-1(-1.15 %),227310,19548660,0,0,86000,86000,86000
2006-05-31,3.68,89000,3(3.49 %),196540,17411300,0,0,88000,89000,88000
2006-06-01,3.64,88000,-1(-1.12 %),61330,5423490,0,0,89000,89000,88000
2006-06-02,3.64,88000,0(0.00 %),63670,5602960,0,0,88000,88000,88000
2006-06-05,3.68,89000,1(1.14 %),90560,8059840,10000,890000,89000,89000,89000
2006-06-06,3.68,89000,0(0.00 %),117690,10498475,0,0,89500,89500,89000
2006-06-07,3.64,88000,-1(-1.12 %),67020,5908930,0,0,88500,88500,88000
2006-06-08,3.66,88500,0.5(0.57 %),70020,6188395,0,0,88000,88500,88000
2006-06-09,3.68,89000,0.5(0.56 %),140600,12545850,0,0,89500,89500,89000
2006-06-12,3.64,88000,-1(-1.12 %),29670,2610960,0,0,88000,88000,88000
2006-06-13,3.61,87500,-0.5(-0.57 %),85330,7491065,109000,9307000,88000,88000,87500
2006-06-14,3.59,87000,-0.5(-0.57 %),62490,5447110,0,0,87500,87500,87000
2006-06-15,3.57,86500,-0.5(-0.57 %),54860,4745390,0,0,86500,86500,86500
2006-06-16,3.47,84000,-2.5(-2.89 %),215160,18116970,0,0,85000,85000,84000
2006-06-19,3.43,83000,-1(-1.19 %),107900,8975540,0,0,83500,83500,83000
2006-06-20,3.3,80000,-3(-3.61 %),143160,11570240,0,0,82500,82500,80000
2006-06-21,3.18,77000,-3(-3.75 %),590790,45545030,10000,770000,78000,78000,77000
2006-06-22,3.33,80500,3.5(4.55 %),195510,15700465,0,0,80000,80500,80000
2006-06-23,3.33,80500,0(0.00 %),168260,13565790,0,0,81500,81500,80000
2006-06-26,3.28,79500,-1(-1.24 %),105820,8426380,300000,24000000,79500,80000,79500
2006-06-27,3.26,79000,-0.5(-0.63 %),134560,10593855,300000,24000000,78500,79000,78500
2006-06-28,3.3,80000,1(1.27 %),93070,7418065,0,0,79000,80000,79000
2006-06-29,3.35,81000,1(1.25 %),178890,14466050,270000,22070000,80000,81000,80000
2006-06-30,3.35,81000,0(0.00 %),364050,29482400,105000,8890000,81000,81000,80500
2006-07-03,3.3,80000,-1(-1.23 %),53410,4276180,10000,810000,80000,80500,80000
2006-07-04,3.26,79000,-1(-1.25 %),55320,4372650,0,0,79500,79500,79000
2006-07-05,3.26,79000,0(0.00 %),38160,3014640,0,0,79000,79000,79000
2006-07-06,3.3,80000,1(1.27 %),43990,3495460,50000,4050000,78500,80000,78500
2006-07-07,3.3,80000,0(0.00 %),61580,4926400,0,0,80000,80000,80000
2006-07-10,3.26,79000,-1(-1.25 %),50220,3983500,0,0,80000,80000,79000
2006-07-11,3.26,79000,0(0.00 %),74950,5924635,0,0,79000,79500,79000
2006-07-12,3.24,78500,-0.5(-0.63 %),55640,4370380,0,0,79000,79000,78500
2006-07-13,3.24,78500,0(0.00 %),68140,5339660,0,0,78500,78500,78500
2006-07-14,3.24,78500,0(0.00 %),43290,3398265,0,0,78500,78500,78500
2006-07-17,3.18,77000,-1.5(-1.91 %),49640,3811780,0,0,76000,77000,76000
2006-07-18,3.12,75500,-1.5(-1.95 %),65390,4963065,0,0,77000,77000,75500
2006-07-19,3.0,72500,-3(-3.97 %),170020,12423780,0,0,74500,74500,72500
2006-07-20,3.14,76000,3.5(4.83 %),137880,10280345,0,0,72000,76000,72000
2006-07-21,3.06,74000,-2(-2.63 %),109890,8275760,0,0,76500,76500,74000
2006-07-24,3.0,72500,-1.5(-2.03 %),121480,8824250,0,0,72500,72500,72500
2006-07-25,2.85,69000,-3.5(-4.83 %),224750,15647295,0,0,70500,70500,69000
2006-07-26,2.85,69000,0(0.00 %),125710,8665985,0,0,68500,69000,68500
2006-07-27,2.89,70000,1(1.45 %),123040,8568725,0,0,69000,70000,69000
2006-07-28,2.89,70000,0(0.00 %),117800,8246000,0,0,70000,70000,70000
2006-07-31,2.79,67500,-2.5(-3.57 %),92100,6308535,0,0,70000,70000,67500
2006-08-01,2.69,65000,-2.5(-3.70 %),161900,10561410,0,0,66000,66000,65000
2006-08-02,2.73,66000,1(1.54 %),135090,8660865,0,0,62500,66000,62500
2006-08-03,2.85,69000,3(4.55 %),122010,8368305,0,0,67500,69000,67500
2006-08-04,2.97,72000,3(4.35 %),231190,16645680,0,0,72000,72000,72000
2006-08-07,2.87,69500,-2.5(-3.47 %),152230,10762180,0,0,72000,72000,69500
2006-08-08,2.97,72000,2.5(3.60 %),136030,9764110,0,0,71000,72000,71000
2006-08-09,3.0,72500,0.5(0.69 %),135820,9868650,0,0,72500,72500,72500
2006-08-10,3.0,72500,0(0.00 %),69590,5039925,0,0,72000,72500,72000
2006-08-11,3.06,74000,1.5(2.07 %),115900,8558380,0,0,73000,74000,73000
2006-08-14,3.2,77500,3.5(4.73 %),178860,13814240,60000,4650000,76500,77500,76500
2006-08-15,3.2,77500,0(0.00 %),203640,15808265,0,0,78000,78000,77500
2006-08-16,3.35,81000,3.5(4.52 %),316830,25384610,0,0,79000,81000,79000
2006-08-17,3.43,83000,2(2.47 %),349110,29027590,0,0,83500,83500,83000
2006-08-18,3.43,83000,0(0.00 %),414570,34409310,0,0,83000,83000,83000
2006-08-21,3.41,82500,-0.5(-0.60 %),146890,12126075,100000,8300000,83000,83000,82500
2006-08-22,3.33,80500,-2(-2.42 %),326890,26408030,0,0,81000,81000,80500
2006-08-23,3.37,81500,1(1.24 %),130680,10613325,0,0,80000,81500,80000
2006-08-24,3.37,81500,0(0.00 %),90080,7387920,0,0,82000,82000,81500
2006-08-25,3.35,81000,-0.5(-0.61 %),92150,7464150,0,0,81000,81000,81000
2006-08-28,3.39,82000,1(1.23 %),70440,5746215,0,0,80500,82000,80500
2006-08-29,3.41,82500,0.5(0.61 %),114240,9397270,0,0,82500,82500,82000
2006-08-30,3.43,83000,0.5(0.61 %),147020,12202660,0,0,83000,83000,83000
2006-08-31,3.41,82500,-0.5(-0.60 %),126760,10465175,0,0,83000,83000,82500
2006-09-01,3.41,82500,0(0.00 %),112280,9263100,0,0,82500,82500,82500
2006-09-05,3.47,84000,1.5(1.82 %),196580,16450285,0,0,83000,84000,83000
2006-09-06,3.43,83000,-1(-1.19 %),140680,11856540,0,0,85000,85000,83000
2006-09-07,3.41,82500,-0.5(-0.60 %),53540,4407805,0,0,82500,82500,82500
2006-09-08,3.41,82500,0(0.00 %),108490,8925540,0,0,82000,82500,82000
2006-09-11,3.39,82000,-0.5(-0.61 %),69280,5701150,0,0,82500,82500,82000
2006-09-12,3.35,81000,-1(-1.22 %),90600,7338600,0,0,81000,81000,81000
2006-09-13,3.37,81500,0.5(0.62 %),50360,4082650,0,0,80000,81500,80000
2006-09-14,3.33,80500,-1(-1.23 %),86840,7010090,0,0,81500,81500,80500
2006-09-15,3.35,81000,0.5(0.62 %),59480,4817880,0,0,81000,81000,81000
2006-09-18,3.37,81500,0.5(0.62 %),55650,4519000,0,0,81000,81500,81000
2006-09-19,3.43,83000,1.5(1.84 %),157050,13035150,0,0,83000,83000,83000
2006-09-20,3.41,82500,-0.5(-0.60 %),129200,10771310,0,0,84000,84000,82500
2006-09-21,3.39,82000,-0.5(-0.61 %),38600,3170725,0,0,82500,82500,82000
2006-09-22,3.39,82000,0(0.00 %),59750,4899500,0,0,82000,82000,82000
2006-09-25,3.39,82000,0(0.00 %),82260,6745320,0,0,82000,82000,82000
2006-09-26,3.41,82500,0.5(0.61 %),123560,10165120,0,0,82000,82500,82000
2006-09-27,3.41,82500,0(0.00 %),111160,9206870,0,0,83000,83000,82500
2006-09-28,3.43,83000,0.5(0.61 %),86250,7142510,1839720,151776900,82500,83000,82500
2006-09-29,3.43,83000,0(0.00 %),256120,21421510,0,0,84000,84000,83000
