Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-07-30,3.99,46600,-1.4(-2.92 %),1340,62444000,0,0,46600,46600,46600
2008-07-31,3.88,45300,-1.3(-2.79 %),1060,48018000,0,0,45300,45300,45300
2008-08-01,3.77,44000,-1.3(-2.87 %),60,2640000,0,0,44000,44000,44000
2008-08-04,3.66,42700,-1.3(-2.95 %),50,2135000,0,0,42700,42700,42700
2008-08-05,3.56,41500,-1.2(-2.81 %),10,415000,0,0,41500,41500,41500
2008-08-06,3.45,40300,-1.2(-2.89 %),20,806000,0,0,41500,41500,40300
2008-08-07,3.35,39100,-1.2(-2.98 %),10,391000,0,0,39100,39100,39100
2008-08-08,3.26,38000,-1.1(-2.81 %),10,380000,0,0,38000,38000,38000
2008-08-11,3.16,36900,-1.1(-2.89 %),71510,2644340000,0,0,37000,39100,36900
2008-08-12,3.07,35800,-1.1(-2.98 %),36830,1318564000,0,0,35800,35900,35800
2008-08-13,2.98,34800,-1(-2.79 %),2880,100224000,0,0,34800,34800,34800
2008-08-14,3.07,35800,1(2.87 %),384410,13500428000,0,0,33800,35800,33800
2008-08-15,3.15,36800,1(2.79 %),164690,6032351000,36000,1288800000,36500,36800,35800
2008-08-18,3.0,35000,-1.8(-4.89 %),31260,1098894000,0,0,35200,35400,35000
2008-08-19,2.85,33300,-1.7(-4.86 %),29310,977358000,0,0,33400,33400,33300
2008-08-20,2.72,31700,-1.6(-4.80 %),32610,1033737000,0,0,31700,31700,31700
2008-08-21,2.59,30200,-1.5(-4.73 %),35130,1060926000,0,0,30200,30200,30200
2008-08-22,2.71,31600,1.4(4.64 %),280120,8542733000,0,0,28700,31700,28700
2008-08-25,2.84,33100,1.5(4.75 %),150850,4982743000,0,0,33100,33100,31400
2008-08-26,2.97,34700,1.6(4.83 %),64420,2235374000,0,0,34700,34700,34700
2008-08-27,3.08,36000,1.3(3.75 %),144270,5229685000,0,0,36400,36400,34500
2008-08-28,2.93,34200,-1.8(-5.00 %),22770,778734000,0,0,34200,34200,34200
2008-08-29,2.78,32500,-1.7(-4.97 %),2080,67600000,0,0,32500,32500,32500
2008-09-03,2.65,30900,-1.6(-4.92 %),152920,4867300000,20000,682000000,32100,33900,30900
2008-09-04,2.57,30000,-0.9(-2.91 %),129190,3851458000,0,0,29500,30600,29500
2008-09-05,2.48,29000,-1(-3.33 %),129570,3770322000,0,0,29000,30000,28800
2008-09-08,2.6,30400,1.4(4.83 %),95240,2868242000,0,0,29900,30400,29000
2008-09-09,2.73,31900,1.5(4.93 %),121270,3865355000,0,0,31900,31900,30500
2008-09-10,2.72,31800,-0.1(-0.31 %),85850,2831834000,0,0,33400,33400,31000
2008-09-11,2.6,30300,-1.5(-4.72 %),51350,1564040000,0,0,31500,31500,30300
2008-09-12,2.47,28800,-1.5(-4.95 %),21190,610272000,0,0,28800,28800,28800
2008-09-15,2.39,27900,-0.9(-3.12 %),101410,2798804000,0,0,27400,30200,27400
2008-09-16,2.29,26700,-1.2(-4.30 %),253500,6812890000,0,0,27200,27900,26600
2008-09-17,2.27,26500,-0.2(-0.75 %),97410,2579893000,0,0,26600,26800,25700
2008-09-18,2.16,25200,-1.3(-4.91 %),96820,2458037000,0,0,25900,25900,25200
2008-09-19,2.26,26400,1.2(4.76 %),47390,1251096000,0,0,26400,26400,26400
2008-09-22,2.37,27700,1.3(4.92 %),33740,934598000,20000,554000000,27700,27700,27700
2008-09-23,2.26,26400,-1.3(-4.69 %),91100,2432274000,0,0,26400,27700,26400
2008-09-24,2.16,25200,-1.2(-4.55 %),36300,932380000,0,0,26400,26400,25200
2008-09-25,2.18,25500,0.3(1.19 %),50240,1266135000,0,0,24500,25500,24500
2008-09-26,2.23,26000,0.5(1.96 %),36110,946700000,0,0,26700,26700,26000
2008-09-29,2.12,24700,-1.3(-5.00 %),36560,920616000,22100,574600000,25500,25500,24700
2008-09-30,2.01,23500,-1.2(-4.86 %),3400,79900000,20000,510000000,23500,23500,23500
2008-10-01,2.04,23800,0.3(1.28 %),21710,504056000,0,0,23100,24600,22600
2008-10-02,2.06,24000,0.2(0.84 %),29780,716546000,0,0,24000,24700,23900
2008-10-03,2.01,23500,-0.5(-2.08 %),30270,697924000,0,0,23500,23500,22800
2008-10-06,1.92,22400,-1.1(-4.68 %),38890,871136000,0,0,22400,22400,22400
2008-10-07,1.83,21400,-1(-4.46 %),88180,1884647000,0,0,21300,21600,21300
2008-10-08,1.76,20500,-0.9(-4.21 %),48350,997960000,0,0,20600,21300,20500
2008-10-09,1.76,20500,0(0.00 %),32490,686195000,20790,446985000,20500,21500,20500
2008-10-10,1.67,19500,-1(-4.88 %),77470,1513479000,0,0,19700,20000,19500
2008-10-13,1.75,20400,0.9(4.62 %),103330,2074470000,0,0,20300,20400,19500
2008-10-14,1.83,21400,1(4.90 %),103360,2211904000,0,0,21400,21400,21400
2008-10-15,1.84,21500,0.1(0.47 %),71120,1552203000,0,0,22200,22200,21400
2008-10-16,1.76,20600,-0.9(-4.19 %),39390,810870000,0,0,20500,21200,20500
2008-10-17,1.85,21600,1(4.85 %),45300,974024000,0,0,21400,21600,21300
2008-10-20,1.94,22600,1(4.63 %),65980,1490312000,0,0,22600,22600,22000
2008-10-21,2.03,23700,1.1(4.87 %),56220,1327271000,0,0,23700,23700,22600
2008-10-22,1.98,23100,-0.6(-2.53 %),28180,649603000,0,0,22900,23600,22800
2008-10-23,1.88,22000,-1.1(-4.76 %),32520,716599000,0,0,22100,22100,22000
2008-10-24,1.79,20900,-1.1(-5.00 %),58890,1233994000,0,0,21000,22000,20900
2008-10-27,1.7,19900,-1(-4.78 %),61440,1222656000,0,0,19900,19900,19900
2008-10-28,1.63,19000,-0.9(-4.52 %),31490,609110000,0,0,19900,19900,19000
2008-10-29,1.63,19000,0(0.00 %),62550,1215399000,0,0,19900,19900,18900
2008-10-30,1.64,19100,0.1(0.53 %),18220,341802000,0,0,18400,19200,18400
2008-10-31,1.63,19000,-0.1(-0.52 %),122120,2328589000,0,0,20000,20000,18500
2008-11-03,1.61,18800,-0.2(-1.05 %),59340,1127216000,0,0,19000,19200,18600
2008-11-04,1.69,19700,0.9(4.79 %),94420,1835257000,0,0,19300,19700,18800
2008-11-05,1.71,20000,0.3(1.52 %),118630,2386170000,0,0,20600,20600,19000
2008-11-06,1.64,19200,-0.8(-4.00 %),80880,1559088000,0,0,19200,20100,19000
2008-11-07,1.59,18600,-0.6(-3.12 %),28340,523866000,0,0,18500,18700,18400
2008-11-10,1.63,19000,0.4(2.15 %),117220,2264499000,0,0,19400,19500,18800
2008-11-11,1.7,19900,0.9(4.74 %),163900,3257006000,500000,9750000000,19900,19900,19600
2008-11-12,1.7,19900,0(0.00 %),51750,1027186000,838610,16352895000,19900,20200,19500
2008-11-13,1.71,20000,0.1(0.50 %),40460,802684000,0,0,19500,20400,19500
2008-11-14,1.7,19800,-0.2(-1.00 %),51230,1017913000,0,0,20000,20000,19500
2008-11-17,1.67,19500,-0.3(-1.52 %),33640,662723000,0,0,19800,19800,19400
