Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-09-09,12.51,15100,0.7(4.86 %),2797970,42162093000,0,0,15000,15100,14900
2010-09-10,13.09,15800,0.7(4.64 %),1353710,21388618000,0,0,15800,15800,15800
2010-09-13,13.26,16000,0.2(1.27 %),707490,11413506000,0,0,16500,16500,15500
2010-09-14,12.6,15200,-0.8(-5.00 %),813000,12397461000,0,0,15500,15700,15200
2010-09-15,12.02,14500,-0.7(-4.61 %),898640,13165525000,28000,406000000,14600,15000,14500
2010-09-16,12.35,14900,0.4(2.76 %),402070,5942705000,0,0,14500,15200,14300
2010-09-17,12.43,15000,0.1(0.67 %),427980,6370915000,0,0,14900,15200,14600
2010-09-20,12.1,14600,-0.4(-2.67 %),414710,6084292000,0,0,15000,15000,14500
2010-09-21,11.93,14400,-0.2(-1.37 %),568170,8231950000,42000,583800000,14600,14700,14200
2010-09-22,12.02,14500,0.1(0.69 %),358880,5168284000,0,0,14400,14500,14300
2010-09-23,11.69,14100,-0.4(-2.76 %),511310,7229930000,35000,483000000,14400,14600,13900
2010-09-24,11.6,14000,-0.1(-0.71 %),202710,2818666000,0,0,13900,14200,13800
2010-09-27,11.19,13500,-0.5(-3.57 %),244000,3326383000,1900000,25650000000,14000,14000,13500
2010-09-28,11.02,13300,-0.2(-1.48 %),350700,4724590000,0,0,13600,13800,13300
2010-09-29,10.77,13000,-0.3(-2.26 %),477010,6231226000,0,0,13300,13400,13000
2010-09-30,10.77,13000,0(0.00 %),246410,3185102000,25000,310000000,12800,13000,12800
2010-10-01,10.61,12800,-0.2(-1.54 %),255840,3284334000,0,0,12800,12900,12800
2010-10-04,10.11,12200,-0.6(-4.69 %),313610,3856538000,150000,2010000000,12900,12900,12200
2010-10-05,10.03,12100,-0.1(-0.82 %),295820,3556055000,0,0,11800,12200,11800
2010-10-06,10.28,12400,0.3(2.48 %),324040,3947069000,0,0,12400,12400,12000
2010-10-07,10.11,12200,-0.2(-1.61 %),199550,2445337000,25000,295000000,12300,12500,12100
2010-10-08,9.95,12000,-0.2(-1.64 %),137870,1654674000,0,0,12000,12200,11900
2010-10-11,9.95,12000,0(0.00 %),176300,2112640000,0,0,12000,12100,11900
2010-10-12,9.61,11600,-0.4(-3.33 %),72030,847499000,150000,1890000000,11900,12000,11600
2010-10-13,9.53,11500,-0.1(-0.86 %),231980,2680960000,0,0,11400,11700,11400
2010-10-14,9.45,11400,-0.1(-0.87 %),241340,2769519000,45000,528000000,11600,11600,11400
2010-10-15,9.7,11700,0.3(2.63 %),466120,5409456000,0,0,11400,11800,11300
2010-10-18,9.7,11700,0(0.00 %),144240,1689574000,0,0,11700,11800,11600
2010-10-19,9.53,11500,-0.2(-1.71 %),233230,2694727000,0,0,11700,11700,11400
2010-10-20,9.12,11000,-0.5(-4.35 %),327650,3624997000,25000,300000000,11400,11400,11000
2010-10-21,9.12,11000,0(0.00 %),639990,6996005000,0,0,10900,11100,10600
2010-10-22,9.03,10900,-0.1(-0.91 %),274960,2990987000,0,0,11000,11000,10700
2010-10-25,9.03,10900,0(0.00 %),147780,1603328000,20000,228000000,10900,10900,10700
2010-10-26,9.2,11100,0.2(1.83 %),343770,3853807000,25000,285000000,11000,11400,10900
2010-10-27,8.95,10800,-0.3(-2.70 %),145590,1587053000,200000,2120000000,11100,11200,10800
2010-10-28,8.79,10600,-0.2(-1.85 %),128370,1368948000,0,0,10800,10800,10600
2010-10-29,8.79,10600,0(0.00 %),82920,877190000,0,0,10700,10700,10400
2010-11-01,8.62,10400,-0.2(-1.89 %),56870,593262000,20000,222000000,10400,10500,10400
2010-11-02,8.37,10100,-0.3(-2.88 %),79640,809845000,25000,272500000,10400,10400,10100
2010-11-03,8.29,10000,-0.1(-0.99 %),115990,1151028000,0,0,10100,10100,9800
2010-11-04,8.2,9900,-0.1(-1.00 %),79730,793792000,0,0,10000,10000,9800
2010-11-05,8.54,10300,0.4(4.04 %),187290,1920715000,0,0,10100,10300,10100
2010-11-08,8.45,10200,-0.1(-0.97 %),164000,1678740000,0,0,10700,10700,9900
2010-11-09,8.12,9800,-0.4(-3.92 %),218740,2152092000,25000,267500000,10000,10000,9700
2010-11-10,8.29,10000,0.2(2.04 %),181150,1815107000,0,0,10100,10200,9800
2010-11-11,8.04,9700,-0.3(-3.00 %),125370,1228679000,0,0,10100,10100,9700
2010-11-12,7.79,9400,-0.3(-3.09 %),296640,2773248000,0,0,9500,9600,9300
2010-11-15,7.79,9400,0(0.00 %),165870,1562370000,0,0,9500,9600,9100
2010-11-16,7.46,9000,-0.4(-4.26 %),149400,1349245000,0,0,9100,9400,9000
2010-11-17,7.46,9000,0(0.00 %),142930,1287787000,25000,235000000,8800,9300,8800
2010-11-18,7.71,9300,0.3(3.33 %),120600,1117996000,0,0,9200,9400,9200
2010-11-19,7.62,9200,-0.1(-1.08 %),106690,987025000,40000,356000000,9400,9400,9100
2010-11-22,7.46,9000,-0.2(-2.17 %),112940,1005084000,0,0,8800,9000,8800
2010-11-23,7.54,9100,0.1(1.11 %),49110,444039000,25000,235000000,8800,9100,8800
2010-11-24,7.62,9200,0.1(1.10 %),68060,618581000,0,0,9000,9200,9000
2010-11-25,7.71,9300,0.1(1.09 %),250360,2354517000,0,0,9200,9500,9100
2010-11-26,7.71,9300,0(0.00 %),135030,1263199000,0,0,9400,9500,9300
2010-11-29,7.79,9400,0.1(1.08 %),59920,558005000,0,0,9300,9400,9200
2010-11-30,8.12,9800,0.4(4.26 %),469430,4597436000,0,0,9700,9800,9700
2010-12-01,8.12,9800,0(0.00 %),395960,3897759000,0,0,9800,10000,9500
2010-12-02,8.45,10200,0.4(4.08 %),374120,3718019000,0,0,9800,10200,9800
2010-12-03,8.87,10700,0.5(4.90 %),360930,3861951000,20000,194000000,10700,10700,10700
2010-12-06,9.28,11200,0.5(4.67 %),677290,7578248000,314600,3523520000,11200,11200,11000
2010-12-07,9.37,11300,0.1(0.89 %),1127680,13042968000,0,0,11200,11700,11200
2010-12-08,8.95,10800,-0.5(-4.42 %),512940,5650053000,0,0,11200,11400,10800
2010-12-09,9.12,11000,0.2(1.85 %),306510,3331806000,0,0,10600,11200,10500
2010-12-10,9.53,11500,0.5(4.55 %),663780,7444418000,0,0,11000,11500,10900
2010-12-13,9.95,12000,0.5(4.35 %),558870,6662029000,0,0,12000,12000,11700
2010-12-14,9.45,11400,-0.6(-5.00 %),375880,4319169000,0,0,11500,11900,11400
2010-12-15,9.61,11600,0.2(1.75 %),746020,8683623000,0,0,11200,11900,11200
2010-12-16,9.2,11100,-0.5(-4.31 %),438400,4872803000,0,0,11100,11300,11100
2010-12-17,9.28,11200,0.1(0.90 %),177090,1961482000,0,0,11100,11300,10700
2010-12-20,8.95,10800,-0.4(-3.57 %),245580,2656019000,0,0,11200,11200,10700
2010-12-21,9.37,11300,0.5(4.63 %),863340,9732207000,20000,208000000,11300,11300,11100
2010-12-22,9.7,11700,0.4(3.54 %),979970,11540520000,0,0,11800,11800,11700
2010-12-23,9.28,11200,-0.5(-4.27 %),288770,3260158000,416670,5083374000,11700,11700,11200
2010-12-24,9.03,10900,-0.3(-2.68 %),143620,1587291000,0,0,11200,11400,10900
2010-12-27,9.03,10900,0(0.00 %),154400,1685948000,165000,1781000000,11200,11200,10900
2010-12-28,9.37,11300,0.4(3.67 %),199680,2237653000,0,0,10900,11400,10900
2010-12-29,9.12,11000,-0.3(-2.65 %),139900,1573223000,0,0,11500,11500,11000
2010-12-30,9.12,11000,0(0.00 %),120040,1321390000,0,0,11100,11100,10900
2010-12-31,9.12,11000,0(0.00 %),110510,1214820000,30000,315000000,11100,11100,10900
2011-01-04,9.03,10900,-0.1(-0.91 %),62470,685798000,0,0,11100,11200,10900
2011-01-05,8.7,10500,-0.4(-3.67 %),183350,1948838000,0,0,10800,10900,10500
2011-01-06,8.7,10500,0(0.00 %),112520,1184535000,0,0,10800,10800,10500
2011-01-07,8.62,10400,-0.1(-0.95 %),84100,876204000,0,0,10600,10600,10300
2011-01-10,8.45,10200,-0.2(-1.92 %),102920,1047707000,0,0,10200,10400,10100
2011-01-11,8.12,9800,-0.4(-3.92 %),148290,1457845000,0,0,10000,10000,9800
2011-01-12,8.29,10000,0.2(2.04 %),100260,998866000,0,0,10000,10100,9900
2011-01-13,8.37,10100,0.1(1.00 %),96180,970943000,0,0,9900,10200,9900
2011-01-14,8.37,10100,0(0.00 %),267500,2699887000,0,0,10000,10300,9900
2011-01-17,8.45,10200,0.1(0.99 %),193640,1986614000,0,0,10200,10500,10100
2011-01-18,8.45,10200,0(0.00 %),171360,1747692000,0,0,10200,10300,10100
2011-01-19,8.29,10000,-0.2(-1.96 %),161310,1637376000,0,0,10400,10400,10000
2011-01-20,8.29,10000,0(0.00 %),51400,513656000,0,0,9900,10100,9900
2011-01-21,8.29,10000,0(0.00 %),59810,597730000,0,0,10000,10100,9900
2011-01-24,8.04,9700,-0.3(-3.00 %),47290,466390000,0,0,10000,10000,9700
2011-01-25,7.87,9500,-0.2(-2.06 %),78500,750056000,0,0,9700,9800,9500
2011-01-26,7.87,9500,0(0.00 %),71890,687360000,0,0,9700,9700,9400
2011-01-27,8.04,9700,0.2(2.11 %),86020,821950000,0,0,9500,9700,9500
2011-01-28,8.12,9800,0.1(1.03 %),84220,820069000,0,0,9700,9800,9700
2011-02-08,8.29,10000,0.2(2.04 %),40210,401232000,0,0,10000,10000,9800
2011-02-09,8.29,10000,0(0.00 %),32090,320310000,0,0,10100,10100,9900
2011-02-10,8.29,10000,0(0.00 %),73580,733370000,0,0,9800,10000,9800
2011-02-11,7.96,9600,-0.4(-4.00 %),2286420,21797434000,0,0,9800,10000,9500
2011-02-14,7.96,9600,0(0.00 %),192150,1857109000,0,0,9700,9800,9600
2011-02-15,7.87,9500,-0.1(-1.04 %),84680,806264000,0,0,9600,9700,9500
2011-02-16,7.87,9500,0(0.00 %),54720,520145000,0,0,9700,9700,9400
2011-02-17,7.54,9100,-0.4(-4.21 %),615840,5621340000,0,0,9200,9300,9100
2011-02-18,7.46,9000,-0.1(-1.10 %),271640,2447029000,0,0,9000,9200,8900
2011-02-21,7.13,8600,-0.4(-4.44 %),261530,2252433000,0,0,8700,8700,8600
2011-02-22,7.13,8600,0(0.00 %),153180,1296112000,0,0,8300,8600,8300
2011-02-23,7.13,8600,0(0.00 %),124250,1076079000,0,0,8900,8900,8500
2011-02-24,6.96,8400,-0.2(-2.33 %),95750,794711000,0,0,8300,8600,8200
2011-02-25,6.96,8400,0(0.00 %),103240,870712000,0,0,8400,8700,8400
