Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-04-13,6.37,11500,-0.1(-0.86 %),66000,759430000,30000,300000000,11200,11700,11200
2016-04-14,6.32,11400,-0.1(-0.87 %),20100,228830000,0,0,11500,11500,11300
2016-04-15,6.32,11400,0(0.00 %),51630,586910000,0,0,11300,11500,11000
2016-04-19,6.2,11200,-0.2(-1.75 %),56100,631460000,0,0,11400,11400,11200
2016-04-20,6.37,11500,0.2(1.77 %),85130,986571000,0,0,11200,11800,11100
2016-04-21,6.2,11200,-0.4(-3.45 %),1609,18109100,3000,30000000,11300,11300,11200
2016-04-22,6.15,11100,-0.2(-1.77 %),16500,183650000,0,0,11200,11200,11100
2016-04-25,6.2,11200,0.1(0.90 %),44200,494030000,0,0,11200,11200,11100
2016-04-26,6.2,11200,0(0.00 %),17800,199150000,0,0,11200,11200,11100
2016-04-27,6.2,11200,0(0.00 %),35900,400350000,0,0,11200,11200,11100
2016-04-28,6.2,11200,0(0.00 %),10300,115360000,0,0,11200,11200,11200
2016-04-29,6.26,11300,0.1(0.89 %),32700,364580000,0,0,11100,11300,11100
2016-05-04,6.26,11300,0.2(1.80 %),43500,486520000,0,0,11100,11300,11100
2016-05-05,6.2,11200,0(0.00 %),35700,400883200,0,0,11300,11300,11200
2016-05-06,6.2,11200,0(0.00 %),30350,343200000,0,0,11300,11400,11200
2016-05-09,6.26,11300,0(0.00 %),35700,401130000,0,0,11300,11300,11200
2016-05-10,6.2,11200,0(0.00 %),142,1590400,0,0,11200,11200,11200
2016-05-11,6.26,11300,0.1(0.89 %),41856,470697600,64,614400,11200,11300,11200
2016-05-12,6.2,11200,0(0.00 %),38159,427286400,0,0,11200,11200,11200
2016-05-13,6.2,11200,0(0.00 %),26600,297920000,0,0,11200,11200,11200
2016-05-16,6.09,11000,-0.2(-1.79 %),24178,266943000,281579,2703158400,11000,11200,11000
2016-05-17,6.09,11000,0(0.00 %),79850,878345000,25883,243300200,11000,11000,11000
