Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-01-19,3.84,14750,0.95(6.88 %),2200,32000000,0,0,14750,14750,14750
2018-01-22,4.1,15750,1(6.78 %),3400,54000000,100000,1500000000,15750,15750,15750
2018-01-25,4.39,16850,1.1(6.98 %),1000,17000000,300000,4480000000,16850,16850,16850
2018-01-26,4.69,18000,1.15(6.82 %),9900,178000000,100000,1580000000,18000,18000,18000
2018-01-29,5.02,19250,1.25(6.94 %),7000,135000000,0,0,19250,19250,19250
2018-01-30,5.36,20550,1.3(6.75 %),291600,5960000000,0,0,20550,20550,19250
2018-01-31,5.71,21900,1.35(6.57 %),240700,5044000000,0,0,19500,21950,19500
2018-02-01,5.32,20400,-1.5(-6.85 %),214680,4538000000,0,0,22500,22500,20400
2018-02-02,5.32,20400,0(0.00 %),154050,2965000000,0,0,20000,20400,19000
2018-02-05,5.21,20000,-0.4(-1.96 %),165240,3227880000,0,0,19100,20000,19000
2018-02-06,4.85,18600,-1.4(-7.00 %),182810,3523000000,0,0,18600,20000,18600
2018-02-07,5.19,19900,1.3(6.99 %),166790,3194010000,0,0,18950,19900,18600
2018-02-08,5.21,20000,0.1(0.50 %),108730,2187000000,0,0,21000,21000,19900
2018-02-09,5.29,20300,0.3(1.50 %),101080,2031000000,0,0,20000,20900,19800
2018-02-12,5.32,20400,0.1(0.49 %),128290,2604000000,0,0,20300,21000,20000
2018-02-13,5.34,20500,0.1(0.49 %),130330,2668000000,0,0,21000,21000,20000
2018-02-21,5.08,19500,-1(-4.88 %),76550,1509000000,0,0,20500,20500,19500
2018-02-22,4.95,19000,-0.5(-2.56 %),115010,2234000000,0,0,19500,20000,19000
2018-02-23,4.85,18600,-0.4(-2.11 %),151990,2836000000,0,0,18600,19500,18600
2018-02-26,5.19,19900,1.3(6.99 %),114390,2241000000,0,0,19000,19900,19000
2018-02-27,5.47,21000,1.1(5.53 %),106990,2137000000,0,0,19900,21000,19500
2018-02-28,5.29,20300,-0.7(-3.33 %),108870,2215000000,0,0,20900,20900,20000
2018-03-01,5.21,20000,-0.3(-1.48 %),105870,2123000000,0,0,20800,20800,19500
2018-03-02,5.08,19500,-0.5(-2.50 %),113140,2222000000,0,0,19700,20000,19500
2018-03-05,5.11,19600,0.1(0.51 %),102060,1989000000,0,0,19600,19700,19300
2018-03-06,5.21,20000,0.4(2.04 %),95930,1899000000,0,0,19600,20000,19600
2018-03-07,5.21,20000,0(0.00 %),88030,1752000000,0,0,19600,20300,19500
2018-03-08,4.95,19000,-1(-5.00 %),94850,1857000000,0,0,19500,20000,19000
2018-03-09,5.13,19700,0.7(3.68 %),71230,1389000000,0,0,19300,19800,19100
2018-03-12,5.13,19700,0(0.00 %),57800,1137000000,0,0,19700,19900,19500
2018-03-13,5.13,19700,0(0.00 %),44830,883000000,0,0,19700,19900,19500
2018-03-14,5.11,19600,-0.1(-0.51 %),33400,654000000,0,0,19700,19900,19500
2018-03-15,5.11,19600,0(0.00 %),40180,788000000,0,0,19600,19700,19500
2018-03-16,5.08,19500,-0.1(-0.51 %),34770,674000000,0,0,19500,19500,19000
2018-03-19,5.03,19300,-0.2(-1.03 %),40660,779000000,0,0,19300,19500,19000
