Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-09-10,8.0,37800,1.8(5.00 %),200,7560000,0,0,37800,37800,37800
2009-09-11,8.38,39600,1.8(4.76 %),500,19800000,0,0,39600,39600,39600
2009-09-14,8.78,41500,1.9(4.80 %),700,29050000,0,0,41500,41500,41500
2009-09-15,9.21,43500,2(4.82 %),500,21750000,0,0,43500,43500,43500
2009-09-16,9.65,45600,2.1(4.83 %),800,36480000,0,0,45600,45600,45600
2009-09-17,10.12,47800,2.2(4.82 %),6700,320260000,0,0,47800,47800,47800
2009-09-18,10.58,50000,2.2(4.60 %),2000,100000000,0,0,50000,50000,50000
2009-09-21,11.11,52500,2.5(5.00 %),500,26250000,0,0,52500,52500,52500
2009-09-22,11.64,55000,2.5(4.76 %),1000,55000000,0,0,55000,55000,55000
2009-09-23,12.17,57500,2.5(4.55 %),1000,57500000,0,0,57500,57500,57500
2009-09-24,12.7,60000,2.5(4.35 %),930,55800000,0,0,60000,60000,60000
2009-09-25,13.33,63000,3(5.00 %),5960,375480000,0,0,63000,63000,63000
2009-09-28,13.97,66000,3(4.76 %),500,33000000,0,0,66000,66000,66000
2009-09-29,14.6,69000,3(4.55 %),2700,186300000,0,0,69000,69000,69000
2009-09-30,15.24,72000,3(4.35 %),6320,455040000,0,0,72000,72000,72000
2009-10-01,15.98,75500,3.5(4.86 %),8200,619100000,0,0,75500,75500,75500
2009-10-02,16.72,79000,3.5(4.64 %),93380,7377020000,0,0,79000,79000,79000
2009-10-05,17.46,82500,3.5(4.43 %),9620,793650000,0,0,82500,82500,82500
2009-10-06,18.31,86500,4(4.85 %),1010,87365000,0,0,86500,86500,86500
2009-10-07,19.15,90500,4(4.62 %),6510,589155000,0,0,90500,90500,90500
2009-10-08,20.1,95000,4.5(4.97 %),74700,7096500000,0,0,95000,95000,95000
2009-10-09,21.06,99500,4.5(4.74 %),42680,4246660000,0,0,99500,99500,99500
2009-10-12,22.01,104000,4.5(4.52 %),21030,2187120000,0,0,104000,104000,104000
2009-10-13,23.07,109000,5(4.81 %),23460,2557140000,0,0,109000,109000,109000
2009-10-14,24.13,114000,5(4.59 %),24290,2769060000,33150,3779100000,114000,114000,114000
2009-10-15,25.18,119000,5(4.39 %),18310,2178890000,0,0,119000,119000,119000
2009-10-16,26.24,124000,5(4.20 %),39210,4862040000,0,0,124000,124000,124000
2009-10-19,25.18,119000,-5(-4.03 %),148490,18879980000,47000,5546000000,130000,130000,118000
2009-10-20,24.13,114000,-5(-4.20 %),100340,11501600000,0,0,115000,119000,114000
2009-10-21,25.18,119000,5(4.39 %),72320,8258870000,0,0,109000,119000,109000
2009-10-22,25.18,119000,0(0.00 %),26480,3073650000,30000,3420000000,121000,121000,114000
2009-10-23,24.13,114000,-5(-4.20 %),26840,3059760000,0,0,114000,114000,114000
2009-10-26,23.07,109000,-5(-4.39 %),3740,407660000,0,0,109000,109000,109000
2009-10-27,22.01,104000,-5(-4.59 %),530,55120000,38710,4025840000,104000,104000,104000
2009-10-28,20.95,99000,-5(-4.81 %),2110,208890000,76900,7963100000,99000,99000,99000
2009-10-29,20.0,94500,-4.5(-4.55 %),2880,272160000,0,0,94500,94500,94500
2009-10-30,19.05,90000,-4.5(-4.76 %),70590,6355600000,0,0,90000,91000,90000
2009-11-02,18.09,85500,-4.5(-5.00 %),29490,2521395000,0,0,85500,85500,85500
2009-11-03,17.25,81500,-4(-4.68 %),6300,513450000,20000,1630000000,81500,81500,81500
2009-11-04,16.4,77500,-4(-4.91 %),42350,3282725000,0,0,77500,81000,77500
2009-11-05,17.14,81000,3.5(4.52 %),30800,2356670000,35000,2590000000,74000,81000,74000
2009-11-06,17.99,85000,4(4.94 %),61680,5238600000,0,0,85000,85000,84000
2009-11-09,17.14,81000,-4(-4.71 %),6130,496530000,24350,2142800000,81000,81000,81000
2009-11-10,16.3,77000,-4(-4.94 %),7420,571340000,0,0,77000,77000,77000
2009-11-11,15.55,73500,-3.5(-4.55 %),12100,889350000,0,0,73500,73500,73500
2009-11-12,16.19,76500,3(4.08 %),53980,4055810000,0,0,73500,77000,73500
2009-11-13,16.51,78000,1.5(1.96 %),18320,1367930000,0,0,73000,78000,73000
2009-11-16,15.98,75500,-2.5(-3.21 %),15810,1198630000,0,0,76000,79000,75000
2009-11-17,15.55,73500,-2(-2.65 %),12640,936530000,0,0,75500,75500,73000
2009-11-18,16.08,76000,2.5(3.40 %),32210,2394170000,0,0,72500,76000,72000
2009-11-19,16.82,79500,3.5(4.61 %),78970,6242315000,29350,2333325000,77500,79500,77500
2009-11-20,17.57,83000,3.5(4.40 %),20680,1716440000,0,0,83000,83000,83000
2009-11-23,16.72,79000,-4(-4.82 %),59930,4837275000,0,0,83000,83000,79000
2009-11-24,15.98,75500,-3.5(-4.43 %),20850,1597065000,20000,1580000000,77000,79000,75500
2009-11-25,15.24,72000,-3.5(-4.64 %),27770,2015690000,20000,1510000000,73000,74500,72000
2009-11-26,14.5,68500,-3.5(-4.86 %),1870,128095000,20000,1440000000,68500,68500,68500
2009-11-27,13.84,63700,-3(-4.55 %),86160,5484405000,20000,1370000000,63700,69000,63700
2009-11-30,14.17,64500,1.5(2.38 %),17190,1086155000,20000,1260000000,61500,66000,61500
2009-12-01,14.28,65000,0.5(0.78 %),23940,1560875000,0,0,66000,67000,64000
2009-12-02,13.62,62000,-3(-4.62 %),28500,1855940000,0,0,66000,66000,62000
2009-12-03,13.62,62000,0(0.00 %),41180,2501785000,20000,1240000000,62000,63000,59000
