Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-11-29,19.83,39300,3.5(9.78 %),193600,7608480000,9867000,320328200000,39300,39300,39300
2017-11-30,20.89,41400,2.1(5.34 %),542500,22440810000,56000,2075500000,42050,42050,40500
2017-12-01,20.89,41400,0(0.00 %),62300,2567030000,0,0,44000,44000,40000
2017-12-04,20.18,40000,-1.4(-3.38 %),139600,5597880000,26000,988000000,41400,41400,40000
2017-12-05,19.88,39400,-0.6(-1.50 %),49900,1955580000,100000,3900000000,39700,40000,39000
2017-12-06,19.48,38600,-0.8(-2.03 %),57000,2245420000,0,0,40000,40000,38600
2017-12-07,19.68,39000,0.4(1.04 %),21300,828760000,0,0,39100,39100,38700
2017-12-08,19.28,38200,-0.8(-2.05 %),100300,3863500000,0,0,39000,39000,38000
2017-12-11,19.33,38300,0.1(0.26 %),91400,3485690000,0,0,38200,38500,37500
2017-12-12,19.18,38000,-0.3(-0.78 %),101200,3836040000,0,0,38000,38300,37000
2017-12-13,19.07,37800,-0.2(-0.53 %),76900,2910080000,0,0,38200,38200,37000
2017-12-14,18.57,36800,-1(-2.65 %),115900,4296860000,0,0,37800,37800,36800
2017-12-15,17.76,35200,-1.6(-4.35 %),116400,4235760000,0,0,37000,37000,35200
2017-12-18,18.92,37500,2.3(6.53 %),198030,7230252000,417000,13434500000,35100,37650,35000
2017-12-19,18.52,36700,-0.8(-2.13 %),203900,7578580000,0,0,37500,37600,36700
2017-12-20,18.62,36900,0.2(0.54 %),110200,4051410000,0,0,36800,36900,36300
2017-12-21,18.73,36000,0.2(0.56 %),181200,6493680000,0,0,36800,36800,35600
2017-12-22,18.83,36200,0.2(0.56 %),161500,5803530000,0,0,36000,36200,35700
2017-12-25,18.88,36300,0.1(0.28 %),187500,6699990000,0,0,36200,36300,35300
2017-12-26,18.73,36000,-0.3(-0.83 %),219400,7837190000,0,0,35800,36000,35200
2017-12-27,18.73,36000,0(0.00 %),96100,3429720000,0,0,35500,36000,35400
2017-12-28,18.78,36100,0.1(0.28 %),79000,2827170000,0,0,36000,36100,35100
2017-12-29,19.77,38000,1.9(5.26 %),216600,7999280000,0,0,36000,38000,35000
2018-01-02,18.83,36200,-1.8(-4.74 %),212200,7887370000,40000,1520000000,38000,38000,36200
2018-01-03,18.73,36000,-0.2(-0.55 %),193330,6934400000,0,0,36200,36200,35500
2018-01-04,18.73,36000,0(0.00 %),259600,9307490000,0,0,36000,36000,35600
2018-01-05,18.78,36100,0.1(0.28 %),202700,7274920000,0,0,35700,36100,35700
2018-01-08,18.78,36100,0(0.00 %),237900,8567780000,0,0,36000,36100,35800
2018-01-09,18.62,35800,-0.3(-0.83 %),97200,3492460000,0,0,35800,36000,35800
2018-01-10,18.67,35900,0.1(0.28 %),132400,4755100000,0,0,35900,36000,35800
2018-01-11,18.73,36000,0.1(0.28 %),92900,3336820000,0,0,35900,36000,35900
2018-01-12,18.73,36000,0(0.00 %),123400,4434690000,0,0,35900,36000,35900
2018-01-15,19.04,36600,0.6(1.67 %),125130,4536573000,0,0,36000,36800,36000
2018-01-16,19.04,36600,0(0.00 %),69900,2557420000,0,0,36600,36700,36300
2018-01-17,19.19,36900,0.3(0.82 %),182800,6749710000,0,0,36600,37200,36600
2018-01-18,19.35,37200,0.3(0.81 %),87900,3275220000,0,0,36900,37600,36900
2018-01-19,19.61,37700,0.5(1.34 %),193700,7291360000,0,0,37200,37900,37200
2018-01-22,19.66,37800,0.1(0.27 %),138500,5219950000,0,0,37700,37900,37500
2018-01-23,19.71,37900,0.1(0.26 %),78400,2955360000,0,0,37700,37900,37400
2018-01-24,19.77,38000,0.1(0.26 %),73300,2777510000,0,0,37900,38000,37700
2018-01-25,19.87,38200,0.2(0.53 %),119800,4545380000,0,0,37900,38200,37600
2018-01-26,19.87,38200,0(0.00 %),80000,3017090000,20000,730000000,38300,38300,37500
2018-01-29,19.71,37900,-0.3(-0.79 %),145800,5522620000,0,0,38000,38200,37500
2018-01-30,19.25,37000,-0.9(-2.37 %),157800,5857920000,0,0,37700,37700,36900
2018-01-31,19.51,37500,0.5(1.35 %),96800,3631980000,200000,6660000000,37800,37900,36800
2018-02-01,19.61,37700,0.2(0.53 %),78800,2965470000,0,0,37800,37900,37400
2018-02-02,19.61,37700,0(0.00 %),134400,5045610000,0,0,37600,37700,37300
2018-02-05,19.25,37000,-0.7(-1.86 %),59200,2204440000,0,0,37500,37500,36300
2018-02-06,18.62,35800,-1.2(-3.24 %),73300,2617650000,0,0,34400,36900,34400
2018-02-07,18.78,36100,0.3(0.84 %),143400,5175790000,0,0,35600,36500,35500
2018-02-08,18.83,36200,0.1(0.28 %),127200,4624070000,0,0,37000,37000,35900
2018-02-09,18.99,36500,0.3(0.83 %),141500,5075070000,0,0,35000,36500,35000
2018-02-12,19.25,37000,0.5(1.37 %),169600,6195750000,0,0,36300,37500,36000
2018-02-13,19.45,37400,0.4(1.08 %),172000,6326080000,5300,176490000,37000,37400,35800
2018-02-21,19.66,37800,0.4(1.07 %),203000,7628760000,0,0,37600,37800,37300
2018-02-22,19.51,37500,-0.3(-0.79 %),209100,7884170000,0,0,37800,37900,37400
