Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-08-20,7.62,19200,1.2(6.67 %),10,0,0,0,19200,19200,19200
2015-08-21,8.14,20500,1.3(6.77 %),10,0,0,0,20500,20500,20500
2015-08-24,8.7,21900,1.4(6.83 %),10,0,0,0,21900,21900,21900
2015-08-25,8.7,21900,0(0.00 %),1720,38000000,0,0,23400,23400,21900
2015-08-26,8.74,22000,0.1(0.46 %),360,8000000,0,0,22000,22000,20400
2015-08-27,8.74,22000,0(0.00 %),10,0,0,0,22000,22000,22000
2015-08-28,9.09,22900,0.9(4.09 %),10,0,0,0,22900,22900,22900
2015-08-31,9.13,23000,0.1(0.44 %),80,2000000,0,0,21300,23400,21300
2015-09-01,8.78,22100,-0.9(-3.91 %),1240,27000000,0,0,21500,22100,21400
2015-09-03,9.09,22900,0.8(3.62 %),230,5000000,0,0,20700,22900,20600
2015-09-04,9.09,22900,0(0.00 %),0,0,0,0,22900,22900,22900
2015-09-07,8.74,22000,-0.9(-3.93 %),110,2000000,0,0,21300,22000,21300
2015-09-08,8.7,21900,-0.1(-0.45 %),310,7000000,0,0,21800,21900,21600
2015-09-09,8.1,20400,-1.5(-6.85 %),150,3000000,0,0,20500,20500,20400
2015-09-10,7.55,19000,-1.4(-6.86 %),380,7000000,0,0,19700,19700,19000
2015-09-11,7.03,17700,-1.3(-6.84 %),3330,59000000,0,0,19000,20300,17700
2015-09-14,6.55,16500,-1.2(-6.78 %),3850,64000000,0,0,16500,18900,16500
2015-09-15,6.23,15700,-0.8(-4.85 %),1670,26000000,0,0,15500,17600,15400
2015-09-16,5.88,14800,-0.9(-5.73 %),10730,163000000,0,0,16700,16700,14700
2015-09-17,6.27,15800,1(6.76 %),1450,23000000,0,0,14300,15800,14300
2015-09-18,6.67,16800,1(6.33 %),3800,64000000,0,0,16800,16900,16800
2015-09-21,6.47,16300,-0.5(-2.98 %),1380,22000000,0,0,16300,16500,15700
2015-09-22,6.51,16400,0.1(0.61 %),4150,68000000,0,0,16400,16500,15500
2015-09-23,6.63,16700,0.3(1.83 %),20,0,0,0,16700,16700,16700
2015-09-24,6.63,16700,0(0.00 %),0,0,0,0,16700,16700,16700
2015-09-25,6.27,15800,-0.9(-5.39 %),220,3000000,0,0,15800,15800,15800
2015-09-28,6.27,15800,0(0.00 %),2180,34000000,0,0,16000,16000,15800
2015-09-29,6.39,16100,0.3(1.90 %),1050,16000000,0,0,15700,16100,15700
2015-09-30,6.39,16100,0(0.00 %),340,5000000,0,0,15800,16100,15800
2015-10-01,6.16,15500,-0.6(-3.73 %),70,1000000,0,0,15500,16000,15500
2015-10-02,6.51,16400,0.9(5.81 %),20,0,0,0,15600,16400,15600
2015-10-05,6.51,16400,0(0.00 %),0,0,0,0,16400,16400,16400
2015-10-06,6.55,16500,0.1(0.61 %),400,7000000,0,0,16500,16500,16500
2015-10-07,6.83,17200,0.7(4.24 %),20,0,0,0,17200,17200,17200
2015-10-08,6.95,17500,0.3(1.74 %),10,0,0,0,17500,17500,17500
2015-10-09,7.15,18000,0.5(2.86 %),1130,18000000,0,0,16300,18000,16300
2015-10-12,7.35,18500,0.5(2.78 %),30,1000000,0,0,16800,18500,16800
2015-10-13,7.43,18700,0.2(1.08 %),200,4000000,0,0,18700,18700,18700
2015-10-14,7.43,18700,0(0.00 %),0,0,0,0,18700,18700,18700
2015-10-15,7.55,19000,0.3(1.60 %),10,0,0,0,19000,19000,19000
2015-10-16,7.03,17700,-1.3(-6.84 %),170,3000000,0,0,17700,17700,17700
2015-10-19,6.95,17500,-0.2(-1.13 %),870,14000000,0,0,16500,17700,16500
2015-10-20,6.95,17500,0(0.00 %),0,0,0,0,17500,17500,17500
2015-10-21,6.95,17500,0(0.00 %),0,0,0,0,17500,17500,17500
2015-10-22,6.55,16500,-1(-5.71 %),4060,67000000,0,0,18200,18200,16400
2015-10-23,6.55,16500,0(0.00 %),0,0,0,0,16500,16500,16500
2015-10-26,6.99,17600,1.1(6.67 %),60,1000000,0,0,17500,17600,17500
2015-10-27,6.99,17600,0(0.00 %),0,0,0,0,17600,17600,17600
2015-10-28,6.99,17600,0(0.00 %),0,0,0,0,17600,17600,17600
2015-10-29,6.99,17600,0(0.00 %),0,0,0,0,17600,17600,17600
2015-10-30,6.99,17600,0(0.00 %),1000,18000000,0,0,17600,17600,17600
2015-11-02,6.99,17600,0(0.00 %),0,0,0,0,17600,17600,17600
2015-11-03,6.99,17600,0(0.00 %),0,0,0,0,17600,17600,17600
2015-11-04,6.79,17100,-0.5(-2.84 %),20,0,0,0,16400,17100,16400
2015-11-05,6.35,16000,-1.1(-6.43 %),30,0,0,0,16000,16000,16000
2015-11-06,6.75,17000,1(6.25 %),100,2000000,0,0,15900,17000,15900
2015-11-09,6.35,16000,-1(-5.88 %),30,0,0,0,15900,17200,15900
2015-11-10,6.75,17000,1(6.25 %),30,0,0,0,15900,17000,15900
2015-11-11,6.75,17000,0(0.00 %),20,0,0,0,16000,17000,16000
2015-11-12,6.75,17000,0(0.00 %),10,0,0,0,17000,17000,17000
2015-11-13,6.39,16100,-0.9(-5.29 %),200,3000000,0,0,16000,16900,16000
2015-11-16,6.31,15900,-0.2(-1.24 %),1080,17000000,0,0,17000,17200,15900
2015-11-17,6.75,17000,1.1(6.92 %),30,1000000,0,0,16900,17000,16900
2015-11-18,6.79,17100,0.1(0.59 %),180,3000000,0,0,17000,17100,16900
2015-11-19,6.83,17200,0.1(0.58 %),30,1000000,0,0,17100,17200,17100
2015-11-20,6.95,17500,0.3(1.74 %),310,5000000,0,0,17200,17500,17200
2015-11-23,7.07,17800,0.3(1.71 %),10,0,0,0,17800,17800,17800
2015-11-24,6.95,17500,-0.3(-1.69 %),10,0,0,0,17500,17500,17500
2015-11-25,6.95,17500,0(0.00 %),0,0,0,0,17500,17500,17500
2015-11-26,6.55,16500,-1(-5.71 %),200,3000000,0,0,16500,16500,16500
2015-11-27,6.87,17300,0.8(4.85 %),620,10000000,0,0,17600,17600,16500
2015-11-30,6.47,16300,-1(-5.78 %),40,1000000,0,0,16300,17300,16300
2015-12-01,6.79,17100,0.8(4.91 %),10,0,0,0,17100,17100,17100
2015-12-02,7.03,17700,0.6(3.51 %),10,0,0,0,17100,17700,17100
2015-12-03,7.03,17700,0(0.00 %),0,0,0,0,17700,17700,17700
2015-12-04,7.31,18400,0.7(3.95 %),90,2000000,0,0,16600,18900,16600
2015-12-07,6.83,17200,-1.2(-6.52 %),1160,20000000,0,0,19200,19200,17200
2015-12-08,6.83,17200,0(0.00 %),0,0,0,0,17200,17200,17200
2015-12-09,6.91,17400,0.2(1.16 %),1680,27000000,0,0,16200,17400,16200
2015-12-10,6.75,17000,-0.4(-2.30 %),1680,29000000,0,0,17000,17000,17000
2015-12-11,6.91,17400,0.4(2.35 %),510,9000000,0,0,17000,17400,17000
2015-12-14,7.31,18400,1(5.75 %),10,0,0,0,17400,18400,17400
2015-12-15,7.27,18300,-0.1(-0.54 %),70,1000000,0,0,18700,18700,17200
2015-12-16,7.15,18000,-0.3(-1.64 %),20,0,0,0,17100,18000,17100
2015-12-17,7.51,18900,0.9(5.00 %),40,1000000,0,0,19200,19200,17100
2015-12-18,7.94,20000,1.1(5.82 %),10,0,0,0,20000,20000,20000
2015-12-21,7.94,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2015-12-22,7.39,18600,-1.4(-7.00 %),10,0,0,0,18600,18600,18600
2015-12-23,7.39,18600,0(0.00 %),0,0,0,0,18600,18600,18600
2015-12-24,7.39,18600,0(0.00 %),0,0,0,0,18600,18600,18600
