Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-07-27,17.66,41600,-1.6(-3.70 %),107590,4530968000,20000,822000000,43200,43200,41600
2010-07-28,17.07,40200,-1.4(-3.37 %),86770,3504210000,50000,2052000000,41500,41700,40100
2010-07-29,16.98,40000,-0.2(-0.50 %),112230,4521470000,0,0,40200,41300,40000
2010-07-30,17.15,40400,0.4(1.00 %),135010,5444566000,0,0,40400,40800,40000
2010-08-02,16.98,40000,-0.4(-0.99 %),74140,2965840000,0,0,40800,40800,39800
2010-08-03,16.9,39800,-0.2(-0.50 %),126820,5051390000,20000,760000000,40000,40000,39600
2010-08-04,16.9,39800,0(0.00 %),174320,6905012000,0,0,39800,39900,39000
2010-08-05,16.9,39800,0(0.00 %),150230,5936339000,0,0,39600,39800,39200
2010-08-06,16.73,39400,-0.4(-1.01 %),49800,1964740000,0,0,39500,39600,39400
2010-08-09,16.13,38000,-1.4(-3.55 %),56580,2153756000,0,0,39500,39500,37600
2010-08-10,15.33,36100,-1.9(-5.00 %),120820,4385253000,0,0,36600,36700,36100
2010-08-11,16.05,37800,1.7(4.71 %),97460,3573188000,0,0,36000,37800,36000
2010-08-12,15.28,36000,-1.8(-4.76 %),31010,1121975000,20000,792000000,36600,36600,36000
2010-08-13,15.28,36000,0(0.00 %),56320,1991700000,0,0,36000,36100,35000
2010-08-16,15.92,37500,1.5(4.17 %),68530,2539960000,0,0,37000,37700,36500
2010-08-17,15.28,36000,-1.5(-4.00 %),66960,2418547000,0,0,36100,37000,36000
2010-08-18,14.86,35000,-1(-2.78 %),25610,900755000,22000,831600000,35900,36000,34600
2010-08-19,14.86,35000,0(0.00 %),41610,1455501000,0,0,34100,35100,34100
2010-08-20,14.86,35000,0(0.00 %),83200,2881370000,0,0,35000,35000,34000
2010-08-23,14.6,34400,-0.6(-1.71 %),26310,908064000,0,0,35000,35000,34400
2010-08-24,14.44,34000,-0.4(-1.16 %),57180,1934997000,0,0,34900,34900,32700
2010-08-25,13.71,32300,-1.7(-5.00 %),43980,1437902000,0,0,33000,34000,32300
