Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-01-10,1.69,118000,-6(-4.84 %),63590,7631000000,100000,11800000000,121000,124000,118000
2008-01-11,1.72,120000,2(1.69 %),60040,7209000000,0,0,118000,123000,118000
2008-01-14,1.65,115000,-5(-4.17 %),28870,3366000000,0,0,118000,123000,115000
2008-01-15,1.58,110000,-5(-4.35 %),8710,966000000,0,0,112000,112000,110000
2008-01-16,1.65,115000,5(4.55 %),24170,2726000000,0,0,110000,115000,110000
2008-01-17,1.62,113000,-2(-1.74 %),27040,3067000000,0,0,115000,116000,111000
2008-01-18,1.65,115000,2(1.77 %),18510,2113000000,0,0,114000,115000,113000
2008-01-21,1.58,110000,-5(-4.35 %),27850,3091000000,0,0,115000,115000,110000
2008-01-22,1.51,105000,-5(-4.55 %),30590,3232000000,0,0,106000,112000,105000
2008-01-23,1.43,100000,-5(-4.76 %),23670,2373000000,0,0,101000,101000,100000
2008-01-24,1.37,95500,-4.5(-4.50 %),41820,4161000000,0,0,100000,102000,95500
2008-01-25,1.39,97000,1.5(1.57 %),23710,2301000000,0,0,97000,99000,96000
2008-01-28,1.45,101000,4(4.12 %),42340,4276000000,0,0,101000,101000,100000
2008-01-29,1.52,106000,5(4.95 %),1170,124000000,0,0,106000,106000,106000
2008-01-30,1.59,111000,5(4.72 %),260,29000000,0,0,111000,111000,111000
2008-01-31,1.66,116000,5(4.50 %),22480,2608000000,0,0,116000,116000,116000
2008-02-01,1.73,121000,5(4.31 %),15470,1872000000,0,0,121000,121000,121000
2008-02-12,1.82,127000,6(4.96 %),8490,1078000000,0,0,127000,127000,127000
2008-02-13,1.81,126000,-1(-0.79 %),146090,18676000000,0,0,131000,131000,121000
2008-02-14,1.89,132000,6(4.76 %),76170,10026000000,0,0,131000,132000,131000
2008-02-15,1.98,138000,6(4.55 %),81380,10901000000,0,0,130000,138000,130000
2008-02-18,1.89,132000,-6(-4.35 %),22300,2944000000,0,0,132000,132000,132000
2008-02-19,1.82,127000,-5(-3.79 %),72820,9218000000,0,0,126000,130000,126000
2008-02-20,1.73,121000,-6(-4.72 %),53480,6517000000,0,0,127000,127000,121000
2008-02-21,1.65,115000,-6(-4.96 %),30660,3526000000,0,0,115000,115000,115000
2008-02-22,1.58,110000,-5(-4.35 %),62780,6906000000,0,0,110000,110000,110000
2008-02-25,1.65,115000,5(4.55 %),48970,5619000000,0,0,114000,115000,114000
2008-02-26,1.58,110000,-5(-4.35 %),40020,4402000000,0,0,110000,110000,110000
2008-02-27,1.51,105000,-5(-4.55 %),63030,6661000000,0,0,105000,112000,105000
2008-02-28,1.48,103000,-2(-1.90 %),40500,4199000000,0,0,106000,106000,101000
2008-02-29,1.43,100000,-3(-2.91 %),40020,4046000000,0,0,103000,103000,100000
2008-03-03,1.36,95000,-5(-5.00 %),45940,4402300000,0,0,98000,98000,95000
2008-03-04,1.3,90500,-4.5(-4.74 %),7560,684180000,0,0,90500,90500,90500
2008-03-05,1.23,86000,-4.5(-4.97 %),8730,750780000,0,0,86000,86000,86000
2008-03-06,1.29,90000,4(4.65 %),12550,1129500000,0,0,90000,90000,90000
2008-03-07,1.35,94500,4.5(5.00 %),103810,9810045000,0,0,94500,94500,94500
2008-03-10,1.38,96000,1.5(1.59 %),79070,7771230000,0,0,99000,99000,95000
2008-03-11,1.31,91500,-4.5(-4.69 %),65280,6024795000,0,0,91500,97500,91500
2008-03-12,1.35,94000,2.5(2.73 %),34470,3233435000,0,0,94000,95000,91500
2008-03-13,1.36,95000,1(1.06 %),24120,2296020000,0,0,96000,96000,94000
2008-03-14,1.3,91000,-4(-4.21 %),65610,6040520000,0,0,92500,94000,91000
2008-03-17,1.24,86500,-4.5(-4.95 %),44800,3876900000,0,0,86500,87000,86500
2008-03-18,1.18,82500,-4(-4.62 %),16800,1386000000,0,0,82500,82500,82500
2008-03-19,1.13,78500,-4(-4.85 %),72570,5743300000,0,0,79000,82000,78500
2008-03-20,1.08,75000,-3.5(-4.46 %),111310,8428855000,0,0,76000,78000,75000
2008-03-21,1.04,72500,-2.5(-3.33 %),78880,5699470000,0,0,72000,73500,72000
2008-03-24,0.99,69000,-3.5(-4.83 %),93240,6433560000,0,0,69000,69000,69000
