Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2005-07-18,2.9,13000,0(0.00 %),0,0,0,0,13000,13000,13000
2005-07-20,2.79,12500,-0.5(-3.85 %),0,0,0,0,12500,13500,12500
2005-07-22,2.88,12900,-0.1(-0.77 %),0,0,0,0,12900,12900,12900
2005-07-25,2.88,12900,0(0.00 %),0,0,0,0,12900,12900,12900
2005-07-27,2.9,13000,0.1(0.78 %),0,0,0,0,13000,13000,13000
2005-07-29,2.9,13000,0(0.00 %),0,0,0,0,13000,13200,13000
2005-08-01,3.19,13900,1.3(10.00 %),0,0,0,0,13900,13900,12800
2005-08-03,2.95,13300,0.3(2.33 %),0,0,0,0,13300,13400,13300
2005-08-05,2.99,13400,0.4(3.08 %),0,0,0,0,13400,13600,12900
2005-08-08,3.02,13500,0.5(3.85 %),0,0,0,0,13500,13500,12900
2005-08-10,2.9,13000,0(0.00 %),0,0,0,0,13000,13300,13000
2005-08-12,2.9,13000,0(0.00 %),0,0,0,0,13000,13000,12900
2005-08-15,2.88,12900,-0.1(-0.77 %),0,0,0,0,12900,13500,12900
2005-08-17,2.99,13400,0(0.00 %),0,0,0,0,13400,13400,12900
2005-08-19,2.97,13300,0.1(0.76 %),0,0,0,0,13300,13500,12900
2005-08-22,2.86,12800,-0.4(-3.03 %),0,0,0,0,12800,13000,12800
2005-08-24,2.97,13300,0.5(3.91 %),0,0,0,0,13300,13300,11900
2005-08-26,2.93,13100,0(0.00 %),0,0,0,0,13100,13100,13000
2005-08-29,2.9,13000,-0.1(-0.76 %),0,0,0,0,13000,13000,12900
2005-08-31,2.88,12900,-0.1(-0.77 %),0,0,0,0,12900,13000,12900
2005-09-05,2.84,12700,-0.3(-2.31 %),0,0,0,0,12700,13000,12700
2005-09-07,2.88,12900,0.2(1.57 %),0,0,0,0,12900,13200,12800
2005-09-09,2.9,13000,0.2(1.56 %),0,0,0,0,13000,13000,13000
2005-09-12,3.19,13900,1.3(10.00 %),0,0,0,0,13900,13900,12900
2005-09-14,2.9,13300,0.1(0.78 %),0,0,0,0,13300,13300,13300
2005-09-16,2.9,13000,0(0.00 %),0,0,0,0,13000,13000,12100
2005-09-19,2.95,13200,1(8.20 %),0,0,0,0,13200,13200,12900
2005-09-21,2.95,13200,0(0.00 %),0,0,0,0,13200,13500,12700
2005-09-23,2.9,13000,0.3(2.36 %),0,0,0,0,13000,13000,12700
2005-09-26,2.9,13000,0.3(2.36 %),0,0,0,0,13000,13000,12800
2005-09-28,2.86,12800,-0.2(-1.54 %),0,0,0,0,12800,13200,12800
2005-09-30,2.88,12900,0(0.00 %),0,0,0,0,12900,12900,12800
2005-10-03,2.61,12000,-1.1(-8.59 %),0,0,0,0,12000,12900,12000
2005-10-05,2.86,12500,0.1(0.79 %),0,0,0,0,12500,12500,12500
2005-10-07,2.9,13000,0.2(1.56 %),0,0,0,0,13000,13000,12800
2005-10-10,2.9,13000,0.1(0.78 %),0,0,0,0,13000,13000,12800
2005-10-12,2.86,12800,0(0.00 %),0,0,0,0,12800,12900,12800
2005-10-14,2.86,12800,0(0.00 %),0,0,0,0,12800,12900,12800
2005-10-17,2.9,13000,0.2(1.56 %),0,0,0,0,13000,13000,12800
2005-10-19,2.88,12900,0.1(0.78 %),0,0,0,0,12900,13000,12800
2005-10-21,2.88,12900,0(0.00 %),0,0,0,0,12900,12900,12800
2005-10-24,2.88,12900,0(0.00 %),0,0,0,0,12900,12900,12800
2005-10-28,2.86,12800,-0.1(-0.78 %),0,0,0,0,12800,12800,12800
2005-10-31,2.88,12900,0.1(0.78 %),0,0,0,0,12900,13000,12800
2005-11-02,2.88,12900,0(0.00 %),2300,29670000,0,0,12900,12900,12900
2005-11-04,2.86,12800,-0.1(-0.78 %),1000,12800000,0,0,12800,12800,12800
2005-11-07,2.86,12800,0(0.00 %),1800,23040000,0,0,12800,12800,12800
2005-11-09,2.84,12700,-0.1(-0.78 %),7500,95250000,0,0,12700,12700,12700
2005-11-11,2.84,12700,0(0.00 %),0,0,0,0,12700,12700,12700
2005-11-14,2.84,12700,0(0.00 %),0,0,0,0,12700,12700,12700
2005-11-16,2.84,12700,0(0.00 %),0,0,0,0,12700,12700,12700
2005-11-18,2.79,12500,-0.2(-1.57 %),5000,62500000,0,0,12500,12500,12500
2005-11-21,2.79,12500,0(0.00 %),0,0,0,0,12500,12500,12500
