Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-12-27,5.27,23500,-0.5(-2.08 %),2500,59300000,0,0,24000,24000,23500
2010-12-28,5.03,22400,-1.1(-4.68 %),1070,23968000,0,0,22400,22400,22400
2010-12-29,4.78,21300,-1.1(-4.91 %),450,9585000,0,0,21300,21300,21300
2010-12-30,4.56,20300,-1(-4.69 %),190,3857000,0,0,20300,20300,20300
2010-12-31,4.33,19300,-1(-4.93 %),80,1544000,0,0,19300,19300,19300
2011-01-04,4.13,18400,-0.9(-4.66 %),170,3128000,0,0,18400,18400,18400
2011-01-05,3.93,17500,-0.9(-4.89 %),3860,67550000,0,0,17500,17500,17500
2011-01-06,3.75,16700,-0.8(-4.57 %),4690,78323000,0,0,16700,16700,16700
2011-01-07,3.82,17000,0.3(1.80 %),37770,602790000,0,0,15900,17000,15900
2011-01-10,3.64,16200,-0.8(-4.71 %),10250,167120000,0,0,16400,17800,16200
2011-01-11,3.46,15400,-0.8(-4.94 %),6540,100943000,0,0,17000,17000,15400
2011-01-12,3.61,16100,0.7(4.55 %),2660,41530000,0,0,16100,16100,14800
2011-01-13,3.43,15300,-0.8(-4.97 %),9980,153364000,0,0,16100,16100,15300
2011-01-14,3.59,16000,0.7(4.58 %),510,8022000,0,0,15700,16000,15700
2011-01-17,3.75,16700,0.7(4.38 %),640,9890000,0,0,15300,16700,15300
2011-01-18,3.73,16600,-0.1(-0.60 %),5200,82708000,0,0,15900,16600,15900
2011-01-19,3.55,15800,-0.8(-4.82 %),16400,259120000,0,0,15800,15800,15800
2011-01-20,3.43,15300,-0.5(-3.16 %),3150,47963000,0,0,16000,16000,15200
2011-01-21,3.28,14600,-0.7(-4.58 %),19260,282270000,0,0,14700,15800,14600
2011-01-24,3.14,14000,-0.6(-4.11 %),2090,29434000,0,0,15200,15200,14000
2011-01-25,3.25,14500,0.5(3.57 %),830,12025000,0,0,14500,14500,14400
2011-01-26,3.37,15000,0.5(3.45 %),600,9000000,0,0,15000,15000,15000
2011-01-27,3.34,14900,-0.1(-0.67 %),1550,23325000,0,0,15600,15600,14900
2011-01-28,3.37,15000,0.1(0.67 %),3790,57367000,0,0,14900,15600,14900
2011-02-08,3.37,15000,0(0.00 %),0,0,0,0,15000,15000,15000
