Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-10-10,16.04,94500,4.5(5.00 %),210,20000000,150000,14175000000,94500,94500,94500
2007-10-11,16.8,99000,4.5(4.76 %),548040,54254000000,0,0,99000,99000,98000
2007-10-12,17.31,102000,3(3.03 %),988430,101555000000,0,0,103000,103000,101000
2007-10-15,16.72,98500,-3.5(-3.43 %),289380,28352000000,20000,1940000000,97500,100000,97500
2007-10-16,16.29,96000,-2.5(-2.54 %),162830,15897000000,0,0,98500,98500,96000
2007-10-17,15.78,93000,-3(-3.12 %),191670,18068000000,0,0,96000,96000,93000
2007-10-18,15.44,91000,-2(-2.15 %),251450,23144000000,0,0,93000,93000,91000
2007-10-19,16.12,95000,4(4.40 %),346790,32323000000,33400,2889000000,92000,95000,91000
2007-10-22,16.21,95500,0.5(0.53 %),225620,21856000000,0,0,98000,98000,95000
2007-10-23,15.95,94000,-1.5(-1.57 %),304160,28623000000,0,0,95000,95000,93000
2007-10-24,16.12,95000,1(1.06 %),444460,42300000000,0,0,96000,96000,94000
2007-10-25,16.29,96000,1(1.05 %),321270,30599000000,0,0,95000,96000,94000
2007-10-26,16.04,94500,-1.5(-1.56 %),126060,11935000000,0,0,95000,95000,93500
2007-10-29,16.12,95000,0.5(0.53 %),240360,22780000000,0,0,94500,95000,94000
2007-10-30,15.7,92500,-2.5(-2.63 %),138500,12869000000,0,0,93000,94000,92500
2007-10-31,16.04,94500,2(2.16 %),255080,23946000000,0,0,93500,94500,93000
2007-11-01,16.12,95000,0.5(0.53 %),264210,25118000000,0,0,95000,96000,95000
2007-11-02,15.95,94000,-1(-1.05 %),126930,11957000000,0,0,94000,95000,94000
2007-11-05,15.87,93500,-0.5(-0.53 %),246250,23074000000,0,0,94000,94500,92000
2007-11-06,15.95,94000,0.5(0.53 %),264770,24905000000,0,0,94500,94500,93500
2007-11-07,16.38,96500,2.5(2.66 %),529460,50447000000,0,0,95000,96500,94000
2007-11-08,16.12,95000,-1.5(-1.55 %),106150,10103000000,0,0,95000,96000,95000
2007-11-09,16.29,96000,1(1.05 %),403180,38447000000,0,0,95000,96000,94500
2007-11-12,16.12,95000,-1(-1.04 %),100390,9552000000,0,0,96000,96000,94000
2007-11-13,15.36,90500,-4.5(-4.74 %),174080,15942000000,0,0,93000,94000,90500
2007-11-14,15.87,93500,3(3.31 %),70230,6489000000,0,0,91000,94000,91000
2007-11-15,15.7,92500,-1(-1.07 %),57330,5289000000,0,0,91500,93000,91500
2007-11-16,15.53,91500,-1(-1.08 %),64440,5896000000,0,0,91500,92000,91500
2007-11-19,15.53,91500,0(0.00 %),98050,8979000000,0,0,92000,92000,91000
2007-11-20,15.36,90500,-1(-1.09 %),63480,5754000000,0,0,90500,91000,90500
2007-11-21,15.1,89000,-1.5(-1.66 %),84100,7476000000,0,0,88000,89500,88000
2007-11-22,15.36,90500,1.5(1.69 %),153350,13850000000,0,0,89000,90500,89000
2007-11-23,15.61,92000,1.5(1.66 %),82300,7546000000,0,0,90500,92000,90500
2007-11-26,15.7,92500,0.5(0.54 %),47620,4416000000,95000,8788000000,92000,93500,92000
2007-11-27,15.44,91000,-1.5(-1.62 %),29950,2733000000,0,0,92000,92000,90500
2007-11-28,15.61,92000,1(1.10 %),51290,4773000000,0,0,94000,94000,91500
2007-11-29,15.53,91500,-0.5(-0.54 %),37920,3473000000,0,0,91500,92000,91500
2007-11-30,15.27,90000,-1.5(-1.64 %),76940,6957000000,0,0,91500,91500,89500
2007-12-03,15.61,92000,2(2.22 %),58600,5364000000,0,0,90000,92000,90000
2007-12-04,15.53,91500,-0.5(-0.54 %),63880,5863000000,0,0,92000,92000,91500
2007-12-05,15.27,90000,-1.5(-1.64 %),86330,7795000000,0,0,91000,91000,89500
2007-12-06,15.36,90500,0.5(0.56 %),39300,3562000000,0,0,90000,91500,90000
2007-12-07,15.61,92000,1.5(1.66 %),107630,9838000000,0,0,91000,92000,91000
2007-12-10,15.36,90500,-1.5(-1.63 %),40340,3645000000,0,0,91000,91000,90000
2007-12-11,15.1,89000,-1.5(-1.66 %),46560,4161000000,0,0,90000,90000,89000
2007-12-12,15.1,89000,0(0.00 %),60340,5386000000,0,0,89000,90000,88000
2007-12-13,14.76,87000,-2(-2.25 %),28540,2519000000,0,0,89500,89500,87000
2007-12-14,14.43,85000,-2(-2.30 %),24340,2085000000,0,0,86000,87000,85000
2007-12-17,14.17,83500,-1.5(-1.76 %),48730,4135000000,0,0,85000,86000,83500
2007-12-18,14.17,83500,0(0.00 %),51760,4315000000,0,0,83000,84500,83000
2007-12-19,14.76,87000,3.5(4.19 %),53190,4605000000,0,0,85000,87500,84500
2007-12-20,14.34,84500,-2.5(-2.87 %),63580,5395000000,0,0,84000,86000,83000
2007-12-21,14.26,84000,-0.5(-0.59 %),68110,5701000000,0,0,83000,84500,83000
2007-12-24,14.32,78100,0.25(0.43 %),35810,2125000000,0,0,78100,78100,78100
2007-12-25,13.71,56500,-2.5(-4.24 %),47420,2692000000,0,0,57500,57500,56500
2007-12-26,13.71,56500,0(0.00 %),31340,1752000000,0,0,55500,57000,55500
2007-12-27,13.84,57000,0.5(0.88 %),35610,2053000000,0,0,58000,58000,57000
2007-12-28,14.44,59500,2.5(4.39 %),43900,2542000000,0,0,57000,59500,56500
2008-01-02,13.96,57500,-2(-3.36 %),41240,2379000000,0,0,58000,58000,57000
2008-01-03,13.71,56500,-1(-1.74 %),34280,1931000000,0,0,57000,57000,56000
2008-01-04,13.71,56500,0(0.00 %),22950,1291000000,0,0,56000,56500,55500
2008-01-07,13.11,54000,-2.5(-4.42 %),26080,1415000000,0,0,55000,55500,54000
2008-01-08,12.74,52500,-1.5(-2.78 %),41530,2246000000,0,0,55000,55000,52500
2008-01-09,12.38,51000,-1.5(-2.86 %),27650,1437000000,0,0,52500,53000,51000
2008-01-10,11.77,48500,-2.5(-4.90 %),61890,3044000000,0,0,50000,50000,48500
2008-01-11,12.01,49500,1(2.06 %),52460,2613000000,0,0,50000,50000,49500
2008-01-14,11.43,47100,-2.4(-4.85 %),10240,483000000,0,0,47500,47500,47100
2008-01-15,10.87,44800,-2.3(-4.88 %),47340,2121000000,0,0,44800,44800,44800
2008-01-16,11.41,47000,2.2(4.91 %),100430,4685000000,0,0,46900,47000,46000
2008-01-17,11.04,45500,-1.5(-3.19 %),68420,3229000000,0,0,48100,48100,45000
2008-01-18,10.95,45100,-0.4(-0.88 %),54920,2483000000,0,0,44800,46000,44800
2008-01-21,10.56,43500,-1.6(-3.55 %),53350,2340000000,0,0,44500,44500,43100
2008-01-22,10.19,42000,-1.5(-3.45 %),41860,1754000000,0,0,41700,43000,41500
2008-01-23,9.68,39900,-2.1(-5.00 %),47290,1892000000,0,0,40100,40200,39900
2008-01-24,9.34,38500,-1.4(-3.51 %),100250,4006000000,0,0,40000,41700,38500
2008-01-25,9.54,39300,0.8(2.08 %),35800,1377000000,0,0,37300,40000,37300
2008-01-28,10.0,41200,1.9(4.83 %),123050,5064000000,0,0,41200,41200,40500
2008-01-29,10.49,43200,2(4.85 %),32540,1406000000,0,0,43200,43200,43200
2008-01-30,11.0,45300,2.1(4.86 %),44710,2025000000,0,0,45300,45300,45300
2008-01-31,11.38,46900,1.6(3.53 %),336770,15758000000,0,0,47500,47500,45000
2008-02-01,11.94,49200,2.3(4.90 %),143410,6993000000,0,0,48900,49200,48000
2008-02-12,11.53,47500,-1.7(-3.46 %),60830,2933000000,0,0,49100,49100,47500
2008-02-13,10.97,45200,-2.3(-4.84 %),64730,2968000000,0,0,47000,47000,45200
2008-02-14,11.14,45900,0.7(1.55 %),57370,2646000000,0,0,45500,47100,45500
2008-02-15,10.92,45000,-0.9(-1.96 %),123480,5562000000,0,0,45900,45900,45000
2008-02-18,10.56,43500,-1.5(-3.33 %),174060,7488000000,0,0,42900,43500,42800
2008-02-19,10.68,44000,0.5(1.15 %),98210,4308000000,0,0,43500,45000,43500
2008-02-20,10.15,41800,-2.2(-5.00 %),78610,3344000000,0,0,43500,43500,41800
2008-02-21,9.66,39800,-2(-4.78 %),24330,968000000,0,0,39800,39800,39800
2008-02-22,9.2,37900,-1.9(-4.77 %),103320,3916000000,0,0,37900,37900,37900
2008-02-25,9.64,39700,1.8(4.75 %),77200,3056000000,0,0,39200,39700,39000
2008-02-26,9.22,38000,-1.7(-4.28 %),52440,2055000000,0,0,40500,40500,37800
2008-02-27,9.34,38500,0.5(1.32 %),70760,2715000000,0,0,38000,39900,38000
2008-02-28,9.22,38000,-0.5(-1.30 %),51860,1974000000,0,0,38000,38500,38000
2008-02-29,8.84,36400,-1.6(-4.21 %),45660,1679000000,0,0,37000,37500,36400
2008-03-03,8.4,34600,-1.8(-4.95 %),29600,1032194000,0,0,35500,35500,34600
2008-03-04,7.99,32900,-1.7(-4.91 %),12350,406315000,0,0,32900,32900,32900
2008-03-05,7.6,31300,-1.6(-4.86 %),14540,455102000,0,0,31300,31300,31300
2008-03-06,7.96,32800,1.5(4.79 %),97260,3190128000,0,0,32800,32800,32800
2008-03-07,8.35,34400,1.6(4.88 %),25510,877544000,0,0,34400,34400,34400
2008-03-10,8.25,34000,-0.4(-1.16 %),173110,6206642000,0,0,36100,36100,34000
2008-03-11,7.84,32300,-1.7(-5.00 %),93810,3038665000,0,0,32300,33700,32300
2008-03-12,7.84,32300,0(0.00 %),52230,1726211000,0,0,33000,33900,32300
2008-03-13,7.99,32900,0.6(1.86 %),75950,2485282000,0,0,32300,33000,32300
2008-03-14,7.77,32000,-0.9(-2.74 %),48520,1556485000,0,0,32900,32900,31500
2008-03-17,7.38,30400,-1.6(-5.00 %),64240,1964171000,0,0,30600,31000,30400
2008-03-18,7.01,28900,-1.5(-4.93 %),67600,1953640000,0,0,28900,28900,28900
2008-03-19,6.67,27500,-1.4(-4.84 %),76610,2174656000,0,0,28500,30000,27500
2008-03-20,6.55,27000,-0.5(-1.82 %),72120,1967120000,0,0,27000,28000,27000
2008-03-21,6.24,25700,-1.3(-4.81 %),121340,3122737000,0,0,25800,26000,25700
2008-03-24,5.95,24500,-1.2(-4.67 %),156090,3824205000,0,0,24500,24500,24500
2008-03-25,5.65,23000,-1.2(-4.96 %),59660,1372180000,0,0,23000,23000,23000
2008-03-26,5.87,23900,0.9(3.91 %),110090,2494164000,0,0,21900,24100,21900
2008-03-27,5.92,24100,0.2(0.84 %),79610,1918601000,50000,1205000000,24100,24100,24100
2008-03-28,5.97,24300,0.2(0.83 %),25720,624996000,0,0,24300,24300,24300
2008-03-31,6.02,24500,0.2(0.82 %),35840,878080000,0,0,24500,24500,24500
2008-04-01,6.07,24700,0.2(0.82 %),200,4940000,0,0,24700,24700,24700
2008-04-02,6.12,24900,0.2(0.81 %),670,16673000,0,0,24700,24900,24700
2008-04-03,6.17,25100,0.2(0.80 %),120310,3019781000,0,0,25100,25100,25100
2008-04-04,6.22,25300,0.2(0.80 %),15290,386837000,0,0,25300,25300,25300
2008-04-07,6.34,25800,0.5(1.98 %),18770,484266000,0,0,25800,25800,25800
2008-04-08,6.46,26300,0.5(1.94 %),457810,12003408000,0,0,26300,26300,25300
2008-04-09,6.49,26400,0.1(0.38 %),190370,4973797000,0,0,26300,26600,25800
2008-04-10,6.36,25900,-0.5(-1.89 %),44170,1144003000,0,0,25900,25900,25900
2008-04-11,6.24,25400,-0.5(-1.93 %),21660,550164000,0,0,25400,25400,25400
2008-04-16,6.12,24900,-0.5(-1.97 %),1550,38595000,0,0,24900,24900,24900
2008-04-17,6.22,25300,0.4(1.61 %),272060,6709925000,0,0,24500,25300,24500
2008-04-18,6.27,25500,0.2(0.79 %),144370,3636370000,0,0,25300,25500,24800
2008-04-21,6.22,25300,-0.2(-0.78 %),142980,3601032000,552500,13812500000,25000,25500,25000
2008-04-22,6.12,24900,-0.4(-1.58 %),94260,2348669000,0,0,24800,25100,24800
2008-04-23,6.02,24500,-0.4(-1.61 %),164570,4032917000,125480,3090808000,24500,24600,24500
2008-04-24,6.12,24900,0.4(1.63 %),80200,1986479000,0,0,24500,24900,24500
2008-04-25,6.12,24900,0(0.00 %),284440,7049632000,190000,4788000000,24500,25000,24500
2008-04-28,6.14,25000,0.1(0.40 %),178860,4443810000,0,0,24600,25000,24600
2008-04-29,6.12,24900,-0.1(-0.40 %),113320,2861146000,0,0,25400,25500,24800
2008-05-05,6.02,24500,-0.4(-1.61 %),144660,3564691000,0,0,24900,24900,24500
2008-05-06,6.12,24900,0.4(1.63 %),345250,8399172000,0,0,24100,24900,24100
2008-05-07,6.12,24900,0(0.00 %),232380,5715864000,0,0,24500,24900,24500
2008-05-08,6.12,24900,0(0.00 %),153440,3794636000,0,0,24500,24900,24500
2008-05-09,6.02,24500,-0.4(-1.61 %),31140,762930000,27000,683100000,24500,24500,24500
2008-05-12,5.92,24100,-0.4(-1.63 %),20360,490676000,20000,498000000,24100,24100,24100
2008-05-13,5.82,23700,-0.4(-1.66 %),1910,45267000,0,0,23700,23700,23700
2008-05-14,5.73,23300,-0.4(-1.69 %),1850,43105000,0,0,23300,23300,23300
2008-05-15,5.63,22900,-0.4(-1.72 %),1850,42365000,0,0,22900,22900,22900
2008-05-16,5.53,22500,-0.4(-1.75 %),127200,2865505000,0,0,22500,23300,22500
2008-05-19,5.43,22100,-0.4(-1.78 %),109580,2421718000,0,0,22100,22100,22100
2008-05-20,5.33,21500,-0.4(-1.83 %),77300,1661950000,0,0,21500,21500,21500
2008-05-21,5.23,21100,-0.4(-1.86 %),61840,1304824000,0,0,21100,21100,21100
2008-05-22,5.13,20700,-0.4(-1.90 %),210,4347000,45300,937710000,20700,20700,20700
2008-05-23,5.03,20300,-0.4(-1.93 %),8860,180722000,0,0,20700,20700,20300
2008-05-26,4.93,19900,-0.4(-1.97 %),2710,53929000,0,0,19900,19900,19900
2008-05-27,4.93,19900,0(0.00 %),0,0,0,0,19900,19900,19900
2008-05-28,4.93,19900,0(0.00 %),0,0,0,0,19900,19900,19900
2008-05-29,4.93,19900,0(0.00 %),0,0,0,0,19900,19900,19900
2008-05-30,4.86,19600,-0.3(-1.51 %),46070,902972000,0,0,19600,19600,19600
2008-06-02,4.79,19300,-0.3(-1.53 %),2720,52496000,0,0,19300,19300,19300
2008-06-03,4.71,19000,-0.3(-1.55 %),12650,240350000,0,0,19000,19000,19000
2008-06-04,4.64,18700,-0.3(-1.58 %),12850,240295000,0,0,18700,18700,18700
2008-06-05,4.56,18400,-0.3(-1.60 %),750,13800000,20000,368000000,18400,18400,18400
2008-06-06,4.49,18100,-0.3(-1.63 %),18190,329239000,0,0,18100,18100,18100
2008-06-09,4.41,17800,-0.3(-1.66 %),1420,25276000,0,0,17800,17800,17800
