Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2024-03-14,86.93,89600,5.8(6.92 %),2672700,235208000000,0,0,86800,89600,84100
2024-03-15,91.3,94100,4.5(5.02 %),1745300,160919000000,0,0,90500,95000,89500
2024-03-18,91.2,94000,-0.1(-0.11 %),2828000,258433000000,0,0,94900,97900,87600
2024-03-19,87.12,89800,-4.2(-4.47 %),1317600,119869000000,0,0,94000,94000,89500
2024-03-20,87.32,90000,0.2(0.22 %),2367300,207809000000,0,0,88500,90100,86400
2024-03-21,87.71,90400,0.4(0.44 %),773900,69684000000,0,0,91000,91000,88900
2024-03-22,85.67,88300,-2.1(-2.32 %),1159100,103141000000,30000,2880000000,90500,90500,88000
2024-03-25,80.82,83300,-5(-5.66 %),1986400,170352000000,0,0,88200,88200,82800
2024-03-26,84.8,87400,4.1(4.92 %),1069400,91449000000,0,0,83300,87400,83300
2024-03-27,86.74,89400,2(2.29 %),1061700,94219000000,0,0,87900,90600,86900
2024-03-28,86.06,88700,-0.7(-0.78 %),1045300,92621000000,0,0,89400,90200,87800
2024-03-29,85.28,87900,-0.8(-0.90 %),1313700,114666000000,0,0,88300,88500,86400
2024-04-01,89.26,92000,4.1(4.66 %),2072200,186889000000,0,0,87800,92000,86800
2024-04-02,86.83,89500,-2.5(-2.72 %),1377700,124257000000,0,0,91000,91500,89400
2024-04-03,85.86,88500,-1(-1.12 %),1751600,158105000000,0,0,89500,92000,88500
2024-04-04,82.56,85100,-3.4(-3.84 %),3429600,293335000000,0,0,88500,89200,83900
2024-04-05,76.94,79300,-5.8(-6.82 %),1938800,160487000000,0,0,84000,85100,79300
2024-04-08,71.6,73800,-5.5(-6.94 %),3129900,237833000000,0,0,78900,79300,73800
2024-04-09,75.09,77400,3.6(4.88 %),2460700,183532000000,0,0,73100,77500,71000
2024-04-10,73.74,76000,-1.4(-1.81 %),750500,57999000000,0,0,77800,79200,76000
2024-04-11,75.19,77500,1.5(1.97 %),1253000,94866000000,0,0,74400,77500,74000
2024-04-12,74.71,77000,-0.5(-0.65 %),911200,70154000000,0,0,78000,78300,76300
2024-04-15,69.56,71700,-5.3(-6.88 %),2129300,156774000000,0,0,76500,76500,71700
2024-04-16,70.34,72500,0.8(1.12 %),2305900,159857000000,0,0,71200,72500,67300
2024-04-17,66.17,68200,-4.3(-5.93 %),1934700,133915000000,0,0,71800,72000,68200
2024-04-19,67.24,69300,1.1(1.61 %),1835500,125199000000,0,0,65000,70400,65000
2024-04-22,68.79,70900,1.6(2.31 %),1198100,84631000000,0,0,71000,72000,69500
2024-04-23,67.04,69100,-1.8(-2.54 %),977000,68045000000,0,0,70500,70800,69000
2024-04-24,71.7,73900,4.8(6.95 %),1730600,126290000000,0,0,70500,73900,70500
2024-04-25,73.15,75400,1.5(2.03 %),1792500,136230000000,0,0,75400,77900,74500
2024-04-26,74.32,76600,1.2(1.59 %),1535000,116703000000,0,0,74900,77300,74000
2024-05-02,74.71,77000,0.4(0.52 %),1439300,109255000000,0,0,77000,77100,74800
2024-05-03,76.45,78800,1.8(2.34 %),2432300,191454000000,0,0,77600,81000,76800
2024-05-06,77.52,79900,1.1(1.40 %),1316300,104560000000,0,0,80300,80600,78500
2024-05-07,77.71,80100,0.2(0.25 %),1300000,104218000000,0,0,79500,81500,79300
2024-05-08,77.52,79900,-0.2(-0.25 %),1161200,92272000000,20000,1638000000,79200,80800,78600
2024-05-09,80.04,82500,2.6(3.25 %),2308800,189344000000,0,0,79900,83400,79600
2024-05-10,79.75,82200,-0.3(-0.36 %),1011100,83175000000,0,0,82600,83800,81000
2024-05-13,76.65,79000,-3.2(-3.89 %),1705200,136045000000,25700,1966050000,82200,82200,76500
2024-05-14,76.65,79000,0(0.00 %),1439100,112766000000,0,0,78900,79700,77600
2024-05-15,79.65,82100,3.1(3.92 %),1735900,141283000000,0,0,79100,83400,79000
2024-05-16,79.27,81700,-0.4(-0.49 %),1080200,88806000000,0,0,82900,83000,81100
2024-05-17,82.37,84900,3.2(3.92 %),2254200,189283000000,0,0,82000,85700,81100
2024-05-20,81.21,83700,-1.2(-1.41 %),1541000,130054000000,0,0,86000,86000,83600
2024-05-21,80.14,82600,-1.1(-1.31 %),1492100,122828000000,0,0,83600,83600,81700
2024-05-22,78.59,81000,-1.6(-1.94 %),1753400,143447000000,0,0,82700,83600,81000
2024-05-23,78.68,81100,0.1(0.12 %),1380400,111053000000,0,0,81100,81700,79400
2024-05-24,75.68,78000,-3.1(-3.82 %),2148600,170601000000,0,0,80500,82200,77000
2024-05-27,75.68,78000,0(0.00 %),1104400,85279000000,0,0,77900,78400,76000
2024-05-28,77.03,79400,1.4(1.79 %),752200,59382000000,0,0,79300,79400,78400
2024-05-29,76.16,78500,-0.9(-1.13 %),686600,54520000000,0,0,79400,80200,78000
2024-05-30,76.16,78500,0(0.00 %),1060700,82020000000,0,0,77100,78500,76400
2024-05-31,75.68,78000,-0.5(-0.64 %),751800,59212000000,0,0,78600,79500,78000
2024-06-03,77.33,79700,1.7(2.18 %),1049300,83443000000,0,0,79200,80700,78500
2024-06-04,79.56,82000,2.3(2.89 %),1961100,159981000000,0,0,80000,82600,80000
2024-06-05,78.2,80600,-1.4(-1.71 %),1232900,101062000000,0,0,83400,83500,80600
2024-06-06,76.84,79200,-1.4(-1.74 %),1204500,96269000000,0,0,80600,81400,78800
2024-06-07,76.94,79300,0.1(0.13 %),801000,63406000000,0,0,79700,79700,78800
2024-06-10,76.16,78500,-0.8(-1.01 %),1067400,84178000000,0,0,79400,79800,78400
2024-06-11,75.48,77800,-0.7(-0.89 %),863000,67293000000,0,0,78500,78800,77400
2024-06-12,77.33,79700,1.9(2.44 %),1001500,79283000000,0,0,77500,80300,77500
2024-06-13,80.14,82600,2.9(3.64 %),2561900,210219000000,0,0,80000,83000,79900
2024-06-14,84.21,86800,4.2(5.08 %),5010300,434779000000,0,0,83400,88300,82900
2024-06-17,84.02,86600,-0.2(-0.23 %),2160000,190786000000,0,0,87400,90600,86600
2024-06-18,84.7,87300,0.7(0.81 %),2527800,224709000000,0,0,88000,90600,86800
2024-06-19,90.62,93400,6.1(6.99 %),3653700,330538000000,0,0,88000,93400,87500
2024-06-20,93.14,96000,2.6(2.78 %),1781500,169014000000,0,0,96000,96800,93500
2024-06-21,92.75,95600,-0.4(-0.42 %),1604700,153322000000,0,0,96000,98500,94300
2024-06-24,86.35,89000,-6.6(-6.90 %),4244800,384797000000,0,0,95600,96400,89000
2024-06-25,83.34,85900,-3.1(-3.48 %),2028400,174419000000,0,0,88500,88500,84200
2024-06-26,84.41,87000,1.1(1.28 %),875000,76149000000,0,0,86000,88300,85800
2024-06-27,83.05,85600,-1.4(-1.61 %),878300,75812000000,0,0,87000,87900,85600
2024-06-28,80.53,83000,-2.6(-3.04 %),1352300,114762000000,0,0,85700,87500,80000
2024-07-01,81.21,83700,0.7(0.84 %),1306300,107049000000,0,0,82900,84000,80200
2024-07-02,81.59,84100,0.4(0.48 %),566500,47701000000,0,0,83800,85500,83700
2024-07-03,81.59,84100,0(0.00 %),695400,58698000000,0,0,84800,85500,83900
2024-07-04,84.41,87000,2.9(3.45 %),971100,83635000000,0,0,84500,87000,84300
2024-07-05,85.18,87800,0.8(0.92 %),1047200,91976000000,0,0,87900,89200,86800
2024-07-08,83.73,86300,-1.5(-1.71 %),891400,77193000000,0,0,88000,88000,86100
2024-07-09,84.21,86800,0.5(0.58 %),614100,53121000000,0,0,86100,87500,86000
2024-07-10,84.41,87000,0.2(0.23 %),833500,72967000000,0,0,86700,89200,86600
2024-07-11,86.83,89500,2.5(2.87 %),1356700,120292000000,30000,2634900000,87000,89900,87000
2024-07-12,85.28,87900,-1.6(-1.79 %),782700,69092000000,0,0,89500,89500,87300
2024-07-15,82.66,85200,-2.7(-3.07 %),1194400,102940000000,0,0,88000,88400,84800
2024-07-16,80.62,83100,-2.1(-2.46 %),1699800,143475000000,0,0,85400,86000,82900
2024-07-17,77.62,80000,-3.1(-3.73 %),2033300,164744000000,0,0,83200,83600,78000
2024-07-18,78.59,81000,1(1.25 %),1306200,103506000000,0,0,81400,81400,78000
2024-07-19,76.65,79000,-2(-2.47 %),786700,62639000000,0,0,81600,81600,78900
2024-07-22,76.16,78500,-0.5(-0.63 %),1063100,82410000000,0,0,78800,79400,76000
2024-07-23,70.92,73100,-5.4(-6.88 %),1302400,98705000000,0,0,79100,79300,73100
2024-07-24,74.9,77200,4.1(5.61 %),1137700,84415000000,0,0,71500,77300,70500
2024-07-25,73.74,76000,-1.2(-1.55 %),380000,29012000000,0,0,76500,77400,74000
2024-07-26,75.97,78300,2.3(3.03 %),584300,45178000000,0,0,76500,78700,76200
2024-07-29,75.97,78300,0(0.00 %),384400,30210000000,0,0,79400,79400,77500
2024-07-30,74.71,77000,-1.3(-1.66 %),573400,44951000000,0,0,78600,79400,77000
2024-07-31,72.28,74500,-2.5(-3.25 %),700800,53122000000,0,0,77000,77000,74400
2024-08-01,67.91,70000,-4.5(-6.04 %),1597400,114903000000,0,0,75000,75000,70000
2024-08-02,70.73,72900,2.9(4.14 %),1194800,84610000000,0,0,68500,73500,68500
2024-08-05,67.43,69500,-3.4(-4.66 %),1011700,71394000000,0,0,71300,72800,68000
2024-08-06,69.56,71700,2.2(3.17 %),652000,46153000000,0,0,71400,72100,69300
2024-08-07,69.37,71500,-0.2(-0.28 %),457300,32888000000,0,0,72000,73000,71000
2024-08-08,68.4,70500,-1(-1.40 %),671500,48098000000,0,0,71500,72900,70100
2024-08-09,71.7,73900,3.4(4.82 %),696100,50740000000,0,0,70900,73900,70900
2024-08-12,71.99,74200,0.3(0.41 %),433400,32046000000,0,0,74200,74400,73500
2024-08-13,71.99,74200,0(0.00 %),592900,44123000000,0,0,74300,75800,73600
2024-08-14,71.41,73600,-0.6(-0.81 %),315100,23306000000,0,0,75400,75400,73500
2024-08-15,69.47,71600,-2(-2.72 %),469600,33934000000,0,0,73600,73600,71500
2024-08-16,73.25,75500,3.9(5.45 %),898600,66979000000,0,0,72300,76200,71800
2024-08-19,75.19,77500,2(2.65 %),1045000,81377000000,0,0,76000,80000,75800
2024-08-20,74.9,77200,-0.3(-0.39 %),432900,33518000000,0,0,77500,78000,77000
2024-08-21,74.8,77100,-0.1(-0.13 %),943200,73139000000,0,0,77500,79200,76000
2024-08-22,74.32,76600,-0.5(-0.65 %),564700,43159000000,0,0,77100,77300,75800
2024-08-23,73.74,76000,-0.6(-0.78 %),443500,33754000000,20000,1586000000,76600,76800,75600
2024-08-26,73.74,76000,0(0.00 %),374600,28618000000,0,0,76300,77000,75900
2024-08-27,73.25,75500,-0.5(-0.66 %),398100,30144000000,0,0,76000,76300,75200
2024-08-28,73.93,76200,0.7(0.93 %),547600,41968000000,0,0,75700,77600,75700
2024-08-29,73.83,76100,-0.1(-0.13 %),183500,13958000000,0,0,77000,77000,75800
2024-08-30,73.74,76000,-0.1(-0.13 %),343700,26125000000,0,0,76200,76500,75800
2024-09-04,72.77,75000,-1(-1.32 %),309600,23179000000,0,0,75600,75600,74000
2024-09-05,72.18,74400,-0.6(-0.80 %),559400,42336000000,0,0,75000,76800,74400
2024-09-06,72.96,75200,0.8(1.08 %),273400,20364000000,0,0,74500,75200,74000
2024-09-09,71.99,74200,-1(-1.33 %),339900,25321000000,0,0,75300,75300,74200
2024-09-10,70.73,72900,-1.3(-1.75 %),729300,53657000000,0,0,74800,74800,72900
2024-09-11,71.31,73500,0.6(0.82 %),688300,50382000000,0,0,72500,74000,72500
2024-09-12,71.41,73600,0.1(0.14 %),493500,36375000000,0,0,74100,74200,73500
2024-09-13,71.41,73600,0(0.00 %),267400,19713000000,0,0,73600,74300,73400
2024-09-16,70.73,72900,-0.7(-0.95 %),219200,16090000000,0,0,73800,74100,72900
2024-09-17,72.09,74300,1.4(1.92 %),276900,20340000000,0,0,72900,74500,72900
2024-09-18,76.65,79000,4.7(6.33 %),1923300,149531000000,0,0,74900,79000,74500
2024-09-19,78.59,81000,2(2.53 %),1380900,110945000000,0,0,79500,81400,79000
2024-09-20,77.03,79400,-1.6(-1.98 %),1207100,96493000000,0,0,81900,81900,79200
2024-09-23,77.13,79500,0.1(0.13 %),1492300,118890000000,0,0,79200,81000,79200
2024-09-24,77.62,80000,0.5(0.63 %),2197300,176064000000,0,0,80400,80700,79600
2024-09-25,76.63,77500,-1(-1.27 %),918900,71726000000,0,0,78800,79400,77300
2024-09-26,76.73,77600,0.1(0.13 %),560400,43726000000,0,0,78300,78800,77400
2024-09-27,77.92,78800,1.2(1.55 %),1106300,86782000000,0,0,78000,79500,77400
2024-09-30,77.72,78600,-0.2(-0.25 %),596100,47031000000,0,0,79000,79700,78300
2024-10-01,77.82,78700,0.1(0.13 %),757300,59666000000,0,0,78700,79400,78400
2024-10-02,76.53,77400,-1.3(-1.65 %),729600,56679000000,0,0,78600,78600,77000
2024-10-03,74.95,75800,-1.6(-2.07 %),939700,71822000000,0,0,77400,78000,75100
2024-10-04,75.25,76100,0.3(0.40 %),527500,40322000000,0,0,75000,77800,74900
2024-10-07,75.54,76400,0.3(0.39 %),511100,39045000000,0,0,77300,77300,76000
2024-10-08,75.64,76500,0.1(0.13 %),288300,22052000000,0,0,76400,76900,76000
2024-10-09,80.88,81800,5.3(6.93 %),2924500,235937000000,0,0,76500,81800,76500
2024-10-10,81.08,82000,0.2(0.24 %),798800,65749000000,0,0,83300,83600,81600
2024-10-11,84.74,85700,3.7(4.51 %),2143500,180624000000,0,0,82100,86400,81500
2024-10-14,84.05,85000,-0.7(-0.82 %),968700,82153000000,0,0,86000,86000,84000
2024-10-15,82.56,83500,-1.5(-1.76 %),851500,71459000000,0,0,85000,85400,82600
2024-10-16,85.53,86500,3(3.59 %),1428000,121727000000,0,0,82900,86600,82800
2024-10-17,84.54,85500,-1(-1.16 %),705800,60479000000,0,0,87000,87000,85000
2024-10-18,85.63,86600,1.1(1.29 %),1136100,98704000000,0,0,85600,88000,85200
2024-10-21,85.04,86000,-0.6(-0.69 %),634100,54819000000,0,0,85800,87700,85600
2024-10-22,84.94,85900,-0.1(-0.12 %),1219500,104055000000,0,0,85800,86500,84300
2024-10-23,85.83,86800,0.9(1.05 %),739900,63214000000,0,0,84900,86900,84400
2024-10-24,85.83,86800,0(0.00 %),755500,65688000000,0,0,85500,87700,85500
2024-10-25,89.49,90500,3.7(4.26 %),2220500,197811000000,0,0,87000,90500,86900
2024-10-28,88.89,89900,-0.6(-0.66 %),616600,55706000000,0,0,90800,91700,89200
2024-10-29,88.7,89700,-0.2(-0.22 %),914500,82594000000,0,0,89900,91700,89700
2024-10-30,89.49,90500,0.8(0.89 %),865300,77216000000,0,0,89900,90800,88000
2024-10-31,88.7,89700,-0.8(-0.88 %),492000,44070000000,0,0,90600,90600,89000
2024-11-01,87.61,88600,-1.1(-1.23 %),689100,60904000000,0,0,89400,89400,87500
2024-11-04,90.77,91800,3.2(3.61 %),1160000,105018000000,0,0,87800,92500,87800
2024-11-05,94.83,95900,4.1(4.47 %),2182200,205192000000,113400,9848790000,91300,96000,91100
2024-11-06,94.43,95500,-0.4(-0.42 %),1476500,141505000000,0,0,95900,96800,95100
2024-11-07,100.96,102100,6.6(6.91 %),2526200,255430000000,0,0,95300,102100,95300
2024-11-08,107.48,108700,6.6(6.46 %),1891700,200643000000,0,0,103500,109200,102100
2024-11-11,104.81,106000,-2.7(-2.48 %),1452200,157217000000,24000,2431200000,109100,112000,106000
2024-11-12,112.13,113400,7.4(6.98 %),1771900,195995000000,170000,18020000000,106000,113400,105700
2024-11-13,112.62,113900,0.5(0.44 %),1298800,148363000000,20000,2240000000,110600,119000,110600
2024-11-14,113.22,114500,0.6(0.53 %),788300,90555000000,0,0,114100,116800,113000
2024-11-15,121.13,122500,8(6.99 %),2444600,287164000000,0,0,115000,122500,110300
2024-11-18,121.62,123000,0.5(0.41 %),686400,84485000000,0,0,124800,125900,119200
2024-11-19,117.67,119000,-4(-3.25 %),881100,108516000000,0,0,124900,126000,119000
2024-11-20,111.83,113100,-5.9(-4.96 %),3053400,344593000000,0,0,117000,118800,110700
2024-11-21,119.64,121000,7.9(6.98 %),1273700,149565000000,0,0,112100,121000,111900
2024-11-22,122.61,124000,3(2.48 %),1073000,134241000000,20000,2336000000,123900,128900,122300
2024-11-25,126.57,128000,4(3.23 %),635300,80084000000,0,0,124900,128200,123100
2024-11-26,121.42,122800,-5.2(-4.06 %),1451300,181184000000,0,0,128000,128500,122500
2024-11-27,123.6,125000,2.2(1.79 %),661800,82300000000,0,0,122600,127200,121100
2024-11-28,127.36,128800,3.8(3.04 %),934200,120536000000,20000,2464000000,127400,131200,125600
2024-11-29,130.32,131800,3(2.33 %),983700,129476000000,0,0,129000,133000,129000
2024-12-02,132.89,134400,2.6(1.97 %),538100,72083000000,0,0,134100,135200,132100
2024-12-03,140.41,142000,7.6(5.65 %),969700,136331000000,0,0,134800,143400,134400
2024-12-04,149.21,150900,8.9(6.27 %),1055600,153551000000,0,0,142500,151000,140100
2024-12-05,138.83,140400,-10.5(-6.96 %),2145100,310579000000,0,0,153500,154000,140400
2024-12-06,140.41,142000,1.6(1.14 %),909800,129275000000,0,0,142000,145500,140100
2024-12-09,145.65,147300,5.3(3.73 %),873400,128326000000,0,0,145000,148500,144000
2024-12-10,141.89,143500,-3.8(-2.58 %),1003000,143483000000,0,0,147000,148000,141000
2024-12-11,140.41,142000,-1.5(-1.05 %),1301300,184950000000,0,0,143500,146800,138100
2024-12-12,134.48,136000,-6(-4.23 %),1494200,207352000000,0,0,141000,143100,136000
2024-12-13,138.23,139800,3.8(2.79 %),869300,120098000000,0,0,136000,140200,136000
2024-12-16,136.45,138000,-1.8(-1.29 %),565600,78062000000,0,0,140300,141100,137100
2024-12-17,139.92,141500,3.5(2.54 %),1033300,146768000000,200000,27640000000,138200,143900,138200
2024-12-18,139.03,140600,-0.9(-0.64 %),386400,54188000000,0,0,141000,141600,139300
2024-12-19,138.23,139800,-0.8(-0.57 %),622100,87416000000,0,0,138900,143200,137400
2024-12-20,140.41,142000,2.2(1.57 %),1225400,174831000000,0,0,140200,144500,140000
2024-12-23,138.43,140000,-2(-1.41 %),1113600,156115000000,0,0,144000,144000,138600
2024-12-24,139.62,141200,1.2(0.86 %),544700,76389000000,0,0,139900,141900,138500
2024-12-25,138.43,140000,-1.2(-0.85 %),839200,118902000000,0,0,143000,144600,139800
2024-12-26,136.45,138000,-2(-1.43 %),802100,111353000000,0,0,140600,140600,138000
2024-12-27,131.02,132500,-5.5(-3.99 %),2002800,269174000000,0,0,138000,138100,132000
2024-12-30,134.48,136000,3.5(2.64 %),971800,130579000000,0,0,130000,137100,130000
2024-12-31,135.37,136900,0.9(0.66 %),850300,117570000000,210000,27300000000,136900,140000,135300
2025-01-02,142.39,144000,7.1(5.19 %),1815900,257333000000,0,0,138900,145000,138500
2025-01-03,142.58,144200,0.2(0.14 %),1030300,149824000000,0,0,145100,146800,144100
2025-01-06,152.47,154200,10(6.93 %),2282800,346420000000,538900,72320380000,145500,154200,144900
2025-01-07,155.24,157000,2.8(1.82 %),815400,126255000000,25000,3702500000,158000,158000,153000
2025-01-08,146.05,147700,-9.3(-5.92 %),1726300,257741000000,0,0,156900,157000,146400
2025-01-09,147.43,149100,1.4(0.95 %),385500,57482000000,130000,19500000000,148000,150500,147800
2025-01-10,145.35,147000,-2.1(-1.41 %),797900,118349000000,0,0,146600,153000,145300
2025-01-13,147.83,149500,2.5(1.70 %),803600,118894000000,210000,31260000000,146500,150500,144600
2025-01-14,147.83,149500,0(0.00 %),482200,72686000000,150000,22500000000,148600,152900,148600
2025-01-15,147.53,149200,-0.3(-0.20 %),490400,73205000000,100000,14500000000,149200,150200,148200
2025-01-16,157.81,159600,10.4(6.97 %),1289600,201022000000,200000,30000000000,150000,159600,148500
2025-01-17,160.48,162300,2.7(1.69 %),521400,85067000000,140000,22400000000,159800,165000,159000
2025-01-20,160.58,162400,0.1(0.06 %),361600,58961000000,0,0,165000,165000,161500
2025-01-21,163.45,165300,2.9(1.79 %),483200,79424000000,330000,54200000000,163700,166200,162000
2025-01-22,168.1,170000,4.7(2.84 %),669100,113852000000,0,0,166000,174700,164300
2025-01-23,165.62,167500,-2.5(-1.47 %),562100,95052000000,0,0,173000,173000,166200
2025-01-24,168.1,170000,2.5(1.49 %),305100,51772000000,0,0,169900,171000,168500
2025-02-04,161.17,163000,1.2(0.74 %),575600,93728000000,20000,3402400000,162600,164300,161600
2025-02-05,165.23,167100,4.1(2.52 %),619400,102288000000,0,0,163500,169400,163500
