Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-06-27,170.13,321000,21(7.00 %),16860,5412000000,7840000,2352000000000,321000,321000,321000
2018-06-28,181.79,343000,22(6.85 %),76700,26337000000,110000,33000000000,342000,343400,342000
2018-06-29,169.07,319000,-24(-7.00 %),1800,577000000,0,0,321000,321000,319000
2018-07-02,157.25,296700,-22.3(-6.99 %),10610,3148000000,0,0,296700,296700,296700
2018-07-03,146.28,276000,-20.7(-6.98 %),10050,2774000000,0,0,296700,296700,276000
2018-07-04,136.05,256700,-19.3(-6.99 %),10000,2567000000,0,0,256700,256700,256700
2018-07-05,127.73,241000,-15.7(-6.12 %),123420,29740000000,0,0,238800,241000,238800
2018-07-06,119.25,225000,-16(-6.64 %),16270,3674000000,0,0,224200,230000,224200
2018-07-09,127.57,240700,15.7(6.98 %),11290,2664000000,0,0,225000,240700,218500
2018-07-10,135.95,256500,15.8(6.56 %),37640,9678000000,0,0,257500,257500,231000
2018-07-11,132.5,250000,-6.5(-2.53 %),13200,3303000000,50000,12512500000,256500,256500,246000
2018-07-12,129.32,244000,-6(-2.40 %),18810,4596000000,0,0,244000,250000,232500
2018-07-13,130.06,245400,1.4(0.57 %),35730,8863000000,50000,12402500000,249500,249900,232500
2018-07-16,129.85,245000,-0.4(-0.16 %),3810,934000000,0,0,245400,245400,235000
2018-07-17,126.67,239000,-6(-2.45 %),6870,1684000000,0,0,245000,247000,239000
2018-07-18,129.8,244900,5.9(2.47 %),8530,1972000000,0,0,227000,244900,225000
2018-07-19,129.8,244900,0(0.00 %),4450,1023000000,0,0,228000,244900,228000
2018-07-20,120.84,228000,-16.9(-6.90 %),3220,735000000,0,0,228000,230000,227800
2018-07-23,117.13,221000,-7(-3.07 %),1060,239000000,0,0,228000,228200,218700
2018-07-24,124.55,235000,14(6.33 %),5680,1242000000,0,0,219100,235000,207000
2018-07-25,133.24,251400,16.4(6.98 %),6190,1420000000,0,0,220500,251400,218600
2018-07-26,123.97,233900,-17.5(-6.96 %),590,138000000,0,0,233900,248000,233900
2018-07-27,115.33,217600,-16.3(-6.97 %),5750,1251000000,20000,4800000000,217600,218200,217600
2018-07-30,107.27,202400,-15.2(-6.99 %),29730,6017000000,0,0,202400,202500,202400
2018-07-31,107.27,202400,0(0.00 %),860,173000000,0,0,200100,202400,200000
2018-08-01,106.48,200900,-1.5(-0.74 %),1150,229000000,0,0,200000,202000,190800
2018-08-02,101.28,191100,-9.8(-4.88 %),1560,300000000,120000,25788000000,195000,199900,187000
2018-08-03,106.0,200000,8.9(4.66 %),620,124000000,0,0,200000,200000,195000
2018-08-06,101.23,191000,-9(-4.50 %),2210,430000000,0,0,200000,200000,191000
2018-08-07,102.82,194000,3(1.57 %),230,45000000,0,0,192000,195000,192000
2018-08-08,104.41,197000,3(1.55 %),2220,432000000,0,0,196300,197000,194000
2018-08-09,104.41,197000,0(0.00 %),480,94000000,88150,18335200000,196000,199700,195000
2018-08-10,103.35,195000,-2(-1.02 %),3080,604000000,0,0,195000,198800,195000
2018-08-13,104.25,196700,1.7(0.87 %),360,70000000,0,0,199700,199700,195000
2018-08-14,103.93,196100,-0.6(-0.31 %),6220,1220000000,0,0,198400,199000,192000
2018-08-15,104.46,197100,1(0.51 %),1750,344000000,0,0,198200,198200,193500
2018-08-16,103.88,196000,-1.1(-0.56 %),510,99000000,0,0,197100,197100,190100
2018-08-17,103.35,195000,-1(-0.51 %),10480,2061000000,0,0,195000,198900,194500
2018-08-20,104.84,197800,2.8(1.44 %),60190,11601000000,0,0,197900,198500,185000
2018-08-21,104.94,198000,0.2(0.10 %),19930,3944000000,85000,15640000000,197800,198100,196000
2018-08-22,103.62,195500,-2.5(-1.26 %),890,175000000,0,0,195000,197500,195000
2018-08-23,96.41,181900,-13.6(-6.96 %),14060,2591000000,0,0,195500,195500,181900
2018-08-24,103.14,194600,12.7(6.98 %),13260,2437000000,55000,9350000000,188900,194600,180000
2018-08-27,95.93,181000,-13.6(-6.99 %),26360,4873000000,0,0,195000,196000,181000
2018-08-28,102.61,193600,12.6(6.96 %),7340,1400000000,45000,7650000000,185000,193600,185000
2018-08-29,104.94,198000,4.4(2.27 %),26110,5175000000,0,0,196000,200000,195500
2018-08-30,104.41,197000,-1(-0.51 %),7220,1425000000,0,0,197900,199000,188000
2018-08-31,103.88,196000,-1(-0.51 %),12700,2496000000,258000,51677400000,200000,200000,194900
2018-09-04,111.14,209700,13.7(6.99 %),142940,29975000000,0,0,209700,209700,209700
2018-09-05,118.88,224300,14.6(6.96 %),43200,9690000000,0,0,224300,224300,224300
2018-09-06,124.55,235000,10.7(4.77 %),47180,11266000000,20000,4800000000,240000,240000,224300
2018-09-07,115.86,218600,-16.4(-6.98 %),27120,5970000000,0,0,218600,235000,218600
2018-09-10,115.01,217000,-1.6(-0.73 %),27320,5677000000,0,0,218000,218600,203300
2018-09-11,114.69,216400,-0.6(-0.28 %),43640,9391000000,0,0,213900,217000,210000
2018-09-12,116.02,218900,2.5(1.16 %),22050,4795000000,0,0,216400,221000,215500
2018-09-13,116.23,219300,0.4(0.18 %),21050,4616000000,0,0,217000,220100,217000
2018-09-14,117.34,221400,2.1(0.96 %),51660,11381000000,0,0,220500,221400,219300
2018-09-17,124.02,234000,12.6(5.69 %),18800,4240000000,0,0,221900,234000,219400
2018-09-18,124.55,235000,1(0.43 %),3850,898000000,0,0,234000,235000,225600
2018-09-19,121.37,229000,-6(-2.55 %),6180,1443000000,0,0,235000,236000,229000
2018-09-20,121.37,229000,0(0.00 %),32370,7426000000,0,0,229000,232800,222000
2018-09-21,121.9,230000,1(0.44 %),5240,1198000000,0,0,229000,233000,225000
2018-09-24,117.4,221500,-8.5(-3.70 %),3790,837000000,0,0,222100,222100,219000
2018-09-25,116.6,220000,-1.5(-0.68 %),3200,707000000,0,0,220000,225000,216000
2018-09-26,118.56,223700,3.7(1.68 %),6080,1350000000,0,0,225000,225000,214000
2018-09-27,117.66,222000,-1.7(-0.76 %),18120,3990000000,0,0,222000,231000,218000
2018-09-28,117.66,222000,0(0.00 %),8540,1896000000,0,0,222000,222000,221000
2018-10-01,119.2,224900,2.9(1.31 %),5210,1157000000,0,0,222000,224900,220000
2018-10-02,119.2,224900,0(0.00 %),7030,1578000000,0,0,224900,225000,222000
2018-10-03,121.0,228300,3.4(1.51 %),6270,1421000000,0,0,226000,230000,225000
2018-10-04,120.31,227000,-1.3(-0.57 %),3780,867000000,0,0,232000,232000,227000
2018-10-05,121.95,230100,3.1(1.37 %),27970,6407000000,0,0,227000,230100,227000
2018-10-08,126.67,239000,8.9(3.87 %),14710,3421000000,183610,45204782000,232200,239800,226500
2018-10-09,129.32,244000,5(2.09 %),15330,3682000000,0,0,240200,245000,240000
2018-10-10,126.72,239100,-4.9(-2.01 %),20860,5027000000,0,0,244000,244000,239100
2018-10-11,120.84,228000,-11.1(-4.64 %),14860,3453000000,0,0,228000,239100,227200
2018-10-12,126.19,238100,10.1(4.43 %),11790,2771000000,0,0,228000,238100,228000
2018-10-15,133.08,251100,13(5.46 %),21970,5474000000,0,0,248000,254700,239200
2018-10-16,133.08,251100,0(0.00 %),2610,656000000,0,0,251100,252000,250000
2018-10-17,142.36,268600,17.5(6.97 %),15440,4127000000,0,0,251100,268600,251100
2018-10-18,148.4,280000,11.4(4.24 %),8850,2514000000,20000,5748000000,279000,287400,279000
2018-10-19,147.87,279000,-1(-0.36 %),3040,849000000,0,0,279900,280000,278000
